date,sentiment
09/07/2009,negative
30/10/2009,negative
12/01/2010,positive
02/03/2011,negative
27/10/2011,positive
06/12/2011,negative
16/12/2011,positive
27/01/2012,negative
01/06/2012,positive
08/08/2012,negative
05/08/2013,negative
26/08/2013,positive
26/08/2013,negative
04/09/2013,negative
13/09/2013,negative
24/06/2014,negative
26/09/2014,negative
08/10/2014,negative
24/10/2014,negative
11/11/2014,negative
26/11/2014,negative
04/02/2015,negative
03/03/2015,negative
04/03/2015,negative
11/03/2015,positive
27/03/2015,negative
21/04/2015,negative
13/05/2015,negative
15/05/2015,negative
22/05/2015,negative
19/06/2015,negative
16/09/2015,negative
15/10/2015,negative
18/11/2015,negative
23/11/2015,negative
17/12/2015,negative
18/02/2016,negative
01/03/2016,negative
07/03/2016,negative
22/03/2016,negative
27/03/2016,positive
22/04/2016,positive
02/05/2016,negative
02/05/2016,negative
03/05/2016,negative
13/05/2016,negative
14/05/2016,negative
23/05/2016,negative
31/05/2016,negative
02/06/2016,negative
16/06/2016,negative
20/06/2016,negative
20/06/2016,positive
23/06/2016,positive
05/07/2016,negative
06/07/2016,negative
11/07/2016,negative
12/07/2016,negative
27/07/2016,positive
29/07/2016,positive
31/07/2016,positive
08/08/2016,negative
30/08/2016,negative
12/09/2016,negative
29/09/2016,negative
25/10/2016,negative
30/11/2016,positive
24/01/2017,negative
31/01/2017,negative
17/02/2017,negative
20/03/2017,positive
20/03/2017,negative
23/05/2017,negative
21/06/2017,negative
23/06/2017,negative
31/07/2017,negative
16/09/2017,negative
04/12/2017,negative
14/12/2017,negative
23/01/2018,negative
28/01/2018,positive
29/01/2018,negative
02/02/2018,negative
13/03/2018,negative
21/03/2018,negative
30/04/2018,negative
09/05/2018,negative
24/05/2018,negative
03/06/2018,negative
01/07/2018,negative
19/07/2018,negative
24/08/2018,negative
06/09/2018,positive
07/09/2018,negative
07/09/2018,negative
20/09/2018,positive
03/12/2018,positive
18/12/2018,positive
19/12/2018,negative
19/12/2018,negative
21/12/2018,negative
30/01/2019,negative
30/01/2019,negative
30/01/2019,positive
18/03/2019,negative
30/04/2019,negative
01/05/2019,negative
20/05/2019,negative
23/05/2019,negative
13/06/2019,negative
25/06/2019,positive
01/07/2019,negative
06/07/2019,negative
18/07/2019,negative
30/07/2019,negative
31/07/2019,negative
09/08/2019,negative
26/08/2019,negative
10/09/2019,positive
03/10/2019,negative
03/10/2019,negative
14/10/2019,negative
29/10/2019,negative
29/10/2019,negative
30/10/2019,positive
30/10/2019,negative
31/10/2019,positive
01/11/2019,negative
21/11/2019,negative
21/11/2019,negative
04/12/2019,negative
06/12/2019,negative
09/12/2019,positive
09/12/2019,negative
12/12/2019,negative
16/12/2019,negative
02/01/2020,negative
20/01/2020,positive
