date,sentiment
30/01/2008,negative
26/11/2013,negative
04/12/2013,negative
10/12/2013,positive
19/12/2013,negative
23/12/2013,positive
02/04/2014,positive
08/07/2014,negative
05/08/2014,negative
28/10/2014,positive
28/10/2014,positive
18/11/2014,negative
21/11/2014,negative
09/07/2015,positive
31/07/2015,negative
12/01/2016,positive
14/11/2016,negative
31/01/2017,negative
25/05/2017,negative
26/05/2017,positive
03/08/2017,negative
28/11/2017,negative
11/10/2018,negative
12/01/2019,negative
12/01/2019,negative
29/01/2019,negative
08/02/2019,negative
20/04/2019,positive
22/04/2019,negative
17/06/2019,positive
25/06/2019,negative
07/08/2019,negative
11/08/2019,positive
02/09/2019,negative
23/10/2019,negative
26/10/2019,positive
04/02/2020,negative
04/02/2020,negative
22/02/2020,negative
22/02/2020,negative
14/03/2020,negative
14/03/2020,negative
17/03/2020,negative
17/03/2020,negative
18/03/2020,negative
18/03/2020,positive
19/03/2020,negative
19/03/2020,negative
19/03/2020,negative
20/03/2020,positive
20/03/2020,negative
20/03/2020,negative
20/03/2020,negative
20/03/2020,positive
23/03/2020,negative
23/03/2020,negative
28/03/2020,negative
01/04/2020,negative
01/04/2020,negative
01/04/2020,positive
02/04/2020,negative
02/04/2020,negative
03/04/2020,negative
03/04/2020,negative
04/04/2020,negative
04/04/2020,negative
05/04/2020,positive
05/04/2020,positive
07/04/2020,negative
08/04/2020,negative
08/04/2020,negative
08/04/2020,negative
08/04/2020,negative
09/04/2020,negative
09/04/2020,positive
09/04/2020,negative
09/04/2020,positive
09/04/2020,negative
10/04/2020,negative
10/04/2020,negative
11/04/2020,negative
11/04/2020,positive
11/04/2020,negative
11/04/2020,positive
11/04/2020,negative
13/04/2020,negative
13/04/2020,negative
13/04/2020,negative
14/04/2020,positive
14/04/2020,negative
14/04/2020,positive
14/04/2020,negative
14/04/2020,negative
15/04/2020,positive
15/04/2020,positive
15/04/2020,positive
17/04/2020,negative
18/04/2020,negative
18/04/2020,negative
18/04/2020,negative
18/04/2020,negative
18/04/2020,negative
18/04/2020,negative
18/04/2020,negative
18/04/2020,negative
18/04/2020,negative
19/04/2020,negative
19/04/2020,negative
19/04/2020,negative
19/04/2020,positive
19/04/2020,negative
20/04/2020,negative
21/04/2020,negative
21/04/2020,negative
21/04/2020,negative
21/04/2020,positive
22/04/2020,negative
22/04/2020,negative
22/04/2020,negative
22/04/2020,negative
22/04/2020,negative
22/04/2020,negative
23/04/2020,negative
23/04/2020,negative
23/04/2020,positive
23/04/2020,negative
23/04/2020,negative
23/04/2020,negative
23/04/2020,negative
23/04/2020,negative
23/04/2020,positive
23/04/2020,positive
23/04/2020,negative
24/04/2020,negative
24/04/2020,negative
24/04/2020,negative
24/04/2020,negative
25/04/2020,negative
25/04/2020,negative
25/04/2020,negative
30/04/2020,negative
02/05/2020,negative
02/05/2020,negative
02/05/2020,negative
02/05/2020,negative
03/05/2020,negative
04/05/2020,negative
05/05/2020,negative
05/05/2020,negative
08/05/2020,negative
08/05/2020,negative
08/05/2020,negative
08/05/2020,negative
08/05/2020,negative
08/05/2020,positive
08/05/2020,negative
09/05/2020,negative
09/05/2020,negative
10/05/2020,negative
10/05/2020,negative
11/05/2020,negative
12/05/2020,positive
12/05/2020,negative
13/05/2020,negative
15/05/2020,negative
15/05/2020,negative
17/05/2020,negative
17/05/2020,negative
18/05/2020,negative
22/05/2020,negative
22/05/2020,negative
22/05/2020,negative
23/05/2020,negative
23/05/2020,negative
26/05/2020,positive
26/05/2020,negative
28/05/2020,negative
28/05/2020,negative
28/05/2020,negative
29/05/2020,negative
02/06/2020,negative
02/06/2020,negative
02/06/2020,negative
02/06/2020,negative
03/06/2020,negative
03/06/2020,negative
03/06/2020,negative
04/06/2020,negative
04/06/2020,negative
05/06/2020,negative
08/06/2020,negative
08/06/2020,negative
09/06/2020,negative
10/06/2020,negative
11/06/2020,negative
11/06/2020,negative
14/06/2020,positive
22/06/2020,negative
22/06/2020,positive
24/06/2020,positive
29/06/2020,negative
29/06/2020,negative
02/07/2020,negative
02/07/2020,negative
03/07/2020,negative
03/07/2020,negative
03/07/2020,negative
03/07/2020,negative
06/07/2020,negative
07/07/2020,negative
10/07/2020,negative
13/07/2020,negative
13/07/2020,negative
15/07/2020,negative
21/07/2020,negative
21/07/2020,negative
27/07/2020,negative
27/07/2020,negative
27/07/2020,negative
05/08/2020,negative
05/08/2020,negative
06/08/2020,negative
13/08/2020,negative
13/08/2020,negative
14/08/2020,positive
14/08/2020,positive
24/08/2020,negative
24/08/2020,negative
27/08/2020,negative
27/08/2020,negative
31/08/2020,negative
31/08/2020,negative
05/09/2020,negative
05/09/2020,negative
09/09/2020,negative
09/09/2020,negative
09/09/2020,negative
09/09/2020,negative
11/09/2020,negative
11/09/2020,negative
13/09/2020,negative
13/09/2020,negative
16/09/2020,negative
16/09/2020,negative
21/09/2020,negative
21/09/2020,positive
21/09/2020,negative
21/09/2020,positive
21/09/2020,positive
21/09/2020,negative
21/09/2020,negative
26/09/2020,negative
26/09/2020,negative
26/09/2020,negative
07/10/2020,negative
21/10/2020,negative
26/10/2020,negative
02/11/2020,negative
02/11/2020,negative
04/11/2020,negative
04/11/2020,negative
04/11/2020,negative
24/11/2020,negative
24/11/2020,negative
26/11/2020,negative
26/11/2020,negative
26/11/2020,negative
26/11/2020,positive
07/12/2020,positive
10/12/2020,positive
10/12/2020,negative
10/12/2020,negative
02/01/2021,negative
05/01/2021,positive
12/01/2021,negative
15/01/2021,negative
15/01/2021,negative
27/01/2021,negative
30/01/2021,negative
04/02/2021,negative
08/02/2021,negative
13/02/2021,negative
13/02/2021,negative
13/02/2021,negative
14/02/2021,negative
14/02/2021,negative
14/02/2021,negative
15/02/2021,negative
16/02/2021,negative
18/02/2021,negative
20/02/2021,negative
21/02/2021,negative
21/02/2021,negative
22/02/2021,negative
22/02/2021,negative
23/02/2021,negative
23/02/2021,negative
23/02/2021,negative
23/02/2021,negative
23/02/2021,negative
24/02/2021,negative
24/02/2021,negative
24/02/2021,negative
25/02/2021,negative
26/02/2021,negative
26/02/2021,positive
26/02/2021,negative
26/02/2021,positive
28/02/2021,negative
01/03/2021,negative
03/03/2021,negative
04/03/2021,negative
04/03/2021,negative
10/03/2021,negative
11/03/2021,negative
13/03/2021,negative
15/03/2021,negative
16/03/2021,negative
18/03/2021,negative
19/03/2021,negative
21/03/2021,negative
26/03/2021,negative
27/03/2021,negative
29/03/2021,negative
30/03/2021,negative
04/04/2021,negative
04/04/2021,negative
07/04/2021,negative
07/04/2021,negative
10/04/2021,negative
13/04/2021,negative
14/04/2021,negative
21/04/2021,negative
26/04/2021,negative
26/04/2021,negative
26/04/2021,negative
27/04/2021,negative
28/04/2021,negative
29/04/2021,negative
02/05/2021,negative
03/05/2021,negative
03/05/2021,negative
05/05/2021,negative
05/05/2021,positive
05/05/2021,negative
05/05/2021,negative
08/05/2021,negative
10/05/2021,negative
11/05/2021,negative
14/05/2021,negative
19/05/2021,negative
20/05/2021,negative
23/05/2021,negative
27/05/2021,negative
28/05/2021,negative
29/05/2021,positive
29/05/2021,negative
01/06/2021,negative
01/06/2021,negative
04/06/2021,negative
05/06/2021,positive
06/06/2021,negative
10/06/2021,negative
11/06/2021,negative
17/06/2021,negative
20/06/2021,negative
25/06/2021,negative
26/06/2021,negative
27/06/2021,negative
01/07/2021,negative
05/07/2021,negative
06/07/2021,negative
06/07/2021,negative
12/07/2021,negative
15/07/2021,negative
16/07/2021,negative
26/07/2021,positive
28/07/2021,negative
30/07/2021,negative
02/08/2021,negative
03/08/2021,positive
04/08/2021,negative
04/08/2021,negative
05/08/2021,negative
05/08/2021,negative
05/08/2021,negative
06/08/2021,negative
06/08/2021,negative
08/08/2021,negative
09/08/2021,negative
09/08/2021,positive
10/08/2021,negative
11/08/2021,negative
12/08/2021,negative
13/08/2021,negative
13/08/2021,negative
13/08/2021,negative
15/08/2021,negative
15/08/2021,negative
16/08/2021,negative
16/08/2021,negative
17/08/2021,negative
18/08/2021,negative
19/08/2021,negative
24/08/2021,negative
24/08/2021,negative
26/08/2021,negative
27/08/2021,negative
30/08/2021,negative
30/08/2021,negative
01/09/2021,negative
01/09/2021,positive
02/09/2021,negative
02/09/2021,negative
03/09/2021,negative
04/09/2021,negative
06/09/2021,negative
08/09/2021,negative
09/09/2021,negative
11/09/2021,negative
20/09/2021,negative
20/09/2021,negative
22/09/2021,negative
23/09/2021,negative
24/09/2021,negative
24/09/2021,negative
26/09/2021,negative
29/09/2021,negative
02/10/2021,negative
06/10/2021,negative
10/10/2021,negative
12/10/2021,negative
13/10/2021,negative
20/10/2021,negative
29/10/2021,negative
09/11/2021,negative
10/11/2021,negative
18/11/2021,negative
19/11/2021,positive
19/11/2021,negative
23/11/2021,negative
29/11/2021,negative
02/12/2021,negative
03/12/2021,negative
03/12/2021,positive
04/12/2021,negative
04/12/2021,negative
06/12/2021,positive
06/12/2021,positive
06/12/2021,negative
07/12/2021,negative
15/12/2021,positive
15/12/2021,negative
16/12/2021,negative
16/12/2021,negative
18/12/2021,negative
18/12/2021,negative
18/12/2021,negative
21/12/2021,negative
24/12/2021,negative
24/12/2021,positive
24/12/2021,positive
28/12/2021,negative
29/12/2021,negative
31/12/2021,negative
31/12/2021,negative
21/02/2022,negative
23/03/2022,positive
02/05/2022,negative
03/05/2022,negative
24/06/2022,negative
27/06/2022,negative
27/06/2022,negative
14/07/2022,negative
25/08/2022,negative
20/09/2022,negative
20/09/2022,negative
29/09/2022,negative
10/10/2022,negative
21/10/2022,positive
24/10/2022,positive
25/10/2022,positive
04/01/2023,negative
05/01/2023,negative
05/01/2023,negative
10/01/2023,positive
15/02/2023,negative
22/02/2023,positive
01/03/2023,positive
05/03/2023,positive
23/04/2023,positive
17/05/2023,negative
31/05/2023,positive
06/06/2023,negative
14/06/2023,positive
19/06/2023,negative
20/06/2023,negative
11/07/2023,negative
13/07/2023,positive
17/07/2023,negative
18/07/2023,negative
24/07/2023,negative
03/08/2023,negative
03/09/2023,negative
16/09/2023,negative
25/09/2023,positive
25/09/2023,positive
27/09/2023,positive
01/10/2023,positive
12/10/2023,negative
12/10/2023,positive
20/10/2023,negative
25/10/2023,negative
29/10/2023,positive
01/11/2023,negative
03/11/2023,negative
06/11/2023,positive
13/11/2023,negative
16/11/2023,negative
22/12/2023,negative
22/12/2023,positive
22/12/2023,negative
22/12/2023,positive
22/12/2023,negative
22/12/2023,negative
22/12/2023,negative
23/12/2023,negative
25/12/2023,positive
25/12/2023,negative
25/12/2023,negative
26/12/2023,negative
26/12/2023,negative
26/12/2023,negative
04/01/2024,negative
05/01/2024,negative
05/01/2024,negative
05/01/2024,negative
08/01/2024,negative
08/01/2024,negative
10/01/2024,positive
10/01/2024,negative
16/01/2024,negative
16/01/2024,negative
16/01/2024,negative
16/01/2024,negative
16/01/2024,negative
16/01/2024,negative
16/01/2024,negative
16/01/2024,negative
16/01/2024,negative
17/01/2024,negative
17/01/2024,negative
18/01/2024,negative
19/01/2024,negative
23/01/2024,positive
29/01/2024,negative
06/02/2024,negative
08/02/2024,negative
10/02/2024,positive
12/02/2024,negative
12/02/2024,positive
14/02/2024,positive
19/02/2024,negative
21/02/2024,negative
21/02/2024,positive
21/02/2024,positive
21/02/2024,positive
21/02/2024,negative
22/02/2024,negative
22/02/2024,negative
22/02/2024,negative
12/03/2024,negative
15/03/2024,positive
15/03/2024,negative
18/03/2024,negative
19/03/2024,negative
19/03/2024,negative
22/03/2024,negative
27/03/2024,negative
28/03/2024,negative
