date,sentiment
13/04/2010,positive
30/09/2011,negative
21/08/2012,negative
23/07/2013,negative
04/09/2013,negative
21/10/2013,positive
09/04/2014,negative
21/04/2014,positive
04/06/2014,negative
22/10/2014,negative
24/10/2014,negative
21/11/2014,negative
26/11/2014,negative
04/12/2014,negative
09/12/2014,positive
27/03/2015,negative
20/04/2015,negative
24/04/2015,negative
05/08/2015,negative
21/10/2015,negative
09/11/2015,negative
19/11/2015,negative
10/03/2016,negative
27/04/2016,positive
28/05/2016,negative
17/06/2016,negative
12/07/2016,negative
21/07/2016,negative
02/08/2016,negative
12/10/2016,positive
26/10/2016,negative
07/11/2016,positive
17/11/2016,negative
21/12/2016,positive
26/12/2016,positive
17/01/2017,negative
08/02/2017,positive
05/06/2017,negative
23/06/2017,negative
31/07/2017,negative
29/08/2017,positive
03/11/2017,negative
31/01/2018,negative
12/03/2018,negative
13/03/2018,negative
14/03/2018,negative
04/04/2018,negative
20/04/2018,negative
20/04/2018,negative
25/04/2018,positive
01/05/2018,negative
09/05/2018,negative
24/07/2018,negative
25/07/2018,positive
25/07/2018,positive
08/08/2018,negative
19/12/2018,negative
21/12/2018,negative
29/01/2019,positive
29/01/2019,positive
14/02/2019,negative
04/03/2019,negative
04/03/2019,positive
05/03/2019,negative
05/03/2019,negative
21/03/2019,positive
21/03/2019,negative
26/06/2019,negative
20/09/2019,negative
21/10/2019,negative
22/10/2019,negative
23/10/2019,negative
25/10/2019,positive
31/10/2019,negative
03/12/2019,negative
05/12/2019,positive
27/12/2019,positive
05/02/2020,negative
17/02/2020,positive
15/03/2020,negative
28/04/2020,negative
02/06/2020,negative
08/07/2020,negative
14/07/2020,negative
22/07/2020,negative
22/07/2020,negative
27/07/2020,negative
10/08/2020,negative
21/08/2020,negative
15/09/2020,negative
06/10/2020,negative
21/10/2020,negative
06/11/2020,negative
09/11/2020,negative
12/01/2021,negative
23/02/2021,positive
19/05/2021,negative
21/05/2021,negative
04/06/2021,positive
07/06/2021,positive
07/06/2021,negative
07/06/2021,positive
07/06/2021,negative
08/06/2021,positive
09/06/2021,positive
15/06/2021,negative
29/06/2021,negative
08/07/2021,negative
14/07/2021,negative
21/07/2021,negative
01/09/2021,negative
09/09/2021,negative
16/09/2021,negative
23/09/2021,negative
25/10/2021,negative
18/11/2021,negative
18/11/2021,negative
22/11/2021,negative
26/11/2021,negative
30/11/2021,negative
31/12/2021,positive
06/01/2022,positive
10/01/2022,positive
11/01/2022,negative
13/01/2022,negative
18/01/2022,negative
15/02/2022,positive
18/03/2022,negative
21/03/2022,positive
29/03/2022,negative
12/04/2022,negative
27/04/2022,negative
03/05/2022,negative
04/05/2022,negative
01/06/2022,negative
07/07/2022,negative
07/07/2022,negative
08/07/2022,negative
08/07/2022,negative
08/07/2022,negative
09/07/2022,negative
20/07/2022,negative
20/07/2022,negative
28/07/2022,positive
23/09/2022,negative
26/09/2022,negative
28/09/2022,negative
28/09/2022,negative
28/09/2022,negative
28/09/2022,positive
28/09/2022,negative
05/10/2022,negative
18/10/2022,negative
20/10/2022,positive
26/10/2022,negative
08/11/2022,positive
10/11/2022,positive
17/11/2022,negative
22/12/2022,negative
23/12/2022,negative
28/12/2022,positive
03/01/2023,positive
09/01/2023,negative
09/01/2023,negative
10/01/2023,negative
19/01/2023,negative
19/01/2023,negative
15/02/2023,negative
15/02/2023,positive
03/03/2023,positive
13/03/2023,negative
13/03/2023,negative
23/03/2023,positive
10/04/2023,negative
25/04/2023,negative
25/04/2023,negative
25/04/2023,negative
28/04/2023,positive
03/05/2023,negative
03/05/2023,positive
04/05/2023,positive
11/05/2023,positive
12/05/2023,negative
19/05/2023,negative
25/05/2023,negative
01/06/2023,negative
06/06/2023,positive
12/06/2023,negative
14/06/2023,negative
27/06/2023,negative
07/07/2023,negative
07/07/2023,negative
13/07/2023,negative
19/07/2023,positive
25/07/2023,negative
25/07/2023,negative
25/07/2023,negative
28/07/2023,negative
28/07/2023,negative
28/07/2023,negative
28/07/2023,negative
01/08/2023,negative
01/08/2023,positive
04/08/2023,negative
08/08/2023,negative
15/08/2023,negative
17/08/2023,negative
18/08/2023,negative
24/08/2023,negative
25/08/2023,negative
29/08/2023,negative
02/09/2023,negative
05/09/2023,negative
20/09/2023,negative
25/09/2023,positive
28/09/2023,negative
21/10/2023,negative
25/10/2023,negative
06/11/2023,negative
08/11/2023,negative
08/11/2023,positive
08/11/2023,negative
08/11/2023,positive
11/11/2023,positive
30/11/2023,negative
07/12/2023,negative
09/12/2023,negative
14/12/2023,positive
25/12/2023,positive
27/12/2023,negative
27/12/2023,negative
12/01/2024,negative
13/01/2024,negative
13/01/2024,negative
24/01/2024,negative
29/01/2024,negative
31/01/2024,positive
31/01/2024,negative
06/02/2024,negative
08/02/2024,negative
08/02/2024,negative
08/02/2024,negative
12/02/2024,negative
13/02/2024,negative
13/02/2024,negative
13/02/2024,positive
13/02/2024,negative
13/02/2024,negative
13/02/2024,negative
14/02/2024,negative
14/02/2024,negative
15/02/2024,negative
15/02/2024,negative
16/02/2024,negative
21/02/2024,positive
25/02/2024,positive
28/02/2024,negative
02/03/2024,negative
04/03/2024,negative
05/03/2024,negative
05/03/2024,positive
07/03/2024,negative
07/03/2024,negative
11/03/2024,negative
12/03/2024,negative
14/03/2024,negative
14/03/2024,negative
18/03/2024,negative
20/03/2024,negative
25/03/2024,negative
26/03/2024,negative
