date,sentiment
12/05/2011,positive
10/06/2011,negative
26/07/2011,positive
29/08/2011,negative
07/02/2012,negative
02/03/2012,negative
09/03/2012,positive
24/04/2012,positive
02/08/2012,positive
19/12/2012,negative
15/01/2013,negative
13/02/2013,positive
13/02/2013,positive
15/04/2013,positive
20/08/2013,positive
27/08/2013,negative
14/01/2014,positive
18/01/2014,negative
05/02/2014,positive
07/04/2014,positive
24/04/2014,negative
31/05/2014,negative
14/06/2014,positive
29/07/2014,negative
22/08/2014,negative
19/09/2014,positive
17/11/2014,negative
14/01/2015,positive
02/02/2015,positive
09/02/2015,positive
20/02/2015,negative
20/03/2015,positive
09/04/2015,positive
22/04/2015,positive
19/05/2015,positive
28/05/2015,positive
29/05/2015,positive
24/06/2015,positive
02/07/2015,negative
17/09/2015,negative
06/10/2015,negative
08/10/2015,positive
14/10/2015,positive
17/10/2015,positive
20/10/2015,positive
27/10/2015,positive
27/10/2015,positive
28/10/2015,positive
23/11/2015,positive
13/01/2016,positive
14/01/2016,negative
28/01/2016,positive
28/01/2016,positive
03/02/2016,positive
22/03/2016,positive
22/03/2016,negative
03/04/2016,negative
04/04/2016,positive
11/04/2016,positive
17/04/2016,positive
25/04/2016,positive
09/06/2016,positive
06/07/2016,positive
14/07/2016,positive
30/07/2016,negative
30/07/2016,positive
01/08/2016,negative
16/08/2016,negative
23/08/2016,positive
23/08/2016,negative
18/09/2016,positive
02/10/2016,negative
06/10/2016,positive
20/10/2016,positive
28/10/2016,negative
18/11/2016,positive
29/11/2016,positive
04/12/2016,negative
06/12/2016,negative
13/12/2016,positive
19/12/2016,negative
12/01/2017,positive
23/01/2017,positive
23/01/2017,positive
01/03/2017,negative
02/03/2017,positive
07/03/2017,positive
30/03/2017,positive
17/04/2017,negative
18/04/2017,negative
26/05/2017,negative
10/06/2017,positive
15/06/2017,positive
19/06/2017,positive
05/07/2017,negative
06/07/2017,positive
24/07/2017,positive
02/08/2017,positive
10/08/2017,negative
17/08/2017,positive
18/08/2017,positive
21/09/2017,negative
28/09/2017,negative
28/09/2017,positive
28/09/2017,negative
29/09/2017,positive
01/10/2017,negative
02/10/2017,negative
03/10/2017,negative
05/10/2017,positive
09/10/2017,negative
16/10/2017,negative
02/11/2017,positive
10/11/2017,negative
21/11/2017,negative
05/12/2017,negative
21/12/2017,positive
08/01/2018,positive
09/01/2018,negative
31/01/2018,positive
07/02/2018,positive
17/02/2018,negative
23/02/2018,positive
26/02/2018,negative
01/03/2018,positive
28/03/2018,negative
16/04/2018,positive
17/04/2018,negative
23/04/2018,negative
20/05/2018,negative
15/06/2018,negative
29/06/2018,negative
02/07/2018,negative
10/07/2018,positive
24/08/2018,negative
03/10/2018,positive
12/10/2018,negative
31/10/2018,negative
30/11/2018,positive
06/12/2018,negative
17/12/2018,positive
23/01/2019,positive
01/03/2019,positive
02/03/2019,positive
11/03/2019,negative
12/03/2019,negative
30/04/2019,negative
31/05/2019,positive
01/07/2019,negative
11/07/2019,positive
21/08/2019,positive
02/09/2019,negative
09/10/2019,negative
17/10/2019,negative
23/01/2020,positive
29/01/2020,negative
30/01/2020,negative
30/01/2020,negative
03/02/2020,negative
05/02/2020,negative
17/02/2020,positive
26/05/2020,negative
17/06/2020,negative
17/06/2020,positive
29/07/2020,positive
20/08/2020,positive
06/10/2020,negative
21/10/2020,negative
29/10/2020,negative
25/11/2020,negative
27/11/2020,positive
18/04/2021,positive
19/04/2021,positive
23/04/2021,negative
15/05/2021,positive
16/06/2021,positive
28/07/2021,positive
11/08/2021,negative
20/09/2021,negative
07/10/2021,negative
22/10/2021,negative
19/11/2021,negative
07/12/2021,negative
17/12/2021,positive
29/12/2021,negative
01/02/2022,negative
01/02/2022,negative
19/02/2022,negative
05/03/2022,negative
31/03/2022,negative
04/04/2022,negative
20/04/2022,negative
24/05/2022,negative
02/06/2022,positive
04/08/2022,positive
16/09/2022,positive
27/09/2022,positive
29/09/2022,negative
18/10/2022,positive
27/12/2022,negative
27/12/2022,negative
04/01/2023,negative
06/01/2023,negative
06/01/2023,negative
21/01/2023,positive
24/01/2023,negative
03/02/2023,positive
15/02/2023,positive
24/02/2023,negative
10/03/2023,negative
29/03/2023,positive
11/04/2023,negative
14/04/2023,positive
21/04/2023,negative
21/04/2023,positive
28/04/2023,positive
10/05/2023,positive
10/05/2023,positive
10/05/2023,positive
11/05/2023,positive
12/05/2023,positive
19/05/2023,positive
19/05/2023,negative
05/06/2023,negative
12/06/2023,negative
21/06/2023,negative
03/07/2023,negative
19/07/2023,negative
10/08/2023,negative
11/08/2023,positive
11/08/2023,positive
01/09/2023,positive
08/09/2023,negative
22/09/2023,positive
06/10/2023,negative
09/10/2023,negative
11/10/2023,negative
07/11/2023,negative
17/11/2023,negative
28/11/2023,negative
05/12/2023,positive
13/12/2023,negative
17/12/2023,negative
19/12/2023,negative
27/12/2023,positive
05/01/2024,negative
06/01/2024,positive
09/01/2024,negative
10/01/2024,negative
18/01/2024,negative
19/01/2024,negative
22/01/2024,negative
23/01/2024,negative
23/01/2024,negative
23/01/2024,negative
23/01/2024,negative
24/01/2024,negative
24/01/2024,negative
24/01/2024,negative
25/01/2024,negative
25/01/2024,negative
25/01/2024,positive
26/01/2024,negative
26/01/2024,negative
30/01/2024,negative
02/02/2024,positive
06/02/2024,negative
06/02/2024,positive
08/02/2024,negative
09/02/2024,negative
12/02/2024,negative
14/02/2024,negative
22/02/2024,negative
28/02/2024,negative
28/02/2024,positive
06/03/2024,negative
06/03/2024,negative
11/03/2024,positive
15/03/2024,negative
17/03/2024,positive
19/03/2024,positive
22/03/2024,positive
25/03/2024,negative
26/03/2024,negative
28/03/2024,negative
