date,sentiment
08/08/2008,negative
19/09/2010,negative
23/11/2010,negative
05/01/2011,negative
15/03/2011,negative
26/07/2011,negative
11/10/2011,negative
04/04/2012,negative
05/09/2012,negative
08/12/2012,positive
01/05/2013,negative
08/05/2013,negative
16/04/2014,negative
05/08/2014,negative
05/08/2014,negative
06/08/2014,positive
10/12/2014,negative
02/03/2015,negative
24/04/2015,negative
27/04/2015,negative
27/04/2015,negative
18/05/2015,negative
26/05/2015,negative
26/05/2015,positive
26/05/2015,negative
26/05/2015,negative
04/08/2015,negative
28/08/2015,negative
05/10/2015,negative
07/10/2015,positive
11/10/2015,positive
06/11/2015,negative
23/11/2015,negative
22/12/2015,negative
05/01/2016,negative
09/03/2016,positive
25/04/2016,negative
03/05/2016,negative
18/05/2016,positive
18/05/2016,negative
04/06/2016,negative
12/07/2016,positive
14/07/2016,negative
11/08/2016,negative
25/10/2016,negative
11/11/2016,positive
23/01/2017,negative
26/05/2017,positive
26/06/2017,negative
06/07/2017,negative
14/07/2017,negative
19/07/2017,negative
19/10/2017,negative
13/12/2017,negative
27/12/2017,positive
03/01/2018,positive
17/01/2018,positive
12/03/2018,positive
13/03/2018,negative
26/06/2018,positive
06/07/2018,negative
18/07/2018,negative
24/07/2018,negative
27/08/2018,positive
04/09/2018,positive
05/09/2018,positive
08/12/2018,negative
09/12/2018,negative
06/01/2019,negative
29/01/2019,negative
15/08/2019,negative
29/08/2019,negative
30/09/2019,negative
25/10/2019,positive
25/10/2019,negative
01/11/2019,positive
06/01/2020,positive
12/02/2020,negative
29/05/2020,negative
01/08/2020,positive
03/09/2020,negative
30/12/2020,negative
07/01/2021,negative
27/01/2021,negative
01/02/2021,negative
19/02/2021,negative
18/05/2021,positive
02/06/2021,negative
01/07/2021,negative
07/07/2021,negative
03/08/2021,positive
10/08/2021,negative
24/08/2021,negative
01/09/2021,negative
08/09/2021,negative
11/10/2021,positive
28/10/2021,positive
23/11/2021,positive
01/12/2021,positive
21/12/2021,negative
13/01/2022,negative
20/01/2022,positive
09/02/2022,negative
16/02/2022,negative
10/03/2022,negative
26/04/2022,negative
27/04/2022,positive
28/04/2022,negative
02/05/2022,positive
12/05/2022,positive
16/05/2022,positive
24/05/2022,negative
25/05/2022,positive
09/06/2022,positive
14/06/2022,negative
29/06/2022,negative
26/07/2022,positive
26/07/2022,positive
27/07/2022,negative
27/07/2022,negative
02/08/2022,positive
03/08/2022,negative
23/08/2022,negative
16/09/2022,negative
19/09/2022,negative
21/09/2022,positive
17/10/2022,negative
21/10/2022,positive
30/10/2022,positive
02/11/2022,negative
07/11/2022,negative
14/11/2022,positive
15/11/2022,negative
29/11/2022,positive
06/12/2022,positive
12/12/2022,negative
14/12/2022,negative
10/01/2023,negative
17/01/2023,positive
30/01/2023,negative
30/01/2023,negative
03/02/2023,positive
15/02/2023,positive
23/02/2023,negative
03/03/2023,negative
05/03/2023,negative
09/03/2023,negative
20/03/2023,positive
29/03/2023,negative
30/03/2023,negative
04/04/2023,positive
13/04/2023,negative
16/04/2023,negative
25/04/2023,negative
27/04/2023,negative
28/04/2023,negative
28/04/2023,positive
28/04/2023,negative
28/04/2023,positive
08/05/2023,positive
12/05/2023,negative
25/05/2023,negative
30/05/2023,positive
07/06/2023,negative
21/06/2023,positive
22/06/2023,positive
28/06/2023,positive
30/06/2023,negative
30/06/2023,positive
24/07/2023,positive
28/07/2023,negative
01/08/2023,positive
21/08/2023,negative
23/08/2023,negative
01/09/2023,negative
04/09/2023,negative
05/09/2023,positive
07/09/2023,negative
07/09/2023,negative
11/09/2023,negative
11/09/2023,negative
11/09/2023,negative
11/09/2023,negative
11/09/2023,negative
12/09/2023,negative
12/09/2023,positive
12/09/2023,negative
13/09/2023,negative
18/09/2023,positive
25/09/2023,negative
25/09/2023,negative
11/10/2023,negative
19/10/2023,positive
27/10/2023,positive
27/10/2023,negative
28/10/2023,positive
30/10/2023,negative
01/11/2023,positive
03/11/2023,negative
07/11/2023,negative
10/11/2023,negative
10/11/2023,negative
11/11/2023,negative
22/11/2023,negative
05/12/2023,negative
05/12/2023,negative
08/12/2023,positive
12/12/2023,positive
13/12/2023,negative
18/01/2024,negative
19/01/2024,negative
26/01/2024,negative
30/01/2024,negative
30/01/2024,positive
31/01/2024,positive
02/02/2024,negative
02/02/2024,negative
02/02/2024,positive
02/02/2024,negative
02/02/2024,negative
02/02/2024,negative
02/02/2024,positive
02/02/2024,negative
02/02/2024,negative
03/02/2024,negative
05/02/2024,negative
05/02/2024,negative
06/02/2024,negative
08/02/2024,negative
08/02/2024,positive
12/02/2024,negative
12/02/2024,negative
23/02/2024,positive
26/02/2024,negative
26/02/2024,negative
27/02/2024,negative
29/02/2024,positive
01/03/2024,negative
06/03/2024,negative
13/03/2024,negative
19/03/2024,negative
20/03/2024,negative
25/03/2024,positive
28/03/2024,negative
