date,sentiment
26/08/2013,negative
25/08/2014,positive
23/07/2015,negative
01/06/2016,positive
01/11/2016,negative
13/06/2017,negative
23/11/2017,negative
20/01/2018,negative
19/02/2018,positive
06/04/2018,positive
20/09/2018,positive
26/07/2019,negative
13/11/2019,positive
06/02/2020,positive
08/03/2020,positive
01/06/2020,positive
08/06/2020,positive
20/10/2020,positive
16/11/2020,positive
29/03/2021,positive
29/03/2021,negative
29/03/2021,negative
01/04/2021,negative
24/05/2021,negative
22/06/2021,positive
08/10/2021,negative
22/12/2021,negative
30/12/2021,negative
16/02/2022,negative
16/02/2022,negative
16/02/2022,negative
19/07/2022,positive
08/09/2022,negative
11/11/2022,positive
24/11/2022,negative
29/01/2023,negative
06/03/2023,negative
28/04/2023,positive
21/06/2023,negative
13/07/2023,positive
15/07/2023,positive
31/07/2023,negative
04/08/2023,negative
22/08/2023,negative
23/08/2023,positive
07/09/2023,negative
15/09/2023,positive
18/09/2023,positive
18/09/2023,positive
18/09/2023,negative
16/11/2023,positive
17/11/2023,positive
17/11/2023,negative
17/11/2023,negative
20/11/2023,positive
22/11/2023,positive
30/11/2023,negative
05/12/2023,positive
19/12/2023,positive
26/12/2023,positive
27/12/2023,negative
03/01/2024,negative
03/01/2024,positive
16/01/2024,positive
21/01/2024,positive
30/01/2024,negative
05/02/2024,positive
08/02/2024,negative
14/02/2024,negative
14/02/2024,negative
17/02/2024,negative
19/02/2024,negative
19/02/2024,negative
22/02/2024,negative
22/02/2024,positive
22/02/2024,positive
23/02/2024,negative
23/02/2024,negative
25/02/2024,negative
25/02/2024,negative
27/02/2024,negative
02/03/2024,positive
04/03/2024,negative
11/03/2024,negative
15/03/2024,negative
18/03/2024,positive
21/03/2024,negative
22/03/2024,negative
23/03/2024,positive
27/03/2024,negative
28/03/2024,positive
