date,sentiment
07/06/2011,positive
26/02/2013,positive
15/06/2013,positive
27/06/2013,positive
15/08/2014,positive
13/07/2015,negative
10/06/2016,positive
10/06/2016,positive
20/04/2017,positive
05/06/2017,negative
11/06/2017,positive
06/07/2017,positive
18/10/2017,positive
16/01/2018,positive
28/02/2018,negative
27/11/2018,negative
05/02/2019,positive
04/03/2019,positive
15/05/2019,negative
17/05/2019,negative
30/05/2019,negative
11/06/2019,negative
11/06/2019,negative
11/06/2019,negative
12/06/2019,positive
12/06/2019,negative
12/06/2019,positive
15/06/2019,negative
05/07/2019,negative
10/07/2019,negative
22/08/2019,positive
22/08/2019,negative
06/09/2019,negative
09/09/2019,negative
06/11/2019,positive
06/01/2020,positive
06/01/2020,positive
16/01/2020,negative
31/01/2020,negative
09/02/2020,positive
20/02/2020,negative
23/04/2020,negative
11/05/2020,negative
21/05/2020,negative
22/05/2020,negative
02/06/2020,positive
09/06/2020,positive
09/06/2020,positive
02/07/2020,positive
16/07/2020,negative
28/07/2020,negative
25/08/2020,negative
25/08/2020,negative
02/09/2020,negative
05/10/2020,negative
04/11/2020,positive
13/11/2020,positive
30/11/2020,negative
02/12/2020,positive
05/01/2021,negative
13/01/2021,negative
27/01/2021,negative
11/02/2021,negative
19/02/2021,positive
09/03/2021,positive
17/03/2021,negative
29/03/2021,negative
30/03/2021,positive
31/03/2021,positive
02/04/2021,negative
15/04/2021,negative
20/04/2021,positive
03/06/2021,positive
22/06/2021,negative
13/07/2021,negative
16/07/2021,positive
17/07/2021,positive
18/07/2021,negative
21/07/2021,negative
25/07/2021,positive
09/08/2021,negative
12/08/2021,positive
14/08/2021,negative
25/08/2021,negative
01/09/2021,negative
03/09/2021,negative
10/09/2021,negative
01/10/2021,negative
08/10/2021,positive
12/10/2021,negative
28/10/2021,positive
17/11/2021,positive
01/12/2021,negative
01/12/2021,negative
09/12/2021,negative
14/12/2021,negative
13/01/2022,positive
24/01/2022,negative
27/01/2022,negative
08/03/2022,positive
10/03/2022,negative
10/03/2022,positive
14/03/2022,positive
17/03/2022,negative
21/03/2022,negative
28/03/2022,negative
08/04/2022,negative
08/04/2022,negative
11/04/2022,negative
11/04/2022,negative
12/04/2022,positive
13/04/2022,negative
19/04/2022,negative
27/04/2022,negative
27/04/2022,negative
06/05/2022,negative
10/05/2022,negative
31/05/2022,negative
01/06/2022,negative
02/06/2022,negative
02/06/2022,negative
03/06/2022,negative
08/07/2022,positive
13/07/2022,positive
24/08/2022,negative
29/08/2022,negative
29/08/2022,positive
30/08/2022,negative
02/09/2022,negative
20/09/2022,negative
25/09/2022,negative
14/10/2022,negative
11/11/2022,negative
29/11/2022,negative
29/11/2022,negative
29/11/2022,negative
30/11/2022,negative
30/11/2022,negative
30/11/2022,negative
01/12/2022,negative
05/12/2022,negative
08/12/2022,positive
12/12/2022,negative
13/12/2022,negative
21/12/2022,negative
21/12/2022,negative
28/12/2022,negative
12/01/2023,positive
23/01/2023,negative
01/02/2023,negative
27/02/2023,negative
28/02/2023,positive
