date,sentiment
15/04/2010,negative
04/02/2011,negative
23/10/2013,positive
23/04/2014,negative
22/10/2014,positive
30/04/2015,negative
19/11/2015,positive
02/03/2016,negative
05/05/2016,positive
10/09/2016,positive
16/03/2017,positive
28/07/2017,negative
15/02/2018,negative
15/02/2018,negative
15/03/2018,negative
05/04/2018,positive
14/05/2018,negative
18/05/2018,negative
14/08/2018,negative
08/11/2018,negative
07/01/2019,positive
15/01/2019,positive
13/07/2019,positive
11/02/2020,negative
19/02/2020,negative
14/05/2020,negative
31/08/2020,negative
10/11/2020,positive
22/11/2020,negative
01/03/2021,negative
05/03/2021,positive
24/05/2021,negative
08/06/2021,negative
23/06/2021,negative
06/08/2021,negative
01/10/2021,positive
11/11/2021,negative
23/02/2022,positive
08/03/2022,negative
25/03/2022,negative
06/04/2022,positive
13/04/2022,positive
20/04/2022,positive
25/04/2022,positive
09/05/2022,positive
23/05/2022,positive
30/05/2022,negative
02/06/2022,positive
04/08/2022,positive
02/09/2022,negative
07/09/2022,positive
16/09/2022,negative
13/10/2022,positive
31/10/2022,negative
31/10/2022,positive
01/11/2022,negative
14/11/2022,negative
30/11/2022,negative
13/12/2022,positive
15/12/2022,positive
21/02/2023,positive
21/02/2023,negative
22/02/2023,negative
22/02/2023,negative
31/03/2023,positive
31/03/2023,positive
03/04/2023,negative
10/04/2023,negative
18/04/2023,positive
01/05/2023,negative
03/05/2023,positive
17/05/2023,positive
28/06/2023,negative
30/06/2023,negative
10/07/2023,positive
26/07/2023,negative
20/08/2023,negative
02/10/2023,positive
03/10/2023,positive
04/10/2023,negative
09/10/2023,positive
17/10/2023,positive
19/10/2023,positive
19/10/2023,negative
19/10/2023,negative
24/10/2023,positive
25/10/2023,negative
25/10/2023,negative
27/10/2023,positive
11/11/2023,negative
29/11/2023,negative
12/12/2023,negative
12/12/2023,positive
19/12/2023,negative
19/12/2023,positive
09/01/2024,negative
30/01/2024,negative
30/01/2024,negative
31/01/2024,positive
16/02/2024,negative
17/02/2024,negative
20/02/2024,positive
20/02/2024,negative
21/02/2024,negative
21/02/2024,positive
23/02/2024,negative
05/03/2024,negative
15/03/2024,negative
18/03/2024,negative
18/03/2024,negative
18/03/2024,positive
18/03/2024,negative
18/03/2024,negative
21/03/2024,positive
25/03/2024,negative
27/03/2024,positive
