date,sentiment
31/12/2012,negative
30/06/2013,negative
12/09/2013,positive
22/09/2014,negative
09/02/2016,negative
06/05/2016,positive
30/09/2016,negative
19/04/2017,positive
16/07/2017,negative
26/10/2017,positive
09/04/2018,positive
08/05/2018,negative
15/05/2018,positive
13/11/2018,negative
05/02/2019,negative
02/05/2019,negative
31/05/2019,negative
18/06/2019,positive
31/07/2019,negative
09/10/2019,positive
14/10/2019,positive
28/10/2019,positive
23/02/2020,negative
26/02/2020,positive
03/06/2020,negative
26/06/2020,negative
21/07/2020,positive
21/07/2020,negative
30/07/2020,positive
13/08/2020,negative
25/08/2020,negative
21/09/2020,positive
28/10/2020,negative
21/12/2020,negative
11/02/2021,negative
11/02/2021,positive
25/03/2021,positive
03/06/2021,positive
08/06/2021,negative
08/07/2021,negative
17/08/2021,negative
27/10/2021,negative
07/12/2021,positive
06/02/2022,negative
02/03/2022,positive
19/04/2022,negative
24/04/2022,negative
26/04/2022,negative
30/04/2022,negative
05/05/2022,positive
29/05/2022,positive
25/07/2022,negative
11/08/2022,positive
27/09/2022,positive
01/11/2022,positive
12/11/2022,negative
28/11/2022,positive
07/12/2022,negative
12/01/2023,positive
23/01/2023,negative
30/01/2023,positive
02/02/2023,positive
04/02/2023,negative
13/02/2023,positive
01/03/2023,negative
04/04/2023,positive
05/04/2023,positive
11/04/2023,positive
20/04/2023,positive
03/05/2023,positive
15/05/2023,negative
16/05/2023,positive
31/05/2023,negative
14/06/2023,negative
23/06/2023,negative
31/07/2023,negative
02/08/2023,positive
03/08/2023,negative
03/08/2023,positive
20/09/2023,positive
28/09/2023,positive
05/10/2023,positive
17/10/2023,positive
30/10/2023,positive
31/10/2023,positive
01/11/2023,negative
01/11/2023,positive
01/11/2023,negative
02/11/2023,negative
02/11/2023,negative
14/11/2023,positive
17/11/2023,negative
20/11/2023,positive
20/11/2023,negative
28/11/2023,negative
01/12/2023,negative
02/12/2023,negative
07/12/2023,positive
10/12/2023,positive
13/12/2023,positive
14/12/2023,positive
16/12/2023,positive
18/12/2023,positive
18/12/2023,negative
21/12/2023,negative
23/12/2023,negative
03/01/2024,positive
03/01/2024,negative
05/01/2024,negative
09/01/2024,negative
12/01/2024,negative
16/01/2024,negative
18/01/2024,positive
21/01/2024,positive
22/01/2024,negative
30/01/2024,positive
01/02/2024,negative
02/02/2024,negative
02/02/2024,positive
02/02/2024,positive
06/02/2024,positive
06/02/2024,negative
06/02/2024,positive
07/02/2024,negative
07/02/2024,negative
08/02/2024,positive
08/02/2024,positive
10/02/2024,negative
14/02/2024,positive
15/02/2024,positive
17/02/2024,negative
21/02/2024,negative
22/02/2024,positive
27/02/2024,negative
03/03/2024,negative
06/03/2024,positive
07/03/2024,positive
07/03/2024,positive
08/03/2024,negative
13/03/2024,negative
16/03/2024,positive
18/03/2024,negative
19/03/2024,negative
19/03/2024,positive
20/03/2024,positive
20/03/2024,positive
21/03/2024,positive
22/03/2024,negative
26/03/2024,positive
27/03/2024,positive
28/03/2024,positive
28/03/2024,positive
