date,sentiment
20/10/2008,negative
01/03/2009,negative
11/10/2010,positive
22/11/2010,negative
06/09/2012,negative
05/06/2015,negative
28/08/2015,negative
01/09/2015,positive
01/09/2015,positive
01/09/2015,positive
02/09/2015,negative
04/09/2015,positive
11/09/2015,positive
11/09/2015,positive
23/09/2015,positive
22/10/2015,positive
28/10/2015,positive
25/11/2015,negative
26/11/2015,negative
07/01/2016,positive
07/01/2016,positive
01/10/2017,positive
28/10/2017,negative
24/04/2018,negative
01/05/2018,positive
04/09/2018,negative
05/02/2019,positive
22/05/2019,negative
20/06/2019,negative
08/07/2019,positive
19/09/2019,negative
19/09/2019,negative
19/09/2019,negative
19/09/2019,negative
19/09/2019,negative
20/09/2019,negative
21/09/2019,positive
27/09/2019,negative
26/10/2019,positive
02/12/2019,negative
09/12/2019,negative
15/12/2019,negative
09/02/2020,negative
16/02/2020,positive
19/02/2020,negative
22/04/2020,negative
12/05/2020,negative
12/05/2020,negative
12/05/2020,negative
15/08/2020,positive
21/08/2020,negative
25/08/2020,negative
25/08/2020,negative
28/08/2020,positive
29/09/2020,positive
07/10/2020,negative
15/10/2020,negative
10/11/2020,negative
14/12/2020,negative
12/01/2021,negative
11/02/2021,positive
11/02/2021,negative
10/04/2021,negative
22/04/2021,positive
04/05/2021,negative
06/05/2021,negative
07/05/2021,negative
18/05/2021,negative
26/05/2021,negative
06/06/2021,negative
23/07/2021,negative
04/08/2021,negative
26/10/2021,negative
28/10/2021,negative
02/11/2021,negative
18/12/2021,negative
18/12/2021,negative
29/12/2021,positive
13/01/2022,positive
02/02/2022,negative
11/02/2022,negative
13/02/2022,negative
02/03/2022,negative
17/03/2022,positive
02/05/2022,positive
01/06/2022,negative
01/07/2022,negative
21/07/2022,negative
28/07/2022,negative
04/08/2022,negative
25/08/2022,negative
31/08/2022,positive
05/09/2022,positive
09/09/2022,negative
24/09/2022,positive
12/10/2022,positive
20/10/2022,positive
03/11/2022,negative
03/11/2022,negative
07/11/2022,positive
11/11/2022,negative
14/11/2022,positive
14/11/2022,negative
29/11/2022,negative
04/12/2022,negative
10/12/2022,positive
15/12/2022,negative
23/12/2022,negative
17/01/2023,negative
23/01/2023,negative
25/01/2023,negative
26/01/2023,negative
27/01/2023,negative
27/01/2023,positive
27/01/2023,negative
16/02/2023,negative
16/02/2023,positive
17/02/2023,negative
17/02/2023,negative
27/02/2023,negative
06/03/2023,negative
08/03/2023,negative
19/03/2023,negative
22/03/2023,negative
22/03/2023,negative
30/03/2023,positive
10/04/2023,positive
10/04/2023,positive
11/04/2023,negative
19/04/2023,negative
19/04/2023,negative
20/04/2023,negative
21/04/2023,negative
04/05/2023,negative
04/05/2023,negative
04/05/2023,negative
05/05/2023,negative
09/05/2023,negative
09/05/2023,positive
10/05/2023,negative
11/05/2023,negative
12/05/2023,negative
19/05/2023,positive
19/05/2023,negative
20/05/2023,positive
05/06/2023,negative
07/06/2023,negative
08/06/2023,negative
09/06/2023,negative
13/06/2023,positive
29/06/2023,negative
30/06/2023,negative
13/07/2023,positive
17/07/2023,negative
25/07/2023,negative
01/08/2023,negative
03/08/2023,negative
04/08/2023,negative
06/08/2023,negative
07/08/2023,negative
08/08/2023,negative
08/08/2023,negative
08/08/2023,negative
08/08/2023,negative
15/08/2023,negative
25/08/2023,positive
13/09/2023,negative
19/09/2023,negative
09/10/2023,negative
17/10/2023,negative
23/10/2023,positive
30/10/2023,negative
30/10/2023,negative
30/10/2023,negative
03/11/2023,negative
06/11/2023,negative
06/11/2023,positive
07/11/2023,negative
07/11/2023,negative
07/11/2023,positive
07/11/2023,negative
07/11/2023,negative
07/11/2023,negative
07/11/2023,positive
07/11/2023,negative
07/11/2023,negative
07/11/2023,positive
08/11/2023,negative
08/11/2023,negative
08/11/2023,negative
15/11/2023,negative
15/11/2023,negative
16/11/2023,negative
17/11/2023,negative
18/11/2023,negative
22/11/2023,positive
23/11/2023,negative
30/11/2023,negative
30/11/2023,negative
01/12/2023,negative
05/12/2023,negative
07/12/2023,negative
08/12/2023,negative
11/12/2023,negative
14/12/2023,negative
21/12/2023,negative
25/12/2023,positive
26/12/2023,negative
02/01/2024,negative
03/01/2024,negative
06/01/2024,negative
08/01/2024,negative
11/01/2024,negative
15/01/2024,negative
15/01/2024,negative
16/01/2024,negative
17/01/2024,positive
18/01/2024,negative
22/01/2024,positive
23/01/2024,positive
24/01/2024,negative
25/01/2024,negative
25/01/2024,negative
26/01/2024,negative
30/01/2024,negative
31/01/2024,negative
01/02/2024,negative
02/02/2024,negative
05/02/2024,positive
06/02/2024,negative
08/02/2024,negative
08/02/2024,negative
08/02/2024,negative
09/02/2024,negative
11/02/2024,negative
13/02/2024,negative
13/02/2024,negative
13/02/2024,negative
13/02/2024,positive
13/02/2024,negative
13/02/2024,positive
13/02/2024,negative
13/02/2024,negative
13/02/2024,negative
13/02/2024,negative
13/02/2024,negative
14/02/2024,negative
14/02/2024,negative
14/02/2024,negative
19/02/2024,negative
20/02/2024,negative
22/02/2024,negative
23/02/2024,positive
23/02/2024,negative
27/02/2024,negative
28/02/2024,negative
29/02/2024,negative
29/02/2024,negative
07/03/2024,negative
08/03/2024,negative
14/03/2024,negative
14/03/2024,negative
19/03/2024,negative
19/03/2024,negative
20/03/2024,negative
23/03/2024,negative
26/03/2024,positive
27/03/2024,negative
