date,sentiment
23/02/2012,negative
26/02/2012,negative
15/06/2012,negative
21/12/2012,negative
18/02/2013,negative
23/05/2013,negative
23/09/2013,negative
28/07/2014,negative
28/07/2014,negative
29/07/2014,negative
29/07/2014,positive
30/07/2014,negative
06/08/2014,negative
18/08/2014,negative
18/08/2014,positive
02/09/2014,negative
05/09/2014,positive
01/12/2014,positive
19/12/2014,negative
03/02/2015,negative
25/02/2015,positive
07/04/2015,negative
15/05/2016,positive
14/07/2016,negative
14/07/2016,negative
28/07/2016,negative
25/08/2016,negative
12/09/2016,negative
25/10/2016,negative
28/02/2017,negative
02/06/2017,negative
23/06/2017,positive
31/07/2017,negative
18/09/2017,positive
05/12/2017,negative
08/12/2017,negative
17/04/2018,negative
04/06/2018,positive
12/06/2018,negative
09/07/2018,negative
17/10/2018,negative
28/10/2018,negative
30/11/2018,negative
30/11/2018,negative
06/12/2018,negative
08/01/2019,positive
06/02/2019,positive
06/02/2019,negative
07/03/2019,negative
23/04/2019,negative
29/08/2019,negative
26/11/2019,negative
26/11/2019,negative
26/11/2019,negative
27/11/2019,negative
13/01/2020,negative
09/03/2020,negative
20/03/2020,negative
24/03/2020,negative
07/04/2020,negative
08/04/2020,negative
04/05/2020,negative
28/05/2020,negative
20/07/2020,positive
21/08/2020,negative
03/09/2020,positive
10/09/2020,negative
25/11/2020,positive
25/11/2020,positive
01/02/2021,negative
01/02/2021,negative
01/02/2021,negative
01/02/2021,negative
01/02/2021,negative
04/02/2021,negative
05/03/2021,negative
26/04/2021,positive
09/08/2021,negative
27/08/2021,negative
14/09/2021,positive
29/09/2021,positive
29/09/2021,positive
29/09/2021,negative
05/10/2021,negative
07/10/2021,negative
25/10/2021,negative
12/11/2021,negative
15/11/2021,positive
16/11/2021,positive
20/11/2021,positive
19/12/2021,negative
09/02/2022,positive
14/02/2022,negative
25/02/2022,negative
08/03/2022,negative
20/03/2022,negative
25/03/2022,negative
21/04/2022,negative
22/04/2022,negative
26/05/2022,negative
26/05/2022,negative
26/05/2022,negative
26/05/2022,negative
02/06/2022,negative
16/06/2022,negative
18/06/2022,negative
28/06/2022,negative
05/07/2022,negative
20/07/2022,negative
29/07/2022,positive
04/08/2022,negative
25/08/2022,positive
25/08/2022,negative
25/08/2022,negative
29/08/2022,positive
31/08/2022,negative
02/09/2022,negative
26/09/2022,negative
11/10/2022,negative
25/10/2022,negative
03/11/2022,negative
16/11/2022,negative
21/11/2022,negative
22/11/2022,negative
22/11/2022,negative
23/11/2022,positive
23/11/2022,negative
14/12/2022,positive
05/01/2023,positive
24/01/2023,negative
27/01/2023,positive
01/03/2023,negative
01/03/2023,negative
01/03/2023,negative
02/03/2023,negative
06/03/2023,positive
07/03/2023,negative
20/03/2023,positive
30/03/2023,negative
24/05/2023,negative
25/05/2023,negative
25/05/2023,negative
25/05/2023,negative
25/05/2023,negative
25/05/2023,negative
25/05/2023,positive
26/05/2023,positive
31/05/2023,negative
01/06/2023,negative
07/06/2023,negative
21/06/2023,negative
21/06/2023,negative
21/06/2023,positive
22/06/2023,negative
30/06/2023,positive
24/08/2023,negative
24/08/2023,negative
24/08/2023,positive
24/08/2023,negative
24/08/2023,negative
24/08/2023,negative
24/08/2023,negative
24/08/2023,negative
24/08/2023,negative
24/08/2023,negative
25/08/2023,negative
31/08/2023,negative
31/08/2023,negative
12/09/2023,negative
25/09/2023,negative
26/09/2023,negative
17/10/2023,positive
17/10/2023,negative
17/10/2023,negative
17/10/2023,negative
17/10/2023,negative
18/10/2023,negative
24/10/2023,positive
08/11/2023,negative
20/11/2023,positive
23/11/2023,negative
23/11/2023,negative
23/11/2023,negative
24/11/2023,negative
27/11/2023,negative
29/11/2023,positive
29/11/2023,negative
29/11/2023,negative
29/11/2023,negative
29/11/2023,negative
29/11/2023,positive
29/11/2023,positive
30/11/2023,negative
05/12/2023,negative
07/12/2023,negative
28/12/2023,negative
16/01/2024,negative
16/01/2024,negative
19/01/2024,positive
25/01/2024,negative
29/01/2024,negative
29/01/2024,negative
29/01/2024,negative
08/02/2024,negative
08/02/2024,positive
13/02/2024,negative
15/02/2024,negative
21/02/2024,negative
26/02/2024,negative
28/02/2024,negative
28/02/2024,negative
01/03/2024,negative
01/03/2024,negative
05/03/2024,negative
05/03/2024,negative
07/03/2024,negative
07/03/2024,negative
07/03/2024,negative
07/03/2024,negative
08/03/2024,negative
11/03/2024,negative
11/03/2024,negative
12/03/2024,negative
12/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,positive
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,positive
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
13/03/2024,negative
14/03/2024,negative
14/03/2024,negative
14/03/2024,negative
14/03/2024,negative
14/03/2024,negative
17/03/2024,positive
21/03/2024,negative
