date,sentiment
03/11/2011,positive
24/06/2015,negative
17/08/2015,negative
14/07/2016,negative
14/04/2017,positive
07/09/2017,positive
14/11/2017,positive
13/06/2018,negative
09/07/2018,negative
16/11/2018,negative
21/11/2018,negative
10/12/2018,negative
24/12/2018,negative
11/03/2019,negative
12/03/2019,negative
04/04/2019,positive
02/07/2019,negative
03/07/2019,positive
07/07/2019,negative
10/10/2019,positive
06/11/2019,negative
06/11/2019,negative
16/12/2019,positive
22/01/2020,negative
24/01/2020,negative
10/02/2020,negative
11/05/2020,negative
20/06/2020,negative
02/07/2020,positive
06/07/2020,positive
16/07/2020,negative
21/07/2020,positive
07/10/2020,positive
04/11/2020,positive
07/11/2020,negative
17/12/2020,positive
11/01/2021,negative
16/03/2021,negative
23/03/2021,negative
07/04/2021,negative
01/06/2021,negative
03/06/2021,negative
11/06/2021,negative
24/06/2021,positive
15/07/2021,negative
19/07/2021,positive
19/07/2021,positive
01/11/2021,positive
01/11/2021,positive
02/11/2021,negative
03/11/2021,negative
26/11/2021,negative
14/12/2021,negative
11/02/2022,positive
14/03/2022,negative
29/03/2022,negative
23/04/2022,negative
28/04/2022,negative
29/04/2022,negative
19/05/2022,negative
24/05/2022,negative
27/05/2022,negative
28/05/2022,negative
31/05/2022,negative
07/06/2022,positive
10/06/2022,negative
13/06/2022,negative
27/06/2022,negative
29/06/2022,negative
21/07/2022,negative
27/07/2022,negative
29/07/2022,negative
05/08/2022,positive
30/08/2022,negative
01/09/2022,positive
05/10/2022,negative
25/10/2022,negative
31/10/2022,negative
07/11/2022,negative
10/11/2022,negative
08/12/2022,negative
19/01/2023,negative
22/01/2023,negative
02/02/2023,negative
09/02/2023,negative
22/02/2023,positive
24/02/2023,negative
24/02/2023,positive
28/02/2023,negative
06/03/2023,negative
06/04/2023,negative
28/04/2023,negative
28/04/2023,negative
01/05/2023,negative
02/05/2023,negative
02/05/2023,negative
03/05/2023,negative
04/05/2023,positive
29/05/2023,negative
06/06/2023,negative
07/06/2023,positive
21/06/2023,negative
26/06/2023,negative
26/06/2023,positive
26/06/2023,negative
27/06/2023,negative
07/07/2023,negative
25/07/2023,negative
27/07/2023,negative
28/07/2023,negative
28/07/2023,negative
28/07/2023,negative
01/09/2023,negative
06/09/2023,negative
07/09/2023,negative
08/09/2023,negative
12/09/2023,positive
14/09/2023,positive
15/09/2023,negative
15/09/2023,negative
18/09/2023,negative
18/09/2023,positive
18/09/2023,positive
22/09/2023,negative
29/09/2023,negative
05/10/2023,positive
09/10/2023,negative
09/10/2023,negative
24/10/2023,negative
26/10/2023,negative
26/10/2023,negative
26/10/2023,negative
26/10/2023,negative
26/10/2023,positive
27/10/2023,negative
27/10/2023,negative
27/10/2023,negative
30/10/2023,negative
08/11/2023,positive
14/11/2023,negative
16/11/2023,negative
17/11/2023,negative
20/11/2023,negative
20/11/2023,positive
28/11/2023,negative
05/12/2023,positive
05/12/2023,negative
05/12/2023,negative
07/12/2023,negative
11/12/2023,negative
08/01/2024,positive
18/01/2024,negative
19/01/2024,negative
22/01/2024,positive
22/01/2024,positive
22/01/2024,negative
25/01/2024,negative
29/01/2024,negative
01/02/2024,negative
05/02/2024,negative
05/02/2024,negative
08/02/2024,positive
08/02/2024,negative
08/02/2024,positive
08/02/2024,positive
08/02/2024,positive
08/02/2024,negative
08/02/2024,negative
09/02/2024,positive
09/02/2024,negative
09/02/2024,negative
13/02/2024,negative
18/02/2024,negative
18/02/2024,positive
21/02/2024,negative
27/02/2024,negative
04/03/2024,negative
06/03/2024,negative
06/03/2024,negative
06/03/2024,positive
06/03/2024,negative
06/03/2024,negative
06/03/2024,negative
07/03/2024,positive
07/03/2024,negative
07/03/2024,positive
07/03/2024,negative
08/03/2024,negative
08/03/2024,negative
09/03/2024,positive
11/03/2024,positive
11/03/2024,negative
14/03/2024,negative
18/03/2024,negative
19/03/2024,negative
19/03/2024,positive
20/03/2024,negative
21/03/2024,positive
23/03/2024,negative
26/03/2024,negative
26/03/2024,negative
26/03/2024,positive
27/03/2024,positive
27/03/2024,negative
27/03/2024,negative
29/03/2024,negative
29/03/2024,negative
29/03/2024,negative
30/03/2024,negative
