date,sentiment
29/01/2008,negative
10/03/2008,negative
31/03/2008,negative
07/10/2008,positive
05/08/2010,negative
09/08/2010,negative
06/05/2011,positive
21/12/2011,negative
29/01/2012,negative
04/02/2012,negative
10/02/2012,negative
12/06/2012,positive
13/06/2012,positive
25/09/2012,negative
26/09/2012,negative
26/09/2012,negative
07/01/2013,negative
06/02/2013,negative
01/04/2013,positive
11/04/2013,negative
04/06/2013,positive
26/07/2013,positive
30/07/2013,negative
12/08/2013,positive
03/10/2013,positive
07/10/2013,negative
15/10/2013,negative
21/10/2013,negative
05/12/2013,negative
24/12/2013,negative
13/01/2014,negative
16/01/2014,negative
22/05/2014,positive
23/05/2014,negative
27/05/2014,negative
29/05/2014,negative
01/06/2014,negative
24/07/2014,positive
24/07/2014,negative
14/08/2014,positive
25/09/2014,negative
01/10/2014,negative
26/10/2014,negative
03/11/2014,negative
16/12/2014,positive
27/01/2015,negative
21/04/2015,negative
12/05/2015,positive
19/06/2015,positive
22/06/2015,negative
22/07/2015,positive
13/08/2015,positive
18/08/2015,negative
25/08/2015,positive
21/10/2015,negative
21/10/2015,negative
22/10/2015,negative
22/10/2015,negative
12/11/2015,positive
26/12/2015,negative
12/01/2016,negative
12/01/2016,negative
12/01/2016,negative
12/01/2016,negative
13/01/2016,negative
13/01/2016,negative
13/01/2016,negative
14/01/2016,negative
14/01/2016,negative
23/01/2016,negative
22/02/2016,positive
23/02/2016,positive
24/02/2016,positive
04/03/2016,negative
10/03/2016,positive
14/03/2016,positive
12/04/2016,negative
18/04/2016,negative
25/04/2016,negative
05/05/2016,negative
06/05/2016,negative
16/05/2016,positive
18/05/2016,negative
07/06/2016,positive
07/06/2016,negative
07/06/2016,positive
13/06/2016,negative
11/07/2016,negative
11/07/2016,negative
11/07/2016,positive
14/07/2016,negative
19/07/2016,positive
27/07/2016,positive
20/08/2016,negative
30/08/2016,negative
31/08/2016,negative
01/09/2016,positive
02/09/2016,positive
20/09/2016,negative
05/10/2016,positive
11/10/2016,negative
12/10/2016,negative
12/10/2016,positive
17/10/2016,negative
19/10/2016,positive
19/10/2016,negative
27/10/2016,negative
01/11/2016,negative
15/12/2016,positive
28/12/2016,negative
05/01/2017,negative
16/01/2017,positive
03/02/2017,negative
16/02/2017,negative
23/02/2017,positive
28/02/2017,negative
17/03/2017,negative
23/03/2017,negative
11/04/2017,negative
11/04/2017,negative
01/05/2017,negative
02/05/2017,positive
13/06/2017,negative
19/06/2017,positive
28/06/2017,negative
14/08/2017,positive
22/08/2017,positive
25/08/2017,negative
05/09/2017,negative
06/09/2017,positive
16/09/2017,negative
07/11/2017,negative
15/11/2017,positive
21/11/2017,positive
21/11/2017,negative
29/11/2017,negative
02/12/2017,positive
14/12/2017,negative
21/12/2017,negative
29/12/2017,negative
05/01/2018,negative
16/01/2018,negative
16/01/2018,negative
07/02/2018,positive
20/02/2018,negative
01/03/2018,negative
02/03/2018,negative
07/03/2018,positive
20/03/2018,negative
20/03/2018,positive
12/04/2018,negative
20/04/2018,positive
15/05/2018,positive
18/05/2018,negative
24/05/2018,negative
01/06/2018,positive
05/06/2018,negative
05/06/2018,negative
06/06/2018,positive
07/06/2018,positive
13/06/2018,negative
13/06/2018,positive
16/06/2018,positive
26/06/2018,negative
13/07/2018,negative
13/07/2018,negative
16/07/2018,negative
26/07/2018,positive
10/08/2018,negative
03/09/2018,negative
04/09/2018,negative
05/09/2018,negative
05/09/2018,negative
06/09/2018,positive
07/09/2018,negative
17/09/2018,negative
24/09/2018,negative
27/09/2018,negative
30/09/2018,negative
30/09/2018,negative
01/10/2018,negative
03/10/2018,negative
04/10/2018,negative
05/10/2018,negative
13/10/2018,negative
13/10/2018,negative
19/10/2018,negative
22/10/2018,negative
23/10/2018,negative
30/10/2018,negative
05/11/2018,negative
06/11/2018,negative
06/11/2018,negative
07/11/2018,positive
08/11/2018,positive
20/11/2018,positive
28/11/2018,negative
28/12/2018,positive
09/01/2019,negative
07/02/2019,negative
11/02/2019,positive
13/02/2019,negative
17/02/2019,negative
24/02/2019,positive
26/02/2019,positive
03/03/2019,positive
04/03/2019,negative
11/03/2019,negative
02/04/2019,positive
10/04/2019,positive
11/04/2019,negative
13/04/2019,negative
15/04/2019,negative
15/04/2019,negative
16/04/2019,negative
17/04/2019,negative
25/04/2019,negative
08/05/2019,negative
13/05/2019,negative
17/05/2019,negative
18/05/2019,positive
23/05/2019,negative
28/05/2019,positive
29/05/2019,negative
09/06/2019,negative
10/06/2019,positive
17/06/2019,negative
21/06/2019,negative
27/06/2019,positive
23/07/2019,positive
23/07/2019,negative
24/07/2019,positive
25/07/2019,positive
02/08/2019,negative
29/08/2019,negative
25/09/2019,negative
30/09/2019,positive
04/10/2019,negative
04/10/2019,negative
16/10/2019,positive
16/10/2019,negative
17/10/2019,positive
24/10/2019,negative
28/10/2019,negative
28/10/2019,positive
29/10/2019,negative
04/11/2019,negative
06/11/2019,negative
18/11/2019,positive
25/11/2019,negative
25/11/2019,negative
25/11/2019,negative
26/11/2019,negative
03/12/2019,positive
09/12/2019,negative
12/12/2019,negative
17/12/2019,negative
19/12/2019,negative
26/12/2019,positive
03/01/2020,negative
07/02/2020,negative
17/02/2020,negative
18/02/2020,negative
18/02/2020,positive
18/02/2020,positive
18/02/2020,negative
24/03/2020,negative
07/04/2020,negative
08/05/2020,positive
13/05/2020,negative
18/05/2020,negative
28/05/2020,negative
16/06/2020,negative
18/06/2020,negative
19/06/2020,negative
14/07/2020,negative
14/07/2020,negative
16/07/2020,negative
20/07/2020,negative
21/07/2020,negative
28/07/2020,negative
28/07/2020,positive
29/07/2020,negative
29/07/2020,negative
05/08/2020,positive
06/08/2020,negative
07/08/2020,negative
10/08/2020,positive
12/08/2020,negative
12/08/2020,negative
17/08/2020,positive
18/08/2020,positive
25/08/2020,negative
10/09/2020,negative
17/09/2020,negative
25/09/2020,negative
25/09/2020,negative
01/10/2020,negative
21/10/2020,positive
27/10/2020,negative
28/10/2020,negative
04/11/2020,positive
17/11/2020,positive
22/11/2020,negative
25/11/2020,negative
25/11/2020,negative
02/12/2020,negative
03/12/2020,negative
04/12/2020,negative
08/12/2020,negative
08/12/2020,negative
09/12/2020,negative
07/01/2021,negative
16/01/2021,negative
20/01/2021,positive
21/01/2021,negative
21/01/2021,positive
21/01/2021,positive
28/01/2021,negative
29/01/2021,negative
04/02/2021,negative
07/02/2021,negative
12/02/2021,positive
04/03/2021,negative
09/03/2021,negative
09/03/2021,negative
11/03/2021,negative
17/03/2021,positive
20/03/2021,negative
22/03/2021,negative
22/03/2021,negative
02/04/2021,negative
02/04/2021,negative
02/04/2021,negative
06/04/2021,negative
07/04/2021,negative
07/04/2021,positive
08/04/2021,negative
08/04/2021,negative
08/04/2021,negative
09/04/2021,negative
20/04/2021,positive
23/04/2021,negative
29/04/2021,negative
03/05/2021,negative
03/05/2021,negative
13/05/2021,positive
18/05/2021,positive
25/05/2021,negative
25/05/2021,negative
27/05/2021,negative
27/05/2021,negative
28/05/2021,negative
06/06/2021,negative
25/06/2021,negative
16/07/2021,negative
20/07/2021,negative
20/07/2021,negative
30/07/2021,negative
30/07/2021,negative
10/08/2021,negative
11/08/2021,negative
16/08/2021,negative
17/08/2021,negative
17/08/2021,negative
18/08/2021,negative
08/09/2021,negative
08/09/2021,negative
08/09/2021,negative
08/09/2021,negative
