date,sentiment
01/04/2013,positive
23/07/2015,negative
31/08/2016,positive
06/04/2017,negative
24/08/2017,negative
22/09/2017,negative
26/09/2017,negative
15/01/2018,negative
05/02/2018,negative
07/05/2018,negative
07/08/2018,negative
24/10/2019,negative
17/01/2020,negative
28/02/2020,negative
04/03/2020,negative
23/09/2020,positive
06/10/2020,positive
07/12/2020,positive
06/01/2021,negative
14/01/2021,negative
18/01/2021,negative
02/02/2021,negative
30/04/2021,negative
02/06/2021,negative
03/08/2021,negative
20/08/2021,negative
28/09/2021,negative
02/03/2022,negative
31/05/2022,negative
21/06/2022,negative
01/08/2022,negative
02/08/2022,negative
17/01/2023,positive
24/04/2023,negative
27/04/2023,negative
28/04/2023,negative
01/06/2023,negative
15/06/2023,negative
19/07/2023,negative
29/08/2023,positive
30/08/2023,negative
08/09/2023,positive
31/10/2023,negative
01/11/2023,positive
02/11/2023,negative
02/11/2023,negative
03/11/2023,positive
13/11/2023,negative
23/11/2023,negative
04/12/2023,negative
07/12/2023,negative
09/12/2023,negative
15/01/2024,positive
15/01/2024,negative
30/01/2024,negative
31/01/2024,negative
02/02/2024,negative
05/02/2024,negative
05/02/2024,positive
05/02/2024,negative
05/02/2024,negative
05/02/2024,negative
05/02/2024,negative
05/02/2024,negative
06/02/2024,negative
10/02/2024,negative
15/02/2024,positive
16/02/2024,negative
20/02/2024,positive
22/02/2024,negative
22/02/2024,negative
11/03/2024,negative
12/03/2024,negative
19/03/2024,negative
21/03/2024,negative
27/03/2024,positive
28/03/2024,positive
28/03/2024,positive
