date,sentiment
16/06/2011,positive
27/10/2011,positive
19/01/2012,positive
10/04/2012,negative
19/11/2012,negative
26/01/2013,positive
21/03/2013,negative
28/08/2013,positive
24/10/2013,positive
22/01/2014,negative
24/01/2014,positive
01/04/2014,negative
01/04/2014,positive
23/04/2014,negative
25/06/2014,negative
24/07/2014,negative
21/08/2014,negative
18/11/2014,negative
03/03/2015,negative
26/03/2015,positive
28/04/2015,negative
03/08/2015,negative
16/09/2015,negative
14/10/2015,negative
04/12/2015,negative
29/12/2015,negative
14/04/2016,negative
15/04/2016,negative
18/05/2016,negative
25/05/2016,positive
30/05/2016,negative
05/07/2016,negative
07/09/2016,positive
07/09/2016,negative
07/09/2016,positive
02/11/2016,negative
23/01/2017,negative
25/01/2017,negative
04/02/2017,positive
07/04/2017,negative
12/05/2017,negative
18/05/2017,positive
23/06/2017,negative
19/07/2017,positive
25/07/2017,negative
12/08/2017,positive
20/09/2017,negative
06/10/2017,negative
17/10/2017,positive
01/12/2017,positive
09/01/2018,positive
21/03/2018,negative
17/04/2018,negative
11/05/2018,negative
12/06/2018,negative
13/06/2018,positive
02/07/2018,positive
27/09/2018,positive
23/10/2018,negative
31/10/2018,negative
05/12/2018,negative
06/12/2018,positive
10/01/2019,negative
24/01/2019,negative
03/02/2019,positive
10/02/2019,positive
22/02/2019,positive
17/04/2019,negative
22/04/2019,positive
03/06/2019,negative
17/07/2019,positive
18/07/2019,negative
26/07/2019,negative
26/07/2019,positive
23/09/2019,negative
17/10/2019,negative
18/10/2019,negative
20/10/2019,positive
10/11/2019,positive
10/11/2019,positive
29/11/2019,negative
23/01/2020,positive
20/05/2020,negative
04/06/2020,negative
10/06/2020,negative
21/07/2020,negative
24/07/2020,negative
21/08/2020,negative
02/09/2020,positive
04/11/2020,negative
07/11/2020,positive
20/11/2020,positive
05/02/2021,negative
25/02/2021,negative
09/04/2021,negative
20/04/2021,negative
21/04/2021,positive
22/04/2021,negative
18/05/2021,negative
03/06/2021,negative
