date,sentiment
21/02/2009,negative
14/06/2009,negative
28/09/2009,positive
06/04/2010,positive
08/07/2010,positive
20/07/2010,positive
30/08/2010,negative
03/09/2010,positive
05/10/2010,positive
08/10/2010,negative
21/11/2010,negative
23/11/2010,negative
19/12/2010,negative
01/03/2011,positive
07/03/2011,positive
29/03/2011,negative
29/03/2011,positive
21/04/2011,negative
20/07/2011,negative
04/08/2011,positive
04/08/2011,negative
12/09/2011,positive
27/09/2011,positive
18/12/2011,positive
19/12/2011,positive
19/12/2011,negative
19/12/2011,negative
20/12/2011,positive
03/01/2012,positive
02/02/2012,positive
22/02/2012,negative
23/02/2012,negative
26/02/2012,negative
03/04/2012,negative
13/05/2012,positive
27/05/2012,positive
23/06/2012,positive
30/06/2012,positive
08/07/2012,negative
09/09/2012,positive
01/10/2012,negative
01/10/2012,negative
01/10/2012,negative
07/11/2012,positive
27/11/2012,positive
04/12/2012,negative
21/01/2013,negative
27/01/2013,negative
05/02/2013,positive
13/02/2013,positive
14/02/2013,positive
05/03/2013,positive
23/04/2013,negative
17/05/2013,positive
30/05/2013,positive
03/06/2013,negative
02/08/2013,negative
24/08/2013,positive
05/09/2013,positive
05/11/2013,negative
26/11/2013,negative
27/11/2013,positive
05/12/2013,negative
29/12/2013,negative
22/01/2014,positive
12/02/2014,positive
27/02/2014,positive
03/03/2014,positive
10/03/2014,positive
13/03/2014,positive
01/04/2014,negative
02/04/2014,positive
22/04/2014,negative
11/05/2014,positive
20/05/2014,negative
09/06/2014,negative
01/07/2014,positive
01/07/2014,positive
04/09/2014,positive
22/10/2014,negative
26/10/2014,positive
17/12/2014,positive
23/12/2014,positive
29/12/2014,positive
04/02/2015,negative
13/02/2015,positive
25/02/2015,positive
04/03/2015,negative
09/03/2015,positive
09/05/2015,negative
14/05/2015,negative
18/05/2015,positive
18/05/2015,positive
01/06/2015,positive
17/06/2015,negative
19/06/2015,negative
26/06/2015,positive
29/06/2015,negative
02/07/2015,positive
02/07/2015,negative
02/07/2015,positive
02/07/2015,positive
03/07/2015,positive
06/07/2015,negative
03/09/2015,negative
04/09/2015,negative
10/09/2015,positive
06/10/2015,positive
07/10/2015,positive
14/10/2015,positive
16/10/2015,negative
09/12/2015,negative
30/12/2015,positive
09/01/2016,positive
26/02/2016,positive
27/02/2016,positive
09/03/2016,positive
10/03/2016,positive
15/03/2016,positive
23/03/2016,positive
04/04/2016,positive
15/04/2016,positive
17/04/2016,positive
18/04/2016,positive
09/05/2016,negative
14/05/2016,positive
16/05/2016,negative
18/05/2016,negative
18/05/2016,positive
12/07/2016,positive
13/07/2016,negative
18/07/2016,positive
