date,sentiment
22/02/2008,positive
29/05/2008,positive
28/08/2008,negative
11/12/2008,positive
12/12/2008,negative
23/01/2009,negative
21/07/2009,positive
07/05/2010,positive
17/06/2010,negative
31/07/2010,positive
21/01/2011,negative
10/02/2011,positive
25/02/2011,positive
01/09/2011,positive
26/09/2011,negative
02/11/2011,positive
15/05/2012,negative
05/09/2012,positive
13/12/2012,negative
17/01/2013,positive
29/08/2013,positive
05/11/2013,positive
18/12/2013,negative
27/12/2013,positive
02/01/2014,negative
30/09/2014,negative
30/09/2014,negative
24/10/2014,negative
02/11/2014,positive
02/11/2014,positive
04/11/2014,negative
19/11/2014,negative
31/01/2015,negative
13/03/2015,positive
13/03/2015,positive
16/03/2015,negative
16/04/2015,positive
28/07/2015,negative
12/08/2015,negative
12/08/2015,negative
17/09/2015,negative
11/11/2015,negative
05/01/2016,negative
29/02/2016,negative
29/02/2016,positive
29/02/2016,positive
29/02/2016,positive
16/03/2016,positive
17/03/2016,negative
23/05/2016,negative
16/06/2016,negative
27/07/2016,negative
25/08/2016,positive
27/08/2016,positive
29/08/2016,positive
05/10/2016,negative
28/11/2016,negative
30/11/2016,positive
28/12/2016,positive
02/02/2017,negative
22/02/2017,positive
12/04/2017,negative
13/04/2017,positive
18/05/2017,negative
18/06/2017,positive
21/09/2017,positive
19/12/2017,positive
27/02/2018,positive
08/03/2018,negative
19/03/2018,negative
31/07/2018,positive
07/09/2018,negative
07/09/2018,negative
16/09/2018,negative
31/10/2018,positive
11/11/2018,negative
17/12/2018,negative
20/02/2019,negative
23/06/2019,negative
27/08/2019,negative
01/10/2019,negative
15/11/2019,negative
05/12/2019,positive
27/12/2019,positive
04/02/2020,negative
24/02/2020,negative
25/04/2020,positive
26/05/2020,negative
20/07/2020,negative
21/09/2020,positive
30/11/2020,positive
10/12/2020,positive
17/12/2020,positive
22/12/2020,negative
01/02/2021,positive
15/03/2021,negative
03/04/2021,negative
27/04/2021,negative
05/05/2021,positive
18/05/2021,negative
18/05/2021,negative
15/06/2021,positive
23/06/2021,positive
21/07/2021,negative
08/09/2021,negative
15/09/2021,negative
11/10/2021,positive
18/10/2021,positive
24/10/2021,positive
01/11/2021,positive
01/11/2021,positive
05/11/2021,positive
24/11/2021,positive
06/12/2021,negative
17/12/2021,positive
31/12/2021,positive
31/12/2021,positive
31/12/2021,positive
13/01/2022,positive
01/02/2022,positive
04/02/2022,negative
07/03/2022,positive
11/03/2022,negative
13/04/2022,positive
28/04/2022,negative
01/05/2022,positive
26/05/2022,negative
08/06/2022,negative
17/06/2022,negative
22/07/2022,positive
15/08/2022,negative
15/08/2022,negative
14/09/2022,negative
29/09/2022,positive
14/10/2022,negative
24/10/2022,negative
26/10/2022,positive
02/11/2022,positive
09/11/2022,positive
02/12/2022,negative
06/12/2022,negative
15/12/2022,positive
21/12/2022,negative
22/12/2022,negative
17/01/2023,negative
25/01/2023,positive
26/01/2023,negative
27/01/2023,negative
27/01/2023,negative
15/03/2023,negative
06/04/2023,negative
26/04/2023,negative
26/04/2023,negative
19/05/2023,negative
22/05/2023,negative
31/05/2023,negative
04/06/2023,positive
18/07/2023,negative
19/07/2023,negative
24/07/2023,negative
27/07/2023,positive
28/07/2023,negative
28/07/2023,negative
04/08/2023,negative
11/08/2023,negative
18/08/2023,positive
21/08/2023,positive
06/09/2023,negative
08/09/2023,negative
14/09/2023,negative
15/09/2023,negative
18/09/2023,positive
22/09/2023,positive
22/09/2023,negative
12/10/2023,positive
20/10/2023,negative
25/10/2023,negative
25/10/2023,negative
25/10/2023,positive
26/10/2023,positive
26/10/2023,negative
30/10/2023,negative
31/10/2023,negative
01/11/2023,negative
06/11/2023,positive
14/11/2023,positive
22/11/2023,negative
27/11/2023,negative
30/11/2023,negative
05/12/2023,positive
10/12/2023,positive
13/12/2023,positive
13/12/2023,negative
21/12/2023,negative
02/01/2024,negative
02/01/2024,negative
08/01/2024,negative
17/01/2024,negative
22/01/2024,negative
22/01/2024,negative
23/01/2024,negative
24/01/2024,negative
25/01/2024,negative
25/01/2024,negative
25/01/2024,negative
25/01/2024,negative
25/01/2024,negative
26/01/2024,negative
26/01/2024,positive
26/01/2024,negative
26/01/2024,negative
26/01/2024,positive
26/01/2024,positive
27/01/2024,negative
09/02/2024,negative
15/02/2024,negative
19/02/2024,negative
22/02/2024,negative
24/02/2024,positive
24/02/2024,positive
29/02/2024,positive
02/03/2024,positive
06/03/2024,negative
06/03/2024,negative
07/03/2024,negative
07/03/2024,negative
08/03/2024,positive
10/03/2024,negative
10/03/2024,positive
18/03/2024,negative
18/03/2024,negative
18/03/2024,negative
19/03/2024,negative
19/03/2024,positive
25/03/2024,positive
26/03/2024,negative
28/03/2024,positive
29/03/2024,negative
