date,sentiment
03/11/2008,negative
06/01/2011,negative
07/07/2014,negative
13/09/2014,negative
19/11/2014,positive
19/02/2016,negative
26/04/2016,negative
28/04/2016,positive
23/05/2016,negative
23/08/2016,negative
05/10/2016,negative
19/04/2017,negative
07/09/2017,negative
07/03/2018,negative
12/03/2018,negative
16/04/2018,negative
01/05/2018,negative
25/05/2018,negative
07/06/2018,negative
18/06/2018,negative
16/07/2018,negative
23/01/2019,negative
24/01/2019,negative
18/03/2019,negative
20/03/2019,negative
04/04/2019,positive
24/04/2019,negative
14/06/2019,negative
31/07/2019,negative
13/09/2019,negative
27/09/2019,positive
25/10/2019,negative
28/10/2019,negative
05/11/2019,negative
15/11/2019,negative
29/01/2020,negative
18/02/2020,negative
27/02/2020,negative
05/03/2020,negative
22/04/2020,negative
03/09/2020,negative
14/09/2020,negative
16/09/2020,negative
23/09/2020,negative
21/10/2020,negative
05/11/2020,negative
06/12/2020,negative
28/01/2021,negative
05/03/2021,negative
31/03/2021,negative
05/04/2021,positive
25/04/2021,negative
18/05/2021,negative
20/05/2021,positive
28/06/2021,negative
28/07/2021,negative
04/08/2021,positive
27/08/2021,negative
20/10/2021,negative
06/12/2021,positive
07/12/2021,negative
08/12/2021,negative
10/12/2021,negative
12/12/2021,negative
17/12/2021,positive
29/12/2021,negative
04/01/2022,negative
01/02/2022,positive
09/02/2022,negative
21/03/2022,negative
28/03/2022,negative
14/04/2022,negative
11/05/2022,negative
11/05/2022,negative
14/06/2022,negative
30/06/2022,positive
11/07/2022,positive
27/07/2022,negative
27/07/2022,negative
05/08/2022,negative
15/09/2022,positive
23/09/2022,negative
30/09/2022,negative
17/10/2022,negative
20/10/2022,positive
02/11/2022,negative
15/11/2022,negative
15/11/2022,positive
24/11/2022,negative
05/12/2022,positive
14/12/2022,negative
25/01/2023,negative
25/01/2023,negative
26/01/2023,negative
27/01/2023,negative
30/01/2023,negative
24/03/2023,positive
28/03/2023,negative
10/04/2023,negative
18/04/2023,positive
19/04/2023,negative
20/04/2023,negative
21/04/2023,negative
21/04/2023,negative
25/04/2023,negative
26/04/2023,negative
04/05/2023,negative
26/05/2023,negative
22/06/2023,positive
24/07/2023,negative
26/07/2023,negative
27/07/2023,negative
11/08/2023,negative
18/08/2023,negative
21/08/2023,negative
24/08/2023,negative
31/08/2023,negative
07/09/2023,negative
12/09/2023,negative
14/09/2023,negative
14/09/2023,negative
19/09/2023,negative
20/09/2023,positive
22/09/2023,negative
27/09/2023,positive
29/09/2023,negative
08/10/2023,negative
18/10/2023,negative
18/10/2023,positive
18/10/2023,negative
18/10/2023,negative
20/10/2023,negative
20/10/2023,negative
30/10/2023,positive
14/11/2023,negative
15/11/2023,negative
20/11/2023,negative
09/12/2023,negative
11/12/2023,negative
12/12/2023,negative
15/12/2023,negative
16/12/2023,negative
19/12/2023,negative
21/12/2023,positive
25/12/2023,negative
29/12/2023,negative
02/01/2024,negative
03/01/2024,negative
08/01/2024,positive
10/01/2024,negative
14/01/2024,negative
18/01/2024,positive
22/01/2024,negative
24/01/2024,negative
24/01/2024,negative
24/01/2024,negative
24/01/2024,positive
24/01/2024,negative
24/01/2024,negative
24/01/2024,negative
25/01/2024,negative
25/01/2024,negative
25/01/2024,negative
26/01/2024,negative
26/01/2024,negative
28/01/2024,positive
30/01/2024,negative
31/01/2024,negative
31/01/2024,negative
04/02/2024,negative
04/02/2024,positive
05/02/2024,negative
08/02/2024,positive
08/02/2024,negative
09/02/2024,positive
19/02/2024,negative
21/02/2024,negative
22/02/2024,negative
22/02/2024,positive
23/02/2024,negative
23/02/2024,negative
26/02/2024,negative
28/02/2024,negative
29/02/2024,negative
05/03/2024,negative
06/03/2024,negative
07/03/2024,positive
12/03/2024,negative
13/03/2024,negative
13/03/2024,negative
14/03/2024,negative
15/03/2024,negative
18/03/2024,negative
20/03/2024,negative
20/03/2024,negative
21/03/2024,negative
22/03/2024,negative
25/03/2024,positive
26/03/2024,negative
28/03/2024,negative
