date,sentiment
16/10/2008,negative
15/12/2010,negative
03/02/2011,negative
23/05/2011,negative
08/06/2012,negative
25/09/2012,negative
16/05/2013,negative
27/06/2013,negative
22/11/2013,negative
26/12/2013,negative
10/10/2014,negative
13/10/2014,negative
17/11/2014,negative
12/01/2015,positive
12/02/2015,negative
02/09/2015,negative
03/12/2015,positive
03/02/2016,positive
29/02/2016,negative
17/03/2016,negative
18/03/2016,negative
29/03/2016,negative
04/04/2016,positive
04/04/2016,negative
12/04/2016,negative
13/04/2016,negative
31/05/2016,negative
04/11/2016,negative
21/11/2016,negative
10/04/2017,negative
16/07/2017,negative
02/03/2018,negative
20/04/2018,negative
18/05/2018,negative
29/05/2018,negative
30/05/2018,negative
01/06/2018,positive
26/06/2018,negative
01/08/2018,negative
10/08/2018,negative
17/08/2018,negative
20/09/2018,negative
05/10/2018,negative
21/11/2018,negative
10/12/2018,positive
10/12/2018,negative
06/02/2019,positive
19/02/2019,negative
23/03/2019,positive
02/04/2019,negative
16/04/2019,negative
13/05/2019,negative
16/05/2019,negative
19/06/2019,positive
24/06/2019,positive
02/07/2019,negative
07/07/2019,positive
15/07/2019,negative
18/07/2019,negative
07/08/2019,negative
08/08/2019,negative
31/08/2019,negative
17/09/2019,negative
17/09/2019,negative
31/10/2019,negative
01/12/2019,negative
07/01/2020,negative
03/02/2020,negative
24/02/2020,positive
06/03/2020,positive
09/03/2020,negative
18/03/2020,negative
25/03/2020,negative
28/04/2020,positive
02/06/2020,negative
11/08/2020,negative
18/08/2020,negative
31/08/2020,negative
22/09/2020,positive
11/10/2020,negative
19/10/2020,negative
05/11/2020,negative
09/11/2020,negative
09/12/2020,positive
22/01/2021,positive
05/02/2021,negative
01/04/2021,negative
27/04/2021,negative
30/04/2021,negative
07/05/2021,negative
02/06/2021,positive
24/06/2021,negative
07/07/2021,negative
15/07/2021,positive
04/08/2021,negative
17/08/2021,negative
29/09/2021,positive
12/10/2021,negative
08/11/2021,negative
06/12/2021,negative
06/12/2021,negative
12/01/2022,positive
14/02/2022,negative
05/03/2022,positive
21/03/2022,positive
25/03/2022,positive
28/03/2022,positive
05/04/2022,positive
03/05/2022,negative
09/05/2022,negative
25/05/2022,negative
31/05/2022,negative
04/06/2022,negative
23/06/2022,negative
02/08/2022,negative
12/08/2022,negative
25/08/2022,negative
08/09/2022,positive
09/09/2022,positive
30/09/2022,negative
30/09/2022,positive
24/10/2022,positive
28/10/2022,negative
01/11/2022,negative
03/11/2022,negative
08/11/2022,positive
14/12/2022,negative
27/12/2022,negative
29/12/2022,negative
12/01/2023,negative
24/02/2023,negative
06/03/2023,negative
07/03/2023,positive
23/03/2023,negative
06/04/2023,negative
17/04/2023,negative
02/05/2023,negative
09/05/2023,negative
19/05/2023,negative
26/05/2023,negative
07/06/2023,negative
08/06/2023,negative
09/06/2023,negative
12/06/2023,negative
07/07/2023,positive
14/07/2023,negative
27/07/2023,negative
31/07/2023,negative
04/08/2023,negative
04/08/2023,negative
07/08/2023,negative
11/08/2023,negative
20/08/2023,positive
04/09/2023,negative
08/09/2023,negative
20/09/2023,positive
02/10/2023,negative
06/10/2023,positive
29/10/2023,positive
01/11/2023,negative
02/11/2023,negative
02/11/2023,negative
02/11/2023,negative
03/11/2023,negative
04/11/2023,negative
05/11/2023,negative
09/11/2023,negative
13/11/2023,positive
16/11/2023,negative
30/11/2023,negative
30/11/2023,negative
30/11/2023,positive
07/12/2023,negative
07/12/2023,negative
11/12/2023,negative
23/12/2023,negative
02/01/2024,negative
02/01/2024,negative
04/01/2024,positive
04/01/2024,negative
04/01/2024,negative
09/01/2024,positive
09/01/2024,negative
09/01/2024,negative
09/01/2024,positive
15/01/2024,positive
22/01/2024,negative
28/01/2024,negative
29/01/2024,negative
29/01/2024,negative
30/01/2024,negative
31/01/2024,positive
01/02/2024,negative
01/02/2024,positive
01/02/2024,negative
01/02/2024,negative
02/02/2024,negative
02/02/2024,negative
05/02/2024,negative
06/02/2024,negative
06/02/2024,negative
14/02/2024,negative
14/02/2024,negative
15/02/2024,negative
17/02/2024,negative
17/02/2024,negative
20/02/2024,negative
21/02/2024,negative
22/02/2024,negative
23/02/2024,negative
26/02/2024,positive
27/02/2024,negative
29/02/2024,negative
04/03/2024,positive
06/03/2024,positive
07/03/2024,positive
07/03/2024,positive
11/03/2024,positive
11/03/2024,negative
11/03/2024,positive
14/03/2024,negative
18/03/2024,negative
20/03/2024,negative
23/03/2024,negative
25/03/2024,positive
25/03/2024,negative
28/03/2024,negative
28/03/2024,negative
31/03/2024,negative
