date,sentiment
09/03/2008,positive
16/04/2008,negative
24/04/2008,negative
16/06/2008,negative
17/10/2008,negative
11/02/2009,negative
19/02/2009,positive
20/07/2009,negative
06/08/2009,negative
12/08/2009,negative
25/08/2009,positive
02/11/2009,positive
13/11/2009,negative
11/12/2009,positive
09/04/2010,positive
15/04/2010,negative
06/05/2010,negative
06/07/2010,negative
22/07/2010,negative
16/09/2010,positive
26/09/2010,negative
29/12/2010,positive
15/03/2011,positive
02/06/2011,negative
03/06/2011,positive
06/06/2011,positive
17/06/2011,negative
22/08/2011,negative
24/10/2011,negative
28/10/2011,negative
05/12/2011,negative
01/02/2012,negative
15/03/2012,positive
26/03/2012,negative
09/04/2012,negative
16/05/2012,negative
21/06/2012,negative
21/06/2012,negative
14/08/2012,negative
22/08/2012,negative
19/09/2012,negative
21/09/2012,positive
01/10/2012,negative
02/10/2012,positive
16/10/2012,negative
01/11/2012,positive
15/11/2012,positive
16/11/2012,positive
22/11/2012,negative
28/11/2012,negative
08/01/2013,positive
22/01/2013,negative
29/01/2013,positive
25/02/2013,negative
25/02/2013,positive
17/04/2013,negative
23/04/2013,negative
01/06/2013,negative
04/09/2013,positive
23/09/2013,negative
10/10/2013,positive
07/11/2013,negative
04/12/2013,positive
26/02/2014,negative
18/03/2014,positive
19/03/2014,negative
22/03/2014,positive
17/04/2014,positive
30/05/2014,negative
30/05/2014,positive
24/06/2014,negative
04/07/2014,negative
30/09/2014,positive
06/10/2014,negative
14/11/2014,positive
08/12/2014,negative
30/01/2015,negative
07/02/2015,negative
18/04/2015,negative
30/04/2015,positive
29/05/2015,positive
15/06/2015,negative
27/07/2015,positive
28/07/2015,positive
25/08/2015,negative
28/08/2015,negative
09/09/2015,negative
18/09/2015,positive
30/09/2015,positive
13/10/2015,negative
19/10/2015,positive
02/11/2015,positive
11/11/2015,negative
10/12/2015,negative
27/01/2016,negative
28/03/2016,negative
11/04/2016,negative
22/04/2016,negative
29/04/2016,negative
05/05/2016,positive
09/06/2016,positive
22/07/2016,positive
23/07/2016,negative
06/09/2016,negative
19/10/2016,positive
27/10/2016,negative
16/11/2016,positive
01/12/2016,negative
02/12/2016,negative
24/01/2017,negative
28/03/2017,positive
05/04/2017,negative
27/04/2017,positive
01/06/2017,positive
05/06/2017,negative
12/06/2017,positive
30/06/2017,positive
07/08/2017,positive
07/09/2017,negative
19/10/2017,negative
29/11/2017,negative
28/12/2017,positive
03/01/2018,positive
01/02/2018,positive
13/03/2018,negative
15/03/2018,negative
20/03/2018,positive
13/04/2018,negative
17/04/2018,positive
20/04/2018,positive
06/06/2018,negative
06/06/2018,positive
13/06/2018,positive
13/06/2018,positive
19/06/2018,positive
06/08/2018,positive
14/08/2018,positive
12/09/2018,negative
20/09/2018,positive
28/09/2018,negative
02/10/2018,positive
25/02/2019,positive
21/03/2019,positive
25/03/2019,negative
08/04/2019,negative
09/04/2019,negative
29/04/2019,positive
04/05/2019,negative
06/05/2019,positive
06/05/2019,positive
11/06/2019,negative
14/06/2019,negative
16/07/2019,positive
29/07/2019,negative
26/08/2019,negative
14/09/2019,negative
06/11/2019,positive
12/11/2019,negative
07/01/2020,positive
08/01/2020,negative
08/01/2020,negative
04/04/2020,negative
22/04/2020,positive
01/05/2020,negative
04/06/2020,negative
20/07/2020,negative
14/08/2020,negative
20/09/2020,negative
22/09/2020,negative
09/10/2020,positive
20/10/2020,negative
18/12/2020,negative
06/01/2021,negative
23/02/2021,positive
09/03/2021,negative
23/03/2021,negative
23/03/2021,positive
16/04/2021,negative
28/04/2021,positive
29/04/2021,negative
28/05/2021,negative
08/06/2021,negative
21/06/2021,negative
02/07/2021,negative
02/07/2021,negative
29/07/2021,negative
29/07/2021,negative
09/08/2021,negative
02/09/2021,negative
10/09/2021,negative
05/10/2021,negative
05/10/2021,negative
17/10/2021,positive
22/11/2021,negative
07/12/2021,negative
13/12/2021,negative
09/01/2022,negative
19/01/2022,negative
16/02/2022,positive
16/02/2022,positive
08/03/2022,positive
14/03/2022,negative
18/03/2022,positive
19/04/2022,negative
20/04/2022,negative
22/04/2022,negative
04/05/2022,negative
10/05/2022,positive
10/05/2022,positive
11/05/2022,positive
13/05/2022,positive
10/06/2022,negative
10/06/2022,positive
14/06/2022,negative
20/07/2022,negative
19/08/2022,negative
09/09/2022,positive
21/09/2022,negative
30/09/2022,positive
05/10/2022,positive
06/10/2022,positive
10/10/2022,positive
14/10/2022,positive
14/10/2022,positive
26/10/2022,negative
01/11/2022,negative
01/11/2022,negative
16/11/2022,positive
17/11/2022,negative
27/11/2022,negative
28/11/2022,positive
29/11/2022,negative
06/12/2022,negative
08/12/2022,negative
12/12/2022,negative
12/12/2022,negative
14/12/2022,positive
15/12/2022,negative
23/12/2022,positive
31/01/2023,negative
02/02/2023,positive
07/02/2023,negative
09/02/2023,positive
13/02/2023,negative
13/02/2023,negative
23/02/2023,negative
01/03/2023,positive
05/03/2023,negative
08/03/2023,negative
08/03/2023,negative
04/04/2023,negative
04/04/2023,positive
05/04/2023,negative
05/04/2023,negative
11/04/2023,negative
12/04/2023,negative
12/04/2023,negative
12/04/2023,positive
13/04/2023,positive
24/04/2023,negative
27/04/2023,negative
03/05/2023,negative
04/05/2023,positive
01/06/2023,negative
02/06/2023,negative
02/06/2023,negative
02/06/2023,negative
02/06/2023,positive
05/06/2023,negative
05/06/2023,negative
07/06/2023,negative
07/06/2023,positive
12/06/2023,negative
15/06/2023,positive
19/06/2023,negative
19/06/2023,negative
19/06/2023,negative
22/06/2023,negative
22/06/2023,negative
23/06/2023,negative
23/06/2023,negative
27/06/2023,negative
28/06/2023,negative
29/06/2023,positive
30/06/2023,negative
06/07/2023,negative
10/07/2023,negative
14/07/2023,negative
15/07/2023,negative
16/07/2023,positive
17/07/2023,negative
19/07/2023,positive
26/07/2023,negative
29/07/2023,positive
01/08/2023,negative
15/08/2023,negative
23/08/2023,negative
28/08/2023,negative
31/08/2023,positive
01/09/2023,negative
01/09/2023,negative
