date,sentiment
21/03/2012,negative
01/10/2012,positive
19/11/2012,negative
30/03/2013,positive
18/06/2013,positive
05/08/2013,positive
15/08/2013,negative
15/08/2013,negative
15/01/2014,negative
14/03/2014,negative
13/05/2014,positive
29/05/2014,negative
07/06/2014,negative
28/07/2014,negative
01/08/2014,negative
18/12/2014,negative
17/03/2015,negative
08/06/2015,positive
02/07/2015,positive
06/07/2015,negative
02/09/2015,positive
28/09/2015,positive
15/03/2016,positive
26/03/2016,negative
19/04/2016,positive
22/06/2016,positive
30/06/2016,negative
01/07/2016,negative
31/08/2016,negative
08/11/2016,negative
09/11/2016,negative
10/11/2016,negative
10/11/2016,negative
10/11/2016,positive
17/11/2016,positive
11/01/2017,negative
17/03/2017,negative
10/04/2017,positive
11/04/2017,negative
08/05/2017,positive
10/05/2017,negative
18/05/2017,negative
20/06/2017,positive
17/07/2017,negative
02/08/2017,positive
02/08/2017,negative
02/08/2017,negative
08/08/2017,negative
10/08/2017,positive
08/09/2017,positive
14/11/2017,negative
17/11/2017,negative
20/12/2017,positive
23/01/2018,positive
20/02/2018,positive
10/04/2018,positive
27/04/2018,positive
07/05/2018,positive
25/07/2018,negative
21/08/2018,negative
11/09/2018,negative
30/10/2018,positive
21/01/2019,positive
24/01/2019,positive
27/02/2019,negative
15/04/2019,negative
04/06/2019,negative
13/09/2019,positive
29/10/2019,negative
30/10/2019,positive
29/01/2020,negative
29/01/2020,negative
31/01/2020,negative
19/02/2020,positive
24/07/2020,positive
29/07/2020,negative
24/08/2020,negative
16/10/2020,negative
10/11/2020,negative
16/11/2020,positive
18/11/2020,positive
28/01/2021,negative
05/02/2021,negative
16/03/2021,negative
18/03/2021,negative
18/03/2021,negative
22/03/2021,positive
22/03/2021,positive
19/04/2021,negative
21/04/2021,positive
23/04/2021,positive
27/04/2021,positive
13/05/2021,negative
25/05/2021,negative
26/05/2021,positive
03/08/2021,negative
16/08/2021,positive
27/08/2021,positive
06/09/2021,negative
24/09/2021,negative
01/10/2021,positive
03/11/2021,positive
17/11/2021,positive
30/11/2021,positive
03/12/2021,negative
23/12/2021,positive
05/01/2022,positive
25/01/2022,positive
28/01/2022,negative
31/01/2022,negative
02/02/2022,negative
23/02/2022,positive
07/03/2022,negative
04/04/2022,positive
25/04/2022,positive
26/04/2022,positive
02/05/2022,negative
02/05/2022,negative
11/05/2022,positive
16/05/2022,negative
24/05/2022,positive
27/05/2022,negative
02/06/2022,positive
06/06/2022,negative
15/06/2022,negative
20/06/2022,negative
30/06/2022,positive
11/07/2022,negative
27/07/2022,positive
01/08/2022,positive
09/08/2022,negative
08/09/2022,negative
28/09/2022,positive
30/09/2022,negative
13/10/2022,negative
21/10/2022,negative
02/11/2022,negative
02/11/2022,positive
09/11/2022,positive
14/11/2022,positive
16/11/2022,positive
19/11/2022,positive
05/12/2022,positive
09/12/2022,negative
14/12/2022,negative
19/12/2022,negative
19/12/2022,negative
19/12/2022,negative
06/01/2023,positive
24/01/2023,positive
27/01/2023,negative
31/01/2023,negative
17/02/2023,negative
21/02/2023,negative
23/02/2023,positive
26/02/2023,negative
27/02/2023,positive
27/02/2023,positive
06/03/2023,negative
06/03/2023,positive
07/03/2023,negative
10/03/2023,positive
16/03/2023,negative
17/03/2023,negative
05/04/2023,positive
14/04/2023,negative
14/04/2023,negative
24/04/2023,positive
27/04/2023,negative
28/04/2023,positive
02/05/2023,negative
10/05/2023,positive
11/05/2023,negative
12/05/2023,negative
12/05/2023,positive
16/05/2023,negative
16/05/2023,positive
24/05/2023,negative
29/05/2023,positive
06/06/2023,positive
16/06/2023,negative
16/06/2023,positive
17/06/2023,negative
26/06/2023,positive
28/07/2023,positive
28/07/2023,positive
28/07/2023,negative
04/08/2023,positive
01/09/2023,positive
11/09/2023,positive
26/09/2023,positive
03/10/2023,positive
03/10/2023,positive
06/10/2023,negative
09/10/2023,positive
09/10/2023,positive
10/10/2023,negative
10/10/2023,positive
11/10/2023,positive
27/10/2023,negative
31/10/2023,negative
01/11/2023,negative
01/11/2023,negative
02/11/2023,negative
06/11/2023,negative
06/11/2023,positive
14/11/2023,positive
27/11/2023,negative
04/12/2023,negative
05/12/2023,positive
07/12/2023,positive
07/12/2023,positive
07/12/2023,positive
07/12/2023,positive
12/12/2023,positive
16/12/2023,negative
22/12/2023,negative
27/12/2023,negative
27/12/2023,positive
03/01/2024,negative
07/01/2024,positive
09/01/2024,negative
15/01/2024,negative
16/01/2024,positive
17/01/2024,positive
21/01/2024,positive
23/01/2024,positive
23/01/2024,negative
28/01/2024,negative
29/01/2024,positive
30/01/2024,negative
30/01/2024,positive
30/01/2024,negative
30/01/2024,positive
31/01/2024,positive
31/01/2024,negative
31/01/2024,negative
01/02/2024,negative
01/02/2024,positive
01/02/2024,positive
02/02/2024,negative
05/02/2024,positive
09/02/2024,positive
13/02/2024,negative
14/02/2024,negative
17/02/2024,positive
17/02/2024,positive
20/02/2024,positive
22/02/2024,negative
27/02/2024,positive
29/02/2024,negative
29/02/2024,negative
03/03/2024,negative
06/03/2024,positive
08/03/2024,positive
11/03/2024,negative
12/03/2024,positive
12/03/2024,positive
14/03/2024,negative
16/03/2024,positive
17/03/2024,negative
20/03/2024,negative
24/03/2024,negative
25/03/2024,negative
25/03/2024,negative
26/03/2024,negative
26/03/2024,negative
28/03/2024,positive
31/03/2024,negative
