date,sentiment
05/01/2012,negative
18/01/2012,positive
29/02/2012,negative
30/04/2012,negative
22/06/2012,negative
13/02/2013,negative
19/02/2013,positive
22/03/2013,negative
01/05/2013,positive
18/06/2013,negative
18/06/2013,positive
16/09/2013,negative
17/09/2013,negative
14/08/2014,positive
15/08/2014,negative
24/12/2014,positive
30/12/2014,negative
19/03/2015,negative
11/06/2015,negative
21/10/2015,negative
12/02/2016,negative
28/03/2016,negative
19/04/2016,negative
29/04/2016,negative
25/07/2016,negative
15/11/2016,positive
05/01/2017,negative
13/01/2017,negative
13/02/2017,negative
02/03/2017,negative
02/03/2017,negative
03/03/2017,negative
08/04/2017,negative
30/04/2017,negative
31/05/2017,negative
31/08/2017,positive
27/10/2017,negative
05/12/2017,negative
12/01/2018,negative
28/02/2018,negative
01/03/2018,negative
25/04/2018,negative
08/08/2018,negative
08/11/2018,negative
10/12/2018,negative
11/03/2019,negative
19/03/2019,negative
20/03/2019,positive
10/04/2019,negative
15/04/2019,negative
15/04/2019,negative
07/06/2019,negative
02/07/2019,negative
23/07/2019,negative
07/08/2019,negative
07/08/2019,negative
08/08/2019,negative
04/09/2019,negative
07/11/2019,negative
27/12/2019,positive
11/01/2020,negative
16/04/2020,negative
04/05/2020,negative
21/06/2020,negative
26/06/2020,positive
19/07/2020,negative
05/08/2020,negative
16/08/2020,positive
01/09/2020,positive
05/10/2020,negative
09/12/2020,negative
16/01/2021,negative
20/01/2021,negative
30/01/2021,negative
27/02/2021,negative
28/02/2021,negative
01/03/2021,positive
08/03/2021,negative
22/03/2021,negative
10/05/2021,negative
06/07/2021,negative
06/07/2021,negative
04/08/2021,positive
13/08/2021,positive
08/09/2021,negative
13/09/2021,negative
11/10/2021,negative
12/10/2021,negative
14/10/2021,negative
08/11/2021,positive
21/11/2021,positive
22/11/2021,positive
22/11/2021,negative
22/11/2021,positive
23/11/2021,negative
24/11/2021,negative
08/12/2021,positive
03/01/2022,positive
06/01/2022,negative
13/01/2022,negative
13/01/2022,negative
13/01/2022,negative
20/01/2022,positive
10/02/2022,positive
16/02/2022,negative
09/03/2022,negative
05/05/2022,negative
27/05/2022,positive
24/06/2022,negative
19/07/2022,positive
19/07/2022,positive
28/07/2022,negative
08/08/2022,negative
29/09/2022,positive
07/10/2022,negative
11/10/2022,positive
26/10/2022,positive
02/11/2022,positive
04/11/2022,negative
18/11/2022,positive
30/11/2022,positive
02/12/2022,negative
04/12/2022,negative
09/12/2022,positive
26/02/2023,negative
28/02/2023,positive
28/02/2023,negative
01/03/2023,negative
06/03/2023,negative
09/03/2023,negative
18/03/2023,negative
27/03/2023,negative
28/03/2023,positive
28/03/2023,negative
04/04/2023,positive
17/04/2023,positive
17/04/2023,positive
17/04/2023,negative
17/04/2023,negative
18/04/2023,positive
19/04/2023,negative
21/04/2023,positive
27/04/2023,negative
27/04/2023,positive
01/05/2023,positive
02/05/2023,negative
08/05/2023,negative
16/05/2023,positive
22/05/2023,negative
27/05/2023,negative
31/05/2023,positive
06/06/2023,negative
09/06/2023,negative
19/06/2023,negative
23/06/2023,positive
24/06/2023,negative
26/06/2023,positive
26/06/2023,negative
29/06/2023,positive
29/06/2023,negative
03/07/2023,positive
05/07/2023,negative
06/07/2023,negative
12/07/2023,negative
04/08/2023,negative
04/08/2023,negative
05/08/2023,negative
07/08/2023,negative
07/08/2023,positive
27/08/2023,positive
01/09/2023,negative
01/09/2023,negative
07/09/2023,positive
13/09/2023,negative
22/09/2023,negative
02/10/2023,negative
09/10/2023,negative
18/10/2023,negative
24/10/2023,negative
03/11/2023,negative
03/11/2023,negative
03/11/2023,negative
03/11/2023,negative
03/11/2023,negative
07/11/2023,positive
09/11/2023,negative
14/11/2023,negative
15/11/2023,positive
01/12/2023,negative
08/12/2023,negative
12/12/2023,negative
27/12/2023,positive
01/01/2024,positive
04/01/2024,negative
05/01/2024,negative
15/01/2024,positive
17/01/2024,positive
22/01/2024,positive
22/01/2024,negative
25/01/2024,negative
06/02/2024,positive
09/02/2024,positive
12/02/2024,negative
20/02/2024,negative
21/02/2024,negative
22/02/2024,positive
22/02/2024,positive
26/02/2024,negative
27/02/2024,negative
28/02/2024,positive
28/02/2024,negative
28/02/2024,negative
29/02/2024,negative
29/02/2024,negative
29/02/2024,negative
29/02/2024,negative
02/03/2024,positive
02/03/2024,negative
06/03/2024,negative
09/03/2024,negative
11/03/2024,positive
20/03/2024,negative
25/03/2024,negative
27/03/2024,negative
29/03/2024,negative
30/03/2024,positive
