date,sentiment
12/02/2010,negative
16/11/2012,negative
22/02/2013,negative
28/02/2013,negative
23/09/2013,negative
30/05/2014,positive
17/11/2014,negative
13/08/2015,negative
27/10/2015,negative
24/02/2016,negative
31/03/2016,negative
05/04/2016,negative
06/04/2016,positive
23/08/2016,negative
27/08/2016,positive
20/09/2016,positive
22/09/2016,negative
15/12/2016,positive
24/07/2017,negative
20/11/2017,positive
23/11/2017,positive
24/11/2017,positive
19/01/2018,positive
05/03/2018,negative
20/03/2018,positive
09/04/2018,negative
25/05/2018,negative
07/08/2018,negative
17/09/2018,positive
30/10/2018,positive
29/05/2019,negative
17/07/2019,positive
01/08/2019,negative
12/08/2019,negative
29/08/2019,negative
24/09/2019,negative
23/10/2019,negative
05/11/2019,negative
13/11/2019,negative
25/11/2019,positive
03/12/2019,negative
09/12/2019,negative
09/01/2020,negative
26/02/2020,negative
27/02/2020,negative
02/03/2020,negative
07/05/2020,positive
08/06/2020,negative
09/06/2020,negative
15/06/2020,negative
07/07/2020,negative
31/08/2020,positive
12/10/2020,negative
29/10/2020,positive
29/10/2020,negative
29/10/2020,negative
03/12/2020,negative
08/12/2020,negative
11/12/2020,negative
21/12/2020,positive
17/02/2021,negative
04/03/2021,negative
16/03/2021,positive
25/03/2021,negative
16/04/2021,negative
20/04/2021,negative
18/05/2021,negative
19/05/2021,negative
16/06/2021,negative
18/06/2021,negative
07/07/2021,negative
03/08/2021,negative
03/08/2021,negative
09/08/2021,positive
09/08/2021,negative
10/08/2021,negative
10/08/2021,positive
11/08/2021,negative
22/09/2021,negative
04/10/2021,negative
08/10/2021,negative
03/11/2021,negative
15/11/2021,negative
18/11/2021,positive
19/11/2021,negative
19/11/2021,positive
19/11/2021,positive
22/11/2021,positive
23/11/2021,negative
02/12/2021,positive
03/12/2021,negative
07/12/2021,negative
21/12/2021,positive
03/01/2022,negative
04/01/2022,negative
07/01/2022,negative
19/01/2022,positive
31/01/2022,negative
08/02/2022,negative
09/02/2022,negative
09/02/2022,negative
09/02/2022,positive
25/02/2022,negative
03/03/2022,negative
04/03/2022,negative
07/03/2022,negative
25/03/2022,positive
25/03/2022,negative
08/04/2022,negative
12/04/2022,negative
20/04/2022,negative
09/05/2022,negative
17/05/2022,positive
31/05/2022,negative
10/06/2022,negative
01/07/2022,positive
13/07/2022,negative
27/07/2022,negative
04/08/2022,negative
09/08/2022,positive
18/08/2022,negative
25/08/2022,negative
25/08/2022,negative
26/08/2022,negative
31/08/2022,negative
14/09/2022,positive
20/09/2022,negative
12/10/2022,negative
07/11/2022,negative
09/11/2022,positive
16/11/2022,negative
18/11/2022,positive
22/11/2022,negative
24/11/2022,positive
08/12/2022,positive
08/12/2022,negative
12/12/2022,negative
27/12/2022,negative
24/01/2023,negative
23/02/2023,negative
02/03/2023,negative
03/03/2023,negative
03/03/2023,negative
05/03/2023,negative
18/04/2023,negative
19/05/2023,negative
25/05/2023,negative
25/05/2023,negative
25/05/2023,negative
25/05/2023,negative
25/05/2023,negative
25/05/2023,negative
26/05/2023,negative
26/05/2023,negative
26/05/2023,positive
26/05/2023,negative
28/05/2023,positive
30/05/2023,negative
01/06/2023,negative
07/06/2023,negative
07/06/2023,negative
21/06/2023,negative
21/06/2023,negative
27/06/2023,negative
03/07/2023,negative
18/07/2023,negative
19/07/2023,negative
24/07/2023,negative
25/07/2023,negative
27/07/2023,negative
30/07/2023,negative
01/08/2023,negative
04/08/2023,negative
07/08/2023,negative
16/08/2023,positive
17/08/2023,negative
22/08/2023,negative
24/08/2023,negative
24/08/2023,negative
24/08/2023,negative
24/08/2023,negative
25/08/2023,negative
25/08/2023,negative
25/08/2023,negative
25/08/2023,negative
01/09/2023,negative
21/09/2023,negative
26/09/2023,negative
09/10/2023,negative
11/10/2023,negative
23/10/2023,negative
30/10/2023,negative
14/11/2023,negative
15/11/2023,negative
16/11/2023,negative
21/11/2023,negative
21/11/2023,negative
23/11/2023,negative
27/11/2023,negative
28/11/2023,negative
28/11/2023,negative
29/11/2023,positive
29/11/2023,negative
30/11/2023,negative
30/11/2023,negative
30/11/2023,negative
30/11/2023,negative
30/11/2023,negative
01/12/2023,negative
01/12/2023,negative
01/12/2023,negative
01/12/2023,negative
05/12/2023,negative
05/12/2023,negative
06/12/2023,positive
12/12/2023,negative
13/12/2023,negative
14/12/2023,positive
17/12/2023,negative
18/12/2023,negative
19/12/2023,negative
23/12/2023,negative
27/12/2023,negative
29/12/2023,negative
31/12/2023,negative
01/01/2024,negative
01/01/2024,negative
05/01/2024,negative
08/01/2024,negative
11/01/2024,negative
12/01/2024,negative
12/01/2024,positive
16/01/2024,positive
18/01/2024,negative
18/01/2024,positive
19/01/2024,negative
20/01/2024,positive
22/01/2024,negative
22/01/2024,positive
22/01/2024,negative
24/01/2024,negative
30/01/2024,negative
31/01/2024,negative
06/02/2024,negative
06/02/2024,negative
07/02/2024,negative
08/02/2024,negative
08/02/2024,negative
09/02/2024,negative
14/02/2024,positive
14/02/2024,positive
19/02/2024,negative
20/02/2024,positive
20/02/2024,positive
21/02/2024,positive
22/02/2024,negative
22/02/2024,positive
23/02/2024,negative
27/02/2024,negative
29/02/2024,negative
01/03/2024,negative
02/03/2024,negative
04/03/2024,positive
05/03/2024,negative
05/03/2024,negative
05/03/2024,negative
07/03/2024,negative
07/03/2024,negative
07/03/2024,positive
07/03/2024,positive
07/03/2024,negative
07/03/2024,negative
07/03/2024,negative
07/03/2024,negative
07/03/2024,negative
07/03/2024,negative
07/03/2024,negative
07/03/2024,negative
08/03/2024,negative
08/03/2024,negative
08/03/2024,negative
08/03/2024,positive
08/03/2024,negative
08/03/2024,negative
08/03/2024,negative
08/03/2024,negative
08/03/2024,positive
08/03/2024,negative
08/03/2024,negative
08/03/2024,negative
08/03/2024,negative
08/03/2024,negative
08/03/2024,negative
12/03/2024,negative
12/03/2024,positive
13/03/2024,negative
13/03/2024,negative
14/03/2024,negative
15/03/2024,negative
15/03/2024,negative
15/03/2024,negative
18/03/2024,negative
19/03/2024,negative
19/03/2024,negative
19/03/2024,negative
20/03/2024,negative
21/03/2024,positive
21/03/2024,negative
23/03/2024,positive
25/03/2024,negative
25/03/2024,positive
27/03/2024,negative
27/03/2024,positive
27/03/2024,negative
27/03/2024,positive
28/03/2024,negative
29/03/2024,negative
30/03/2024,negative
31/03/2024,negative
