date,sentiment
13/03/2008,negative
02/05/2008,negative
04/05/2008,negative
10/06/2008,negative
10/07/2008,negative
11/07/2008,negative
09/09/2008,negative
19/09/2008,negative
28/10/2008,negative
18/11/2008,negative
04/12/2008,negative
16/12/2008,positive
22/01/2009,negative
12/02/2009,positive
18/02/2009,positive
19/03/2009,negative
20/03/2009,positive
11/05/2009,negative
11/05/2009,negative
11/06/2009,negative
16/06/2009,negative
29/06/2009,negative
15/07/2009,positive
05/08/2009,negative
23/09/2009,negative
24/09/2009,negative
02/10/2009,positive
07/10/2009,positive
16/12/2009,negative
30/01/2010,negative
11/02/2010,negative
20/04/2010,negative
26/04/2010,negative
04/05/2010,negative
27/05/2010,negative
08/06/2010,positive
08/06/2010,negative
10/06/2010,positive
15/06/2010,positive
07/07/2010,negative
22/07/2010,positive
12/08/2010,negative
17/08/2010,positive
27/08/2010,negative
03/11/2010,negative
17/11/2010,negative
19/11/2010,positive
22/11/2010,positive
21/12/2010,negative
17/01/2011,positive
17/01/2011,positive
02/02/2011,negative
16/02/2011,negative
10/03/2011,positive
14/03/2011,negative
14/03/2011,negative
26/03/2011,positive
05/04/2011,negative
08/04/2011,positive
13/04/2011,positive
15/04/2011,negative
18/04/2011,negative
10/05/2011,negative
10/05/2011,negative
10/05/2011,negative
10/05/2011,negative
06/06/2011,negative
07/06/2011,positive
21/06/2011,negative
28/06/2011,positive
29/07/2011,positive
01/08/2011,negative
05/08/2011,negative
08/08/2011,positive
23/08/2011,negative
29/08/2011,positive
07/09/2011,positive
20/09/2011,negative
27/09/2011,positive
30/09/2011,positive
03/10/2011,negative
11/10/2011,negative
12/10/2011,negative
13/10/2011,positive
14/10/2011,negative
19/10/2011,negative
19/10/2011,negative
21/10/2011,positive
24/10/2011,negative
03/11/2011,positive
03/11/2011,positive
11/11/2011,negative
18/11/2011,negative
29/11/2011,negative
08/12/2011,negative
15/12/2011,negative
21/12/2011,negative
06/01/2012,negative
06/01/2012,negative
09/01/2012,positive
12/01/2012,negative
12/01/2012,negative
26/01/2012,negative
31/01/2012,negative
01/02/2012,negative
02/02/2012,negative
24/02/2012,negative
26/03/2012,negative
29/03/2012,positive
16/04/2012,negative
24/04/2012,positive
02/05/2012,positive
05/05/2012,positive
17/05/2012,positive
15/06/2012,positive
18/06/2012,positive
20/06/2012,positive
25/06/2012,negative
25/06/2012,negative
27/06/2012,positive
29/06/2012,positive
02/07/2012,negative
05/07/2012,negative
11/07/2012,negative
16/07/2012,negative
16/07/2012,negative
19/07/2012,negative
19/07/2012,negative
02/08/2012,negative
05/09/2012,positive
06/09/2012,negative
10/09/2012,positive
13/09/2012,negative
14/09/2012,negative
25/09/2012,positive
27/09/2012,positive
01/10/2012,negative
14/10/2012,negative
14/10/2012,negative
19/10/2012,negative
23/10/2012,positive
25/10/2012,negative
26/10/2012,negative
26/10/2012,positive
29/10/2012,positive
01/11/2012,negative
03/11/2012,positive
12/11/2012,positive
12/11/2012,negative
13/11/2012,positive
14/12/2012,negative
31/12/2012,positive
31/12/2012,negative
02/01/2013,negative
04/01/2013,negative
08/01/2013,positive
09/01/2013,negative
15/01/2013,negative
22/01/2013,positive
25/01/2013,positive
29/01/2013,positive
31/01/2013,negative
09/02/2013,negative
18/02/2013,positive
21/02/2013,negative
26/02/2013,positive
26/02/2013,negative
04/03/2013,positive
13/03/2013,positive
19/03/2013,negative
19/03/2013,negative
20/03/2013,positive
23/04/2013,negative
04/05/2013,negative
07/05/2013,positive
08/05/2013,negative
10/05/2013,negative
12/05/2013,negative
17/05/2013,negative
30/06/2013,negative
16/07/2013,negative
18/07/2013,negative
19/07/2013,positive
26/07/2013,positive
14/08/2013,negative
23/08/2013,negative
23/08/2013,negative
23/08/2013,positive
23/08/2013,positive
26/08/2013,negative
26/08/2013,negative
01/09/2013,negative
03/09/2013,positive
03/09/2013,negative
03/09/2013,negative
18/09/2013,negative
20/09/2013,positive
26/09/2013,negative
30/09/2013,positive
14/10/2013,negative
18/10/2013,positive
04/11/2013,negative
09/11/2013,negative
18/12/2013,negative
20/12/2013,negative
12/01/2014,positive
14/01/2014,negative
17/01/2014,positive
24/01/2014,negative
27/01/2014,negative
27/01/2014,negative
31/01/2014,positive
03/02/2014,negative
04/02/2014,positive
04/02/2014,positive
04/02/2014,positive
12/02/2014,negative
07/03/2014,negative
17/03/2014,negative
19/03/2014,positive
21/03/2014,negative
24/03/2014,negative
25/03/2014,negative
27/03/2014,negative
31/03/2014,positive
03/04/2014,negative
07/04/2014,negative
24/04/2014,positive
29/04/2014,positive
02/05/2014,positive
07/05/2014,negative
21/05/2014,negative
30/05/2014,negative
30/05/2014,positive
11/06/2014,negative
30/06/2014,negative
07/07/2014,negative
29/07/2014,negative
30/07/2014,negative
11/08/2014,negative
19/08/2014,negative
29/08/2014,negative
10/09/2014,negative
11/09/2014,negative
15/09/2014,negative
17/09/2014,positive
18/09/2014,positive
23/09/2014,positive
24/09/2014,negative
24/09/2014,negative
29/09/2014,negative
02/10/2014,positive
03/10/2014,negative
07/10/2014,positive
13/10/2014,positive
16/10/2014,positive
20/10/2014,positive
23/10/2014,negative
23/10/2014,negative
10/11/2014,positive
12/11/2014,positive
25/11/2014,positive
26/11/2014,negative
05/12/2014,negative
05/12/2014,negative
15/12/2014,negative
17/12/2014,negative
22/12/2014,negative
05/01/2015,positive
14/01/2015,negative
19/01/2015,negative
23/01/2015,negative
26/01/2015,negative
04/02/2015,negative
11/03/2015,negative
12/03/2015,negative
23/03/2015,positive
24/03/2015,negative
25/03/2015,positive
31/03/2015,positive
06/04/2015,negative
15/04/2015,negative
16/04/2015,negative
20/04/2015,negative
21/04/2015,negative
24/04/2015,positive
24/04/2015,negative
24/04/2015,positive
26/04/2015,positive
05/05/2015,negative
09/05/2015,negative
11/05/2015,positive
12/05/2015,negative
21/05/2015,negative
27/05/2015,negative
27/05/2015,positive
01/06/2015,positive
03/06/2015,positive
03/06/2015,negative
08/06/2015,negative
12/06/2015,negative
15/06/2015,negative
16/06/2015,positive
22/06/2015,positive
24/06/2015,positive
26/06/2015,negative
27/06/2015,positive
30/06/2015,negative
30/06/2015,positive
02/07/2015,negative
08/07/2015,negative
21/07/2015,positive
21/07/2015,negative
21/07/2015,negative
03/08/2015,negative
04/08/2015,positive
09/08/2015,negative
11/08/2015,positive
18/08/2015,positive
24/08/2015,positive
25/08/2015,negative
31/08/2015,positive
18/09/2015,positive
