date,sentiment
15/08/2011,positive
17/09/2012,negative
21/05/2013,negative
03/09/2013,negative
17/11/2014,negative
27/02/2015,negative
03/03/2015,negative
26/05/2015,negative
03/06/2015,negative
07/12/2015,positive
10/12/2015,negative
29/03/2016,negative
13/04/2016,negative
28/04/2016,positive
26/05/2016,negative
06/06/2016,negative
14/06/2016,negative
15/06/2016,negative
24/06/2016,positive
07/07/2016,negative
14/07/2016,positive
24/08/2016,negative
11/10/2016,negative
20/10/2016,negative
24/10/2016,negative
27/10/2016,negative
02/02/2017,negative
07/02/2017,negative
04/08/2017,negative
24/10/2017,negative
31/01/2018,negative
12/02/2018,negative
13/03/2018,negative
29/03/2018,negative
19/04/2018,positive
14/05/2018,positive
18/05/2018,negative
14/06/2018,negative
19/06/2018,negative
23/07/2018,negative
25/07/2018,negative
26/07/2018,negative
08/08/2018,negative
21/08/2018,positive
24/10/2018,negative
07/01/2019,negative
22/02/2019,negative
29/05/2019,negative
29/05/2019,negative
19/06/2019,negative
11/08/2019,negative
06/09/2019,positive
07/01/2020,negative
31/01/2020,negative
31/01/2020,negative
03/02/2020,negative
10/02/2020,negative
15/06/2020,negative
31/08/2020,negative
09/10/2020,negative
15/10/2020,negative
24/01/2021,negative
19/02/2021,positive
16/04/2021,negative
24/05/2021,negative
23/06/2021,positive
24/06/2021,negative
30/07/2021,negative
03/08/2021,negative
04/08/2021,negative
18/08/2021,negative
24/08/2021,negative
07/09/2021,negative
28/09/2021,negative
11/11/2021,negative
26/12/2021,negative
19/01/2022,positive
15/02/2022,negative
28/02/2022,negative
10/03/2022,negative
17/03/2022,negative
29/04/2022,negative
03/05/2022,negative
11/05/2022,negative
09/06/2022,negative
09/06/2022,negative
03/07/2022,negative
20/07/2022,positive
25/07/2022,negative
26/07/2022,negative
26/07/2022,negative
15/11/2022,negative
27/12/2022,negative
09/01/2023,negative
31/01/2023,negative
01/02/2023,positive
02/02/2023,positive
03/02/2023,positive
05/04/2023,positive
11/04/2023,negative
02/05/2023,negative
02/05/2023,negative
13/06/2023,negative
16/06/2023,negative
19/06/2023,positive
27/06/2023,positive
12/07/2023,positive
23/07/2023,negative
24/07/2023,negative
24/07/2023,positive
25/07/2023,negative
31/07/2023,negative
08/08/2023,positive
10/08/2023,negative
14/08/2023,positive
24/08/2023,negative
28/08/2023,negative
13/09/2023,negative
21/09/2023,positive
23/09/2023,negative
04/10/2023,positive
06/10/2023,positive
12/10/2023,positive
22/10/2023,negative
27/10/2023,negative
03/11/2023,positive
05/11/2023,positive
06/11/2023,negative
06/11/2023,negative
06/11/2023,negative
06/11/2023,negative
07/11/2023,negative
07/11/2023,negative
07/11/2023,positive
14/11/2023,negative
15/11/2023,negative
22/11/2023,negative
29/11/2023,negative
05/12/2023,negative
13/12/2023,positive
19/12/2023,positive
26/12/2023,positive
04/01/2024,negative
08/01/2024,negative
09/01/2024,positive
16/01/2024,negative
21/01/2024,positive
23/01/2024,negative
24/01/2024,positive
31/01/2024,negative
31/01/2024,negative
01/02/2024,negative
02/02/2024,positive
03/02/2024,positive
05/02/2024,negative
05/02/2024,negative
05/02/2024,negative
05/02/2024,negative
05/02/2024,negative
05/02/2024,negative
06/02/2024,negative
06/02/2024,negative
06/02/2024,negative
06/02/2024,negative
06/02/2024,positive
07/02/2024,negative
11/02/2024,positive
12/02/2024,positive
13/02/2024,negative
14/02/2024,negative
15/02/2024,positive
22/02/2024,positive
28/02/2024,positive
29/02/2024,negative
06/03/2024,negative
07/03/2024,negative
07/03/2024,negative
10/03/2024,negative
11/03/2024,negative
12/03/2024,positive
14/03/2024,negative
18/03/2024,negative
19/03/2024,negative
22/03/2024,positive
27/03/2024,negative
27/03/2024,negative
