date,sentiment
28/10/2010,negative
25/09/2011,positive
14/12/2011,positive
17/12/2013,negative
14/02/2014,positive
27/05/2014,negative
28/01/2015,negative
10/03/2015,positive
18/07/2015,negative
13/11/2015,positive
21/03/2016,negative
28/04/2016,negative
28/04/2016,negative
22/06/2016,positive
24/06/2016,positive
24/06/2016,negative
23/01/2017,positive
25/05/2017,positive
29/05/2017,positive
30/05/2017,negative
31/05/2017,positive
07/07/2017,positive
01/08/2017,negative
21/08/2017,positive
03/11/2017,negative
13/11/2017,positive
18/02/2018,negative
14/03/2018,positive
14/03/2018,positive
27/03/2018,positive
10/05/2018,positive
18/05/2018,negative
24/05/2018,positive
31/05/2018,negative
27/07/2018,positive
06/09/2018,negative
26/09/2018,negative
04/10/2018,negative
22/10/2018,positive
01/11/2018,negative
09/11/2018,negative
14/11/2018,positive
26/11/2018,positive
27/11/2018,positive
30/01/2019,positive
14/02/2019,positive
04/04/2019,negative
17/04/2019,positive
25/04/2019,negative
01/05/2019,positive
24/05/2019,negative
25/07/2019,negative
07/08/2019,negative
14/08/2019,negative
13/09/2019,negative
18/09/2019,negative
18/09/2019,negative
10/10/2019,positive
23/10/2019,negative
03/12/2019,negative
03/12/2019,negative
10/12/2019,positive
11/12/2019,negative
27/12/2019,negative
02/01/2020,negative
06/02/2020,positive
17/02/2020,negative
23/04/2020,negative
23/04/2020,positive
23/04/2020,positive
24/04/2020,negative
06/05/2020,negative
20/05/2020,positive
25/05/2020,positive
12/06/2020,negative
15/06/2020,negative
01/07/2020,negative
04/09/2020,negative
28/09/2020,positive
05/10/2020,negative
22/10/2020,positive
02/11/2020,negative
05/01/2021,negative
08/02/2021,positive
08/02/2021,positive
08/02/2021,positive
08/02/2021,positive
09/02/2021,negative
04/03/2021,negative
22/04/2021,negative
25/05/2021,negative
15/06/2021,positive
22/06/2021,positive
29/07/2021,negative
03/08/2021,positive
10/08/2021,negative
20/08/2021,positive
08/10/2021,negative
12/10/2021,negative
29/10/2021,negative
13/11/2021,negative
01/12/2021,negative
16/12/2021,negative
18/12/2021,positive
21/12/2021,positive
24/12/2021,negative
02/02/2022,negative
10/02/2022,negative
04/03/2022,negative
07/03/2022,negative
11/03/2022,negative
11/03/2022,negative
29/03/2022,positive
29/03/2022,positive
30/03/2022,positive
04/04/2022,positive
06/04/2022,negative
27/04/2022,negative
11/05/2022,negative
26/05/2022,negative
27/05/2022,positive
27/07/2022,negative
04/08/2022,negative
08/08/2022,negative
23/08/2022,positive
24/08/2022,negative
25/08/2022,positive
05/09/2022,negative
10/09/2022,negative
19/09/2022,negative
20/09/2022,negative
11/10/2022,negative
11/10/2022,positive
01/11/2022,negative
06/11/2022,positive
05/12/2022,negative
08/12/2022,negative
13/01/2023,negative
01/02/2023,negative
01/02/2023,positive
01/02/2023,positive
02/02/2023,negative
09/03/2023,negative
09/03/2023,positive
09/03/2023,negative
20/04/2023,positive
20/04/2023,negative
26/04/2023,negative
26/04/2023,negative
06/05/2023,negative
07/05/2023,negative
09/05/2023,negative
22/05/2023,negative
30/05/2023,negative
05/06/2023,negative
09/06/2023,positive
09/06/2023,positive
20/06/2023,negative
29/06/2023,negative
07/07/2023,negative
24/07/2023,positive
26/07/2023,negative
26/07/2023,negative
19/08/2023,negative
19/08/2023,negative
20/08/2023,negative
21/08/2023,negative
21/08/2023,negative
21/08/2023,positive
22/08/2023,negative
22/08/2023,negative
25/08/2023,negative
01/09/2023,negative
08/09/2023,positive
13/09/2023,negative
14/09/2023,positive
15/09/2023,negative
19/09/2023,negative
21/09/2023,negative
25/09/2023,positive
28/09/2023,positive
06/10/2023,negative
16/10/2023,positive
19/10/2023,positive
23/10/2023,positive
23/10/2023,positive
24/10/2023,positive
25/10/2023,positive
26/10/2023,negative
06/11/2023,negative
06/11/2023,negative
07/11/2023,positive
13/11/2023,negative
17/11/2023,negative
20/11/2023,negative
24/11/2023,positive
05/12/2023,positive
06/12/2023,negative
12/12/2023,negative
27/12/2023,negative
01/01/2024,positive
02/01/2024,negative
15/01/2024,positive
22/01/2024,negative
29/01/2024,negative
31/01/2024,negative
31/01/2024,negative
31/01/2024,positive
31/01/2024,negative
31/01/2024,negative
31/01/2024,negative
01/02/2024,negative
03/02/2024,negative
05/02/2024,positive
08/02/2024,negative
12/02/2024,positive
14/02/2024,negative
16/02/2024,negative
16/02/2024,negative
16/02/2024,negative
18/02/2024,positive
19/02/2024,positive
19/02/2024,negative
20/02/2024,negative
21/02/2024,negative
23/02/2024,positive
27/02/2024,positive
01/03/2024,negative
02/03/2024,positive
05/03/2024,negative
05/03/2024,negative
05/03/2024,positive
05/03/2024,negative
07/03/2024,negative
07/03/2024,negative
08/03/2024,negative
10/03/2024,negative
14/03/2024,negative
15/03/2024,negative
17/03/2024,positive
18/03/2024,negative
27/03/2024,positive
28/03/2024,positive
28/03/2024,positive
