date,sentiment
08/08/2008,positive
28/11/2008,negative
09/07/2012,negative
20/07/2012,negative
22/07/2012,negative
11/04/2013,negative
04/06/2013,negative
15/10/2013,negative
06/01/2014,negative
24/03/2014,negative
15/10/2014,positive
20/11/2014,negative
25/11/2014,negative
29/03/2015,negative
05/06/2015,positive
24/08/2015,positive
20/09/2015,negative
04/10/2015,negative
16/12/2015,negative
08/06/2016,positive
04/08/2016,negative
31/08/2016,positive
21/11/2016,negative
14/02/2017,positive
28/02/2017,negative
01/03/2017,negative
16/05/2017,positive
13/06/2017,positive
20/06/2017,positive
21/06/2017,negative
23/09/2017,negative
03/10/2017,negative
22/11/2017,positive
17/01/2018,positive
15/03/2018,negative
19/03/2018,positive
26/03/2018,negative
13/04/2018,negative
02/05/2018,negative
01/06/2018,positive
06/06/2018,positive
13/06/2018,negative
29/06/2018,positive
30/06/2018,positive
02/07/2018,negative
04/10/2018,negative
12/10/2018,negative
15/10/2018,positive
26/02/2019,negative
04/03/2019,negative
06/03/2019,negative
05/04/2019,negative
16/04/2019,positive
24/04/2019,negative
30/04/2019,negative
07/05/2019,negative
09/05/2019,negative
29/05/2019,negative
29/05/2019,negative
29/05/2019,negative
30/05/2019,negative
11/08/2019,negative
16/08/2019,negative
04/09/2019,negative
15/09/2019,negative
25/11/2019,negative
26/11/2019,negative
18/12/2019,negative
08/01/2020,negative
19/02/2020,negative
22/05/2020,negative
17/09/2020,negative
13/10/2020,negative
21/10/2020,negative
03/11/2020,negative
10/11/2020,negative
11/11/2020,negative
11/11/2020,negative
15/12/2020,negative
30/12/2020,negative
28/01/2021,negative
09/02/2021,negative
16/02/2021,negative
18/03/2021,negative
05/04/2021,negative
20/04/2021,positive
26/04/2021,positive
19/05/2021,negative
20/05/2021,positive
02/07/2021,negative
30/07/2021,negative
23/08/2021,negative
25/08/2021,positive
23/09/2021,negative
15/10/2021,negative
22/10/2021,negative
10/11/2021,positive
12/11/2021,positive
16/11/2021,negative
23/11/2021,positive
09/12/2021,negative
13/12/2021,positive
15/12/2021,negative
09/02/2022,negative
23/02/2022,negative
01/03/2022,negative
02/03/2022,negative
10/03/2022,negative
11/03/2022,negative
14/03/2022,positive
25/03/2022,positive
30/03/2022,negative
31/03/2022,negative
01/04/2022,positive
14/04/2022,negative
26/04/2022,negative
11/05/2022,positive
16/05/2022,negative
20/05/2022,negative
31/05/2022,negative
21/06/2022,negative
27/06/2022,negative
29/06/2022,negative
12/07/2022,positive
14/07/2022,positive
03/08/2022,negative
23/08/2022,positive
23/08/2022,negative
02/09/2022,negative
04/09/2022,negative
14/09/2022,negative
14/09/2022,negative
20/09/2022,positive
22/09/2022,negative
04/10/2022,negative
12/10/2022,positive
13/10/2022,negative
14/10/2022,negative
19/10/2022,negative
24/10/2022,negative
25/10/2022,negative
31/10/2022,negative
01/11/2022,negative
16/11/2022,negative
17/11/2022,negative
18/11/2022,positive
18/11/2022,negative
02/12/2022,negative
05/12/2022,negative
05/12/2022,negative
12/12/2022,negative
12/12/2022,negative
13/12/2022,positive
14/12/2022,negative
31/12/2022,positive
23/01/2023,negative
04/02/2023,positive
16/02/2023,negative
21/02/2023,negative
21/02/2023,negative
22/02/2023,negative
28/02/2023,positive
01/03/2023,negative
03/03/2023,negative
07/03/2023,negative
08/03/2023,negative
16/03/2023,negative
17/03/2023,negative
30/03/2023,positive
31/03/2023,negative
19/04/2023,negative
02/05/2023,negative
14/05/2023,negative
18/05/2023,negative
19/05/2023,negative
21/05/2023,positive
23/05/2023,negative
24/05/2023,negative
24/05/2023,positive
24/05/2023,negative
24/05/2023,negative
31/05/2023,negative
01/06/2023,negative
05/06/2023,negative
05/06/2023,positive
05/06/2023,positive
05/06/2023,positive
11/06/2023,positive
12/06/2023,negative
16/06/2023,negative
22/06/2023,positive
23/06/2023,negative
26/06/2023,negative
30/06/2023,negative
18/07/2023,negative
20/07/2023,negative
26/07/2023,negative
11/08/2023,negative
17/08/2023,negative
17/08/2023,negative
18/08/2023,negative
18/08/2023,negative
18/08/2023,negative
18/08/2023,negative
18/08/2023,negative
18/08/2023,negative
20/08/2023,negative
21/08/2023,positive
21/08/2023,negative
21/08/2023,negative
21/08/2023,negative
22/08/2023,negative
28/08/2023,negative
30/08/2023,positive
04/09/2023,negative
10/09/2023,negative
12/09/2023,negative
19/09/2023,positive
19/09/2023,negative
20/09/2023,negative
25/09/2023,positive
27/09/2023,positive
04/10/2023,negative
04/10/2023,positive
05/10/2023,positive
09/10/2023,positive
10/10/2023,negative
17/10/2023,negative
17/10/2023,negative
19/10/2023,negative
31/10/2023,negative
31/10/2023,negative
01/11/2023,positive
01/11/2023,negative
03/11/2023,negative
03/11/2023,positive
05/11/2023,negative
08/11/2023,negative
10/11/2023,positive
12/11/2023,positive
13/11/2023,negative
14/11/2023,negative
14/11/2023,negative
15/11/2023,negative
15/11/2023,negative
15/11/2023,positive
15/11/2023,negative
16/11/2023,negative
16/11/2023,negative
16/11/2023,negative
16/11/2023,negative
16/11/2023,positive
16/11/2023,positive
16/11/2023,negative
16/11/2023,negative
17/11/2023,negative
18/11/2023,positive
20/11/2023,negative
21/11/2023,negative
23/11/2023,negative
27/11/2023,positive
28/11/2023,positive
28/11/2023,negative
02/12/2023,negative
04/12/2023,negative
05/12/2023,negative
05/12/2023,negative
06/12/2023,negative
12/12/2023,negative
14/12/2023,positive
14/12/2023,negative
15/12/2023,negative
15/12/2023,negative
18/12/2023,positive
18/12/2023,negative
19/12/2023,negative
21/12/2023,negative
22/12/2023,negative
22/12/2023,positive
24/12/2023,negative
26/12/2023,positive
27/12/2023,negative
27/12/2023,negative
28/12/2023,negative
29/12/2023,negative
30/12/2023,positive
01/01/2024,negative
03/01/2024,negative
03/01/2024,positive
07/01/2024,negative
09/01/2024,negative
09/01/2024,negative
09/01/2024,negative
12/01/2024,negative
18/01/2024,negative
18/01/2024,positive
23/01/2024,negative
23/01/2024,negative
26/01/2024,negative
28/01/2024,positive
29/01/2024,negative
30/01/2024,positive
01/02/2024,negative
03/02/2024,negative
05/02/2024,negative
05/02/2024,negative
05/02/2024,positive
07/02/2024,negative
12/02/2024,negative
13/02/2024,positive
13/02/2024,negative
14/02/2024,negative
14/02/2024,negative
16/02/2024,negative
16/02/2024,positive
18/02/2024,positive
18/02/2024,negative
18/02/2024,positive
19/02/2024,positive
20/02/2024,negative
20/02/2024,negative
20/02/2024,negative
20/02/2024,negative
20/02/2024,negative
20/02/2024,negative
20/02/2024,negative
20/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,positive
21/02/2024,negative
21/02/2024,negative
22/02/2024,negative
22/02/2024,negative
22/02/2024,negative
22/02/2024,positive
22/02/2024,negative
23/02/2024,positive
23/02/2024,negative
