date,sentiment
10/06/2009,positive
12/07/2010,negative
30/11/2010,negative
02/02/2011,negative
06/06/2011,negative
29/07/2011,negative
13/08/2011,negative
10/11/2011,negative
09/02/2012,negative
15/05/2012,negative
19/07/2012,positive
01/09/2012,negative
16/05/2013,negative
03/07/2013,negative
20/08/2013,positive
30/08/2013,positive
31/01/2014,negative
19/02/2014,negative
19/02/2014,negative
06/05/2014,negative
29/05/2014,negative
29/07/2014,negative
01/08/2014,positive
05/09/2014,positive
24/03/2015,positive
01/07/2015,positive
01/09/2015,negative
07/12/2015,positive
24/01/2016,positive
07/03/2016,negative
24/03/2016,positive
10/08/2016,negative
11/09/2016,negative
27/09/2016,negative
06/10/2016,positive
01/12/2016,negative
16/01/2017,positive
22/03/2017,positive
30/03/2017,positive
27/04/2017,negative
09/05/2017,positive
26/05/2017,positive
02/06/2017,negative
27/06/2017,positive
22/08/2017,negative
31/08/2017,positive
15/09/2017,negative
29/09/2017,positive
03/10/2017,negative
11/10/2017,negative
23/10/2017,negative
25/10/2017,negative
27/10/2017,negative
13/11/2017,positive
14/11/2017,positive
01/01/2018,negative
01/03/2018,negative
12/03/2018,negative
16/04/2018,negative
02/05/2018,positive
21/05/2018,negative
21/05/2018,negative
14/06/2018,positive
10/07/2018,negative
11/07/2018,negative
13/08/2018,negative
05/09/2018,positive
02/10/2018,negative
09/10/2018,negative
05/11/2018,negative
07/11/2018,negative
16/11/2018,negative
26/11/2018,negative
26/11/2018,negative
27/11/2018,positive
28/11/2018,negative
29/11/2018,negative
03/12/2018,negative
06/12/2018,negative
17/12/2018,negative
17/12/2018,negative
18/12/2018,negative
21/12/2018,negative
09/01/2019,negative
29/01/2019,positive
01/02/2019,negative
12/02/2019,positive
13/02/2019,positive
18/03/2019,negative
28/03/2019,negative
08/04/2019,negative
08/04/2019,negative
09/04/2019,negative
23/04/2019,negative
06/05/2019,negative
09/05/2019,negative
15/05/2019,positive
13/06/2019,positive
26/06/2019,negative
09/07/2019,negative
12/07/2019,positive
01/08/2019,negative
30/08/2019,negative
04/09/2019,positive
04/09/2019,negative
05/09/2019,negative
06/09/2019,negative
10/09/2019,positive
