date,sentiment
06/11/2009,negative
10/08/2010,positive
10/08/2010,negative
21/03/2012,positive
23/06/2012,positive
19/09/2012,negative
29/04/2013,negative
17/08/2013,negative
29/09/2013,positive
02/10/2013,positive
02/08/2014,negative
18/05/2015,negative
21/05/2015,negative
07/10/2015,positive
28/10/2015,negative
19/11/2015,negative
11/08/2016,negative
25/08/2016,negative
28/10/2016,negative
19/11/2016,negative
08/05/2017,positive
24/07/2017,positive
23/08/2017,positive
23/10/2017,positive
30/01/2018,negative
15/03/2018,negative
25/07/2018,negative
29/10/2018,negative
13/02/2019,negative
17/02/2019,positive
15/04/2019,negative
30/04/2019,negative
30/04/2019,negative
06/05/2019,negative
08/07/2019,negative
23/10/2019,negative
24/10/2019,negative
07/11/2019,negative
11/01/2020,positive
31/01/2020,positive
05/02/2020,negative
06/03/2020,positive
23/03/2020,positive
25/03/2020,negative
14/04/2020,negative
22/07/2020,positive
03/08/2020,positive
24/08/2020,positive
14/10/2020,positive
01/12/2020,positive
19/01/2021,negative
05/02/2021,positive
09/02/2021,negative
18/02/2021,negative
01/03/2021,negative
02/03/2021,negative
24/03/2021,negative
29/04/2021,negative
15/06/2021,negative
21/06/2021,positive
30/06/2021,positive
06/07/2021,positive
27/07/2021,negative
28/10/2021,negative
01/12/2021,positive
04/12/2021,positive
21/12/2021,negative
25/01/2022,negative
13/04/2022,positive
26/04/2022,negative
26/04/2022,negative
06/05/2022,negative
17/06/2022,positive
27/06/2022,negative
08/08/2022,negative
23/09/2022,negative
27/09/2022,negative
25/10/2022,positive
25/10/2022,negative
02/11/2022,negative
03/11/2022,positive
07/11/2022,positive
01/12/2022,negative
06/12/2022,positive
11/01/2023,negative
24/01/2023,negative
24/01/2023,negative
24/01/2023,negative
24/01/2023,negative
24/01/2023,negative
25/01/2023,negative
26/01/2023,negative
09/03/2023,positive
31/03/2023,negative
07/04/2023,negative
16/05/2023,negative
18/05/2023,negative
22/05/2023,negative
25/05/2023,positive
26/05/2023,positive
05/06/2023,negative
09/06/2023,negative
22/06/2023,positive
23/06/2023,negative
06/07/2023,positive
21/07/2023,negative
25/07/2023,negative
31/07/2023,negative
05/08/2023,positive
07/08/2023,negative
21/08/2023,negative
23/08/2023,negative
29/08/2023,negative
29/08/2023,positive
31/08/2023,negative
06/09/2023,positive
06/09/2023,negative
18/09/2023,negative
27/09/2023,negative
05/10/2023,negative
24/10/2023,negative
03/11/2023,negative
17/11/2023,negative
21/11/2023,negative
06/12/2023,negative
13/12/2023,negative
22/12/2023,positive
22/12/2023,negative
01/01/2024,positive
02/01/2024,negative
05/01/2024,negative
08/01/2024,negative
16/01/2024,negative
22/01/2024,negative
24/01/2024,positive
24/01/2024,negative
25/01/2024,positive
26/01/2024,negative
30/01/2024,negative
31/01/2024,negative
31/01/2024,positive
05/02/2024,negative
09/02/2024,negative
12/02/2024,negative
15/02/2024,negative
23/02/2024,negative
26/02/2024,negative
28/02/2024,positive
28/02/2024,negative
28/02/2024,negative
05/03/2024,positive
11/03/2024,negative
13/03/2024,negative
15/03/2024,negative
20/03/2024,positive
20/03/2024,negative
25/03/2024,positive
26/03/2024,negative
29/03/2024,negative
