date,sentiment
05/01/2008,negative
21/02/2008,negative
01/03/2008,negative
22/04/2008,positive
02/05/2008,negative
14/05/2008,negative
15/05/2008,negative
18/06/2008,negative
09/07/2008,negative
10/07/2008,negative
24/07/2008,positive
01/08/2008,negative
01/08/2008,negative
05/08/2008,positive
05/08/2008,negative
05/08/2008,positive
06/08/2008,negative
24/09/2008,negative
30/09/2008,positive
07/10/2008,negative
13/10/2008,positive
31/10/2008,positive
06/11/2008,negative
07/11/2008,negative
18/11/2008,negative
14/01/2009,positive
21/01/2009,positive
26/03/2009,positive
30/03/2009,positive
01/04/2009,positive
13/04/2009,negative
14/04/2009,negative
15/04/2009,negative
27/04/2009,positive
08/05/2009,negative
05/06/2009,positive
05/06/2009,negative
07/06/2009,negative
04/08/2009,negative
11/08/2009,negative
11/08/2009,negative
12/08/2009,negative
13/08/2009,negative
22/08/2009,negative
25/08/2009,positive
26/08/2009,negative
10/09/2009,positive
07/10/2009,negative
07/10/2009,negative
13/10/2009,negative
14/10/2009,negative
14/10/2009,negative
23/10/2009,negative
04/11/2009,negative
08/11/2009,negative
09/11/2009,negative
13/11/2009,negative
17/11/2009,positive
17/11/2009,negative
01/12/2009,negative
08/12/2009,negative
16/02/2010,negative
02/03/2010,positive
03/03/2010,positive
10/03/2010,negative
16/03/2010,negative
16/03/2010,negative
16/03/2010,negative
17/03/2010,negative
19/03/2010,negative
25/03/2010,positive
26/03/2010,negative
12/04/2010,negative
12/04/2010,positive
27/04/2010,positive
29/04/2010,positive
10/05/2010,negative
23/05/2010,negative
28/05/2010,negative
03/06/2010,negative
03/06/2010,negative
04/06/2010,positive
14/06/2010,negative
01/07/2010,negative
08/07/2010,negative
09/07/2010,positive
31/07/2010,negative
16/08/2010,positive
18/08/2010,positive
23/08/2010,negative
24/08/2010,negative
26/08/2010,positive
10/09/2010,negative
07/10/2010,negative
07/10/2010,negative
07/10/2010,negative
08/10/2010,negative
10/10/2010,negative
12/10/2010,negative
25/10/2010,positive
26/10/2010,negative
26/10/2010,negative
26/10/2010,negative
27/10/2010,negative
29/10/2010,negative
29/10/2010,negative
17/11/2010,negative
04/12/2010,negative
04/12/2010,negative
05/12/2010,negative
07/12/2010,negative
08/12/2010,negative
09/12/2010,negative
11/02/2011,positive
15/02/2011,negative
16/02/2011,negative
18/02/2011,negative
18/02/2011,negative
21/02/2011,positive
01/03/2011,negative
02/03/2011,negative
08/03/2011,negative
29/03/2011,positive
30/03/2011,positive
13/04/2011,negative
19/04/2011,negative
04/05/2011,negative
09/05/2011,negative
18/05/2011,negative
18/05/2011,negative
18/05/2011,negative
18/05/2011,negative
25/05/2011,positive
26/05/2011,negative
26/05/2011,negative
27/05/2011,negative
27/05/2011,negative
27/05/2011,negative
27/05/2011,positive
28/05/2011,negative
15/06/2011,negative
16/06/2011,positive
17/06/2011,negative
24/06/2011,negative
30/06/2011,negative
05/07/2011,negative
07/07/2011,negative
07/07/2011,negative
07/07/2011,negative
13/07/2011,negative
13/07/2011,positive
18/07/2011,negative
19/07/2011,negative
19/07/2011,negative
19/07/2011,negative
22/07/2011,negative
27/07/2011,negative
27/07/2011,negative
27/07/2011,negative
08/08/2011,positive
16/08/2011,negative
18/08/2011,positive
22/08/2011,negative
12/09/2011,negative
22/09/2011,negative
05/10/2011,positive
05/10/2011,negative
10/10/2011,negative
10/10/2011,negative
28/10/2011,negative
01/11/2011,negative
02/11/2011,negative
08/11/2011,positive
12/11/2011,negative
16/11/2011,negative
17/11/2011,negative
17/11/2011,negative
24/11/2011,negative
25/11/2011,negative
25/11/2011,negative
28/11/2011,negative
30/11/2011,negative
30/11/2011,negative
05/12/2011,negative
05/12/2011,negative
06/12/2011,negative
04/01/2012,negative
04/01/2012,positive
04/01/2012,negative
04/01/2012,negative
06/01/2012,negative
19/01/2012,positive
23/01/2012,negative
27/01/2012,negative
30/01/2012,negative
01/02/2012,positive
15/02/2012,negative
21/02/2012,positive
04/03/2012,negative
11/03/2012,negative
12/03/2012,negative
12/03/2012,negative
13/03/2012,negative
13/03/2012,negative
14/03/2012,negative
15/03/2012,negative
16/03/2012,negative
19/03/2012,negative
22/03/2012,positive
26/03/2012,positive
29/03/2012,negative
29/03/2012,negative
09/04/2012,positive
09/04/2012,negative
08/05/2012,positive
18/05/2012,negative
24/05/2012,negative
25/05/2012,negative
30/05/2012,negative
11/06/2012,negative
19/06/2012,negative
23/06/2012,negative
25/06/2012,positive
08/07/2012,positive
09/07/2012,positive
17/07/2012,positive
18/07/2012,negative
18/07/2012,negative
23/07/2012,negative
08/08/2012,negative
13/08/2012,negative
14/08/2012,negative
16/08/2012,negative
20/08/2012,negative
21/08/2012,negative
22/08/2012,negative
22/08/2012,negative
22/08/2012,negative
24/08/2012,negative
17/09/2012,negative
24/09/2012,negative
25/09/2012,negative
05/10/2012,negative
17/10/2012,negative
17/10/2012,negative
19/10/2012,negative
23/10/2012,negative
23/10/2012,negative
23/10/2012,negative
27/10/2012,positive
31/10/2012,negative
03/11/2012,negative
04/11/2012,negative
05/11/2012,negative
12/11/2012,negative
14/11/2012,positive
19/11/2012,negative
22/11/2012,negative
22/11/2012,negative
22/11/2012,negative
06/12/2012,negative
13/12/2012,negative
14/12/2012,negative
14/12/2012,negative
25/12/2012,negative
03/01/2013,positive
07/01/2013,negative
21/01/2013,negative
24/01/2013,negative
24/01/2013,negative
18/02/2013,negative
22/02/2013,negative
25/02/2013,positive
26/02/2013,negative
27/02/2013,negative
27/02/2013,negative
28/02/2013,negative
28/02/2013,negative
04/03/2013,negative
08/03/2013,negative
19/03/2013,negative
20/03/2013,positive
03/04/2013,negative
11/04/2013,positive
11/04/2013,negative
17/04/2013,negative
19/04/2013,negative
21/04/2013,negative
23/04/2013,negative
