date,sentiment
29/07/2008,negative
09/07/2009,positive
03/08/2010,negative
13/05/2011,positive
14/05/2012,negative
20/05/2012,positive
30/07/2012,negative
05/09/2012,positive
28/02/2013,negative
18/04/2013,positive
10/06/2013,positive
24/07/2013,positive
02/08/2013,negative
18/10/2013,negative
23/11/2013,negative
18/04/2015,positive
05/05/2015,positive
14/05/2015,negative
19/05/2015,positive
09/07/2015,negative
16/10/2015,negative
30/12/2015,positive
23/02/2016,positive
03/05/2016,negative
12/05/2017,negative
26/05/2017,negative
26/05/2017,negative
26/05/2017,negative
02/06/2017,negative
23/06/2017,negative
27/06/2017,negative
30/07/2017,negative
15/08/2017,negative
15/08/2017,negative
16/08/2017,negative
16/08/2017,negative
17/08/2017,negative
18/08/2017,negative
26/09/2017,negative
27/09/2017,negative
27/09/2017,negative
27/09/2017,negative
10/10/2017,negative
04/12/2017,negative
09/02/2018,positive
15/02/2018,negative
23/03/2018,positive
06/04/2018,negative
13/04/2018,negative
20/08/2018,negative
08/06/2019,negative
30/07/2019,negative
12/08/2019,negative
12/08/2019,positive
13/08/2019,positive
15/08/2019,positive
20/10/2019,positive
27/11/2019,negative
10/12/2019,positive
24/02/2020,positive
23/03/2020,positive
23/03/2020,positive
05/05/2020,positive
11/06/2020,negative
12/06/2020,negative
07/07/2020,negative
20/07/2020,negative
30/07/2020,negative
04/08/2020,negative
19/08/2020,negative
19/08/2020,negative
14/09/2020,negative
30/09/2020,negative
05/10/2020,negative
05/10/2020,negative
06/10/2020,negative
07/10/2020,negative
09/10/2020,negative
09/10/2020,positive
10/10/2020,negative
21/10/2020,positive
29/10/2020,negative
23/11/2020,negative
23/11/2020,negative
29/12/2020,positive
29/12/2020,positive
11/01/2021,negative
16/01/2021,positive
12/02/2021,negative
05/04/2021,negative
09/06/2021,positive
16/06/2021,negative
18/06/2021,positive
18/06/2021,negative
24/06/2021,negative
12/07/2021,negative
13/07/2021,negative
16/07/2021,positive
03/09/2021,negative
04/10/2021,negative
15/12/2021,positive
07/01/2022,negative
08/01/2022,negative
20/01/2022,negative
01/03/2022,negative
14/03/2022,negative
04/04/2022,positive
09/04/2022,negative
20/04/2022,negative
25/04/2022,negative
11/05/2022,negative
12/05/2022,negative
20/06/2022,positive
24/06/2022,positive
12/07/2022,positive
03/08/2022,negative
11/08/2022,negative
19/08/2022,negative
25/08/2022,negative
09/09/2022,negative
19/09/2022,negative
04/10/2022,positive
05/10/2022,negative
13/10/2022,negative
02/11/2022,positive
03/11/2022,positive
03/11/2022,negative
08/11/2022,negative
26/11/2022,positive
03/01/2023,negative
12/01/2023,positive
27/01/2023,negative
08/02/2023,negative
08/02/2023,negative
19/02/2023,negative
28/03/2023,negative
06/04/2023,negative
14/04/2023,positive
15/04/2023,negative
18/04/2023,positive
27/04/2023,negative
04/05/2023,negative
08/05/2023,negative
16/05/2023,positive
18/05/2023,negative
06/06/2023,negative
08/06/2023,negative
14/06/2023,negative
16/06/2023,negative
20/06/2023,positive
22/06/2023,negative
27/06/2023,negative
27/06/2023,negative
28/06/2023,negative
29/06/2023,negative
05/07/2023,positive
05/07/2023,negative
11/07/2023,positive
15/07/2023,negative
19/07/2023,positive
22/07/2023,negative
25/07/2023,negative
01/08/2023,negative
03/08/2023,negative
03/08/2023,negative
03/08/2023,negative
09/08/2023,negative
21/08/2023,positive
21/08/2023,negative
25/08/2023,negative
28/08/2023,positive
31/08/2023,negative
11/09/2023,negative
19/09/2023,negative
21/09/2023,negative
30/09/2023,negative
05/10/2023,negative
09/10/2023,negative
11/10/2023,negative
22/10/2023,negative
25/10/2023,negative
28/10/2023,negative
01/11/2023,negative
02/11/2023,negative
02/11/2023,positive
02/11/2023,positive
02/11/2023,negative
07/11/2023,negative
07/11/2023,positive
09/11/2023,positive
11/11/2023,positive
21/11/2023,negative
23/11/2023,positive
24/11/2023,negative
27/11/2023,negative
16/12/2023,negative
18/12/2023,negative
21/12/2023,negative
26/12/2023,negative
27/12/2023,positive
27/12/2023,negative
27/12/2023,negative
28/12/2023,negative
01/01/2024,positive
01/01/2024,negative
03/01/2024,negative
03/01/2024,negative
03/01/2024,negative
04/01/2024,positive
05/01/2024,negative
05/01/2024,negative
08/01/2024,positive
09/01/2024,negative
10/01/2024,negative
11/01/2024,negative
12/01/2024,positive
16/01/2024,negative
17/01/2024,negative
17/01/2024,positive
20/01/2024,positive
23/01/2024,positive
24/01/2024,negative
25/01/2024,negative
30/01/2024,negative
31/01/2024,negative
31/01/2024,positive
01/02/2024,negative
02/02/2024,positive
02/02/2024,positive
02/02/2024,negative
02/02/2024,positive
02/02/2024,negative
03/02/2024,negative
03/02/2024,positive
07/02/2024,negative
07/02/2024,negative
08/02/2024,negative
