date,sentiment
12/02/2009,positive
09/12/2009,negative
09/04/2010,positive
09/04/2010,positive
12/04/2010,negative
19/04/2010,positive
23/04/2010,negative
11/05/2010,positive
26/10/2010,negative
04/04/2011,negative
14/04/2011,negative
20/04/2011,positive
24/04/2012,positive
11/05/2012,negative
28/08/2012,negative
08/10/2012,negative
14/11/2012,negative
06/08/2013,positive
07/10/2013,negative
29/10/2013,negative
06/01/2014,negative
14/04/2014,positive
30/05/2014,positive
08/09/2014,negative
27/11/2014,negative
28/01/2015,positive
09/02/2015,positive
13/02/2015,negative
11/05/2015,negative
07/07/2015,positive
09/09/2015,negative
23/09/2015,negative
25/09/2015,negative
22/10/2015,positive
17/12/2015,positive
19/01/2016,negative
08/03/2016,negative
17/03/2016,negative
29/03/2016,negative
11/04/2016,negative
15/06/2016,negative
07/07/2016,negative
29/07/2016,positive
12/09/2016,negative
14/11/2016,positive
29/12/2016,positive
30/12/2016,positive
25/01/2017,negative
03/02/2017,negative
02/03/2017,negative
02/03/2017,negative
11/03/2017,negative
04/04/2017,negative
14/05/2017,negative
06/06/2017,negative
13/06/2017,negative
21/06/2017,negative
27/06/2017,negative
26/09/2017,positive
06/11/2017,negative
07/11/2017,positive
10/11/2017,negative
16/11/2017,negative
05/12/2017,negative
16/01/2018,positive
24/01/2018,positive
24/01/2018,positive
06/02/2018,negative
06/02/2018,positive
24/04/2018,negative
27/04/2018,negative
16/05/2018,positive
17/05/2018,negative
07/06/2018,positive
17/07/2018,negative
17/07/2018,negative
18/07/2018,positive
24/07/2018,negative
03/09/2018,negative
10/09/2018,negative
10/10/2018,positive
18/10/2018,negative
24/10/2018,negative
05/11/2018,negative
18/11/2018,negative
20/11/2018,negative
30/11/2018,negative
03/12/2018,negative
03/12/2018,negative
12/12/2018,negative
20/12/2018,negative
23/01/2019,negative
24/01/2019,negative
18/02/2019,negative
05/03/2019,negative
18/03/2019,negative
02/04/2019,positive
05/04/2019,negative
09/04/2019,positive
26/04/2019,negative
02/05/2019,positive
03/05/2019,positive
07/05/2019,positive
17/05/2019,negative
23/05/2019,positive
04/06/2019,negative
14/06/2019,positive
19/06/2019,negative
19/07/2019,negative
23/07/2019,negative
23/07/2019,negative
23/07/2019,negative
30/07/2019,positive
05/08/2019,negative
26/08/2019,negative
03/09/2019,negative
18/09/2019,negative
20/09/2019,negative
26/09/2019,negative
03/10/2019,positive
12/10/2019,negative
12/10/2019,negative
23/10/2019,positive
24/10/2019,negative
28/10/2019,negative
05/11/2019,positive
06/11/2019,negative
15/01/2020,negative
20/01/2020,positive
21/01/2020,negative
23/01/2020,negative
23/01/2020,negative
28/01/2020,negative
05/02/2020,negative
10/02/2020,negative
23/02/2020,negative
04/03/2020,negative
09/03/2020,negative
13/03/2020,positive
10/04/2020,negative
17/04/2020,negative
17/04/2020,negative
20/04/2020,positive
21/04/2020,positive
21/04/2020,negative
06/05/2020,positive
08/05/2020,negative
12/05/2020,positive
13/05/2020,positive
14/05/2020,negative
20/05/2020,negative
28/05/2020,positive
19/06/2020,positive
23/06/2020,positive
07/07/2020,positive
14/07/2020,negative
14/07/2020,negative
16/07/2020,negative
16/07/2020,negative
09/09/2020,negative
15/09/2020,positive
24/09/2020,negative
29/09/2020,negative
01/10/2020,negative
01/10/2020,negative
08/10/2020,negative
17/10/2020,negative
08/11/2020,negative
12/11/2020,negative
18/11/2020,negative
20/11/2020,positive
11/12/2020,negative
17/12/2020,positive
20/01/2021,positive
27/01/2021,negative
04/02/2021,negative
05/02/2021,negative
19/02/2021,positive
21/02/2021,positive
11/03/2021,negative
03/04/2021,negative
20/04/2021,negative
21/04/2021,negative
22/04/2021,negative
06/05/2021,negative
13/05/2021,negative
20/05/2021,negative
21/05/2021,negative
09/06/2021,positive
14/06/2021,positive
16/06/2021,negative
18/06/2021,negative
18/06/2021,negative
21/06/2021,negative
23/06/2021,positive
30/06/2021,negative
04/07/2021,negative
15/07/2021,negative
20/07/2021,negative
20/07/2021,positive
22/07/2021,negative
25/07/2021,negative
28/07/2021,positive
01/08/2021,negative
02/08/2021,negative
10/08/2021,negative
30/08/2021,negative
08/09/2021,negative
11/09/2021,negative
30/09/2021,negative
05/10/2021,positive
17/10/2021,negative
26/10/2021,negative
26/10/2021,positive
27/10/2021,negative
08/11/2021,positive
18/11/2021,negative
23/11/2021,negative
24/11/2021,negative
16/12/2021,positive
18/12/2021,positive
28/12/2021,negative
06/01/2022,negative
07/01/2022,negative
12/01/2022,negative
12/01/2022,positive
26/01/2022,negative
04/02/2022,negative
09/02/2022,negative
10/02/2022,negative
17/02/2022,positive
11/03/2022,negative
17/03/2022,negative
18/03/2022,positive
31/03/2022,negative
01/04/2022,negative
06/04/2022,negative
26/04/2022,negative
11/05/2022,negative
18/05/2022,negative
18/05/2022,positive
28/05/2022,negative
21/06/2022,positive
06/07/2022,negative
07/07/2022,negative
15/07/2022,negative
19/07/2022,negative
26/07/2022,negative
26/07/2022,positive
18/08/2022,negative
18/08/2022,positive
15/09/2022,negative
19/09/2022,negative
23/09/2022,positive
26/09/2022,positive
25/10/2022,negative
27/10/2022,negative
03/11/2022,negative
14/11/2022,positive
16/11/2022,negative
16/11/2022,positive
23/11/2022,negative
25/11/2022,negative
07/12/2022,negative
08/12/2022,negative
19/12/2022,negative
23/12/2022,positive
27/12/2022,positive
09/01/2023,negative
14/01/2023,negative
19/01/2023,positive
19/01/2023,negative
19/01/2023,positive
20/01/2023,positive
24/01/2023,negative
31/01/2023,negative
01/02/2023,positive
07/02/2023,negative
12/02/2023,negative
15/02/2023,negative
01/03/2023,positive
09/03/2023,negative
24/03/2023,negative
29/03/2023,negative
03/04/2023,negative
09/04/2023,positive
10/04/2023,positive
18/04/2023,negative
20/04/2023,negative
26/04/2023,negative
02/05/2023,positive
02/05/2023,positive
08/05/2023,negative
08/05/2023,negative
10/05/2023,negative
11/05/2023,negative
17/05/2023,negative
24/05/2023,positive
25/05/2023,negative
28/05/2023,positive
30/05/2023,negative
14/06/2023,positive
18/06/2023,positive
22/06/2023,negative
17/07/2023,negative
25/07/2023,negative
25/07/2023,negative
26/07/2023,negative
26/07/2023,negative
26/07/2023,negative
28/07/2023,negative
28/07/2023,positive
01/08/2023,negative
02/08/2023,negative
04/08/2023,positive
10/08/2023,negative
14/08/2023,negative
18/08/2023,negative
24/08/2023,negative
30/08/2023,positive
30/08/2023,negative
31/08/2023,positive
31/08/2023,positive
07/09/2023,negative
21/09/2023,negative
21/09/2023,negative
03/10/2023,negative
11/10/2023,negative
18/10/2023,negative
19/10/2023,negative
23/10/2023,negative
24/10/2023,negative
24/10/2023,negative
24/10/2023,negative
24/10/2023,negative
24/10/2023,negative
24/10/2023,positive
25/10/2023,negative
25/10/2023,positive
30/10/2023,negative
30/10/2023,negative
02/11/2023,positive
08/11/2023,negative
09/11/2023,positive
10/11/2023,negative
15/11/2023,positive
16/11/2023,positive
16/11/2023,positive
19/11/2023,positive
20/11/2023,positive
21/11/2023,negative
22/11/2023,positive
22/11/2023,negative
23/11/2023,positive
30/11/2023,negative
05/12/2023,positive
08/12/2023,positive
10/12/2023,negative
20/12/2023,negative
21/12/2023,negative
21/12/2023,negative
21/12/2023,negative
03/01/2024,negative
05/01/2024,negative
08/01/2024,negative
16/01/2024,negative
17/01/2024,negative
18/01/2024,positive
18/01/2024,negative
18/01/2024,negative
18/01/2024,negative
19/01/2024,negative
19/01/2024,negative
22/01/2024,positive
22/01/2024,negative
23/01/2024,negative
23/01/2024,negative
23/01/2024,negative
23/01/2024,negative
23/01/2024,negative
23/01/2024,negative
23/01/2024,negative
23/01/2024,negative
24/01/2024,negative
24/01/2024,negative
24/01/2024,negative
24/01/2024,negative
24/01/2024,negative
25/01/2024,positive
25/01/2024,positive
25/01/2024,negative
26/01/2024,negative
28/01/2024,negative
29/01/2024,positive
29/01/2024,negative
03/02/2024,negative
06/02/2024,negative
08/02/2024,positive
09/02/2024,negative
13/02/2024,negative
14/02/2024,negative
15/02/2024,negative
16/02/2024,negative
18/02/2024,negative
21/02/2024,negative
22/02/2024,negative
27/02/2024,positive
05/03/2024,negative
07/03/2024,positive
13/03/2024,negative
13/03/2024,positive
15/03/2024,negative
18/03/2024,positive
18/03/2024,negative
20/03/2024,positive
21/03/2024,negative
25/03/2024,positive
28/03/2024,negative
28/03/2024,negative
