date,sentiment
21/02/2013,positive
03/10/2013,negative
31/10/2013,negative
06/05/2014,positive
08/07/2014,positive
06/02/2015,negative
26/05/2016,positive
14/11/2016,positive
14/11/2017,positive
01/12/2017,negative
20/02/2019,negative
08/07/2019,positive
05/12/2019,negative
05/05/2020,positive
09/07/2020,negative
10/07/2020,negative
04/11/2020,negative
04/11/2020,negative
13/03/2021,positive
15/04/2021,negative
28/06/2021,negative
13/07/2021,negative
15/07/2021,positive
09/08/2021,negative
16/08/2021,negative
25/08/2021,negative
04/10/2021,negative
26/10/2021,positive
01/11/2021,negative
02/11/2021,negative
06/12/2021,negative
24/01/2022,negative
18/02/2022,positive
17/03/2022,negative
17/03/2022,negative
22/03/2022,positive
08/04/2022,negative
17/05/2022,negative
24/05/2022,negative
25/05/2022,positive
05/07/2022,positive
21/07/2022,negative
18/08/2022,positive
02/09/2022,negative
29/10/2022,positive
31/10/2022,negative
06/02/2023,negative
07/02/2023,positive
13/04/2023,positive
26/04/2023,negative
09/05/2023,negative
24/05/2023,negative
20/06/2023,positive
22/06/2023,negative
03/07/2023,negative
12/07/2023,negative
25/07/2023,negative
31/07/2023,negative
01/08/2023,negative
30/08/2023,negative
29/09/2023,positive
09/10/2023,negative
18/10/2023,negative
30/10/2023,positive
01/11/2023,positive
15/11/2023,negative
16/11/2023,negative
17/11/2023,negative
20/11/2023,positive
28/11/2023,positive
14/12/2023,positive
15/12/2023,negative
17/01/2024,positive
18/01/2024,negative
07/02/2024,negative
08/02/2024,positive
08/02/2024,negative
13/02/2024,positive
14/02/2024,positive
15/02/2024,negative
20/02/2024,negative
20/02/2024,negative
21/02/2024,positive
21/02/2024,negative
21/02/2024,negative
21/02/2024,negative
21/02/2024,positive
22/02/2024,negative
22/02/2024,positive
23/02/2024,positive
04/03/2024,negative
05/03/2024,negative
18/03/2024,positive
18/03/2024,negative
19/03/2024,negative
20/03/2024,negative
22/03/2024,negative
28/03/2024,negative
