date,sentiment
07/01/2008,negative
08/01/2008,negative
21/02/2008,positive
03/04/2008,negative
01/05/2008,negative
02/07/2008,negative
13/08/2008,negative
16/09/2008,positive
30/09/2008,positive
05/12/2008,positive
08/01/2009,positive
28/01/2009,negative
28/01/2009,negative
27/03/2009,negative
16/04/2009,negative
19/04/2009,positive
22/04/2009,positive
03/05/2009,positive
26/05/2009,negative
18/08/2009,negative
08/10/2009,negative
12/12/2009,negative
08/01/2010,positive
16/02/2010,negative
16/02/2010,negative
20/02/2010,negative
19/07/2010,positive
19/07/2010,positive
26/07/2010,positive
31/08/2010,negative
03/09/2010,positive
20/04/2011,positive
08/06/2011,positive
03/08/2011,positive
04/08/2011,positive
06/01/2012,negative
28/03/2012,negative
14/11/2012,positive
22/01/2013,positive
07/02/2013,negative
14/03/2013,negative
26/04/2013,positive
02/09/2013,negative
25/09/2013,positive
13/10/2013,positive
28/10/2013,negative
18/02/2014,negative
01/03/2014,positive
13/05/2014,positive
25/08/2014,positive
03/10/2014,negative
08/11/2014,positive
17/12/2014,negative
14/03/2015,positive
26/03/2015,negative
02/05/2015,positive
31/05/2015,negative
17/06/2015,positive
15/07/2015,positive
15/07/2015,positive
10/08/2015,positive
13/08/2015,negative
13/08/2015,negative
19/10/2015,negative
10/11/2015,positive
13/11/2015,positive
13/11/2015,positive
08/12/2015,negative
16/12/2015,negative
08/01/2016,negative
12/01/2016,negative
25/01/2016,positive
12/04/2016,positive
19/04/2016,negative
11/05/2016,positive
11/05/2016,positive
11/05/2016,positive
11/05/2016,positive
11/05/2016,positive
25/05/2016,positive
23/06/2016,positive
19/07/2016,positive
02/08/2016,positive
16/08/2016,negative
14/09/2016,positive
19/09/2016,positive
19/10/2016,negative
21/10/2016,positive
02/12/2016,negative
09/04/2017,negative
25/04/2017,negative
28/04/2017,positive
28/04/2017,negative
23/05/2017,negative
27/05/2017,positive
30/06/2017,positive
10/07/2017,negative
23/07/2017,positive
04/08/2017,positive
07/08/2017,positive
15/08/2017,positive
13/10/2017,positive
13/10/2017,positive
13/10/2017,positive
16/10/2017,positive
16/10/2017,positive
20/10/2017,positive
08/11/2017,negative
14/11/2017,negative
17/11/2017,negative
17/11/2017,positive
17/11/2017,negative
18/11/2017,negative
20/11/2017,positive
29/11/2017,negative
29/11/2017,positive
26/12/2017,positive
15/01/2018,positive
09/02/2018,negative
09/03/2018,negative
08/05/2018,positive
19/06/2018,positive
25/06/2018,positive
06/07/2018,positive
09/07/2018,positive
02/11/2018,positive
04/11/2018,positive
22/11/2018,positive
20/12/2018,positive
06/01/2019,negative
15/02/2019,negative
15/02/2019,negative
25/02/2019,negative
14/03/2019,positive
20/05/2019,positive
01/06/2019,negative
26/06/2019,positive
26/06/2019,positive
20/08/2019,negative
13/09/2019,positive
16/09/2019,negative
24/09/2019,positive
04/11/2019,positive
29/11/2019,positive
05/12/2019,positive
09/12/2019,positive
10/12/2019,negative
26/12/2019,positive
31/01/2020,positive
17/02/2020,positive
20/02/2020,positive
05/04/2020,positive
08/04/2020,positive
09/04/2020,positive
15/04/2020,positive
16/04/2020,positive
23/04/2020,positive
30/04/2020,positive
07/05/2020,positive
13/05/2020,positive
14/05/2020,positive
13/09/2020,positive
02/10/2020,negative
04/10/2020,positive
13/10/2020,negative
21/10/2020,negative
23/10/2020,negative
26/10/2020,positive
15/12/2020,positive
21/12/2020,positive
12/01/2021,positive
21/01/2021,negative
11/02/2021,positive
04/03/2021,positive
21/03/2021,negative
02/04/2021,negative
04/04/2021,negative
05/04/2021,negative
10/04/2021,positive
06/05/2021,positive
10/05/2021,positive
17/06/2021,negative
02/07/2021,positive
28/07/2021,positive
29/07/2021,positive
