Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
28-06-1985,0.0,0.4535845176573048,0.4443274140357971,0.4443274140357971,14728800,0.0,0.0
01-07-1985,0.4443274140357971,0.4535845176573048,0.4443274140357971,0.4443274140357971,6511200,0.0,0.0
02-07-1985,0.462840884923935,0.47209799076816,0.462840884923935,0.46284088492393494,2380800,0.0,0.0
03-07-1985,0.462840884923935,0.47209799076816,0.462840884923935,0.46284088492393494,1317600,0.0,0.0
05-07-1985,0.4720979928970337,0.48135509878300264,0.4720979928970337,0.4720979928970337,1128000,0.0,0.0
08-07-1985,0.46284083905291146,0.46284083905291146,0.45358458161354065,0.45358458161354065,1692000,0.0,0.0
09-07-1985,0.4535845176573048,0.4535845176573048,0.4443274140357971,0.4443274140357971,976800,0.0,0.0
10-07-1985,0.45358458161354065,0.46284083905291146,0.45358458161354065,0.45358458161354065,837600,0.0,0.0
11-07-1985,0.462840884923935,0.47209799076816,0.462840884923935,0.46284088492393494,1188000,0.0,0.0
12-07-1985,0.462840884923935,0.47209799076816,0.462840884923935,0.46284088492393494,556800,0.0,0.0
15-07-1985,0.462840884923935,0.481355096612385,0.462840884923935,0.46284088492393494,372000,0.0,0.0
16-07-1985,0.4998685419559479,0.5091256493028595,0.4998685419559479,0.4998685419559479,2049600,0.0,0.0
17-07-1985,0.5183815360069275,0.5276386366901462,0.5183815360069275,0.5183815360069275,1159200,0.0,0.0
18-07-1985,0.5091256493028595,0.5091256493028595,0.4998685419559479,0.4998685419559479,835200,0.0,0.0
19-07-1985,0.4998685419559479,0.5091256493028595,0.4998685419559479,0.4998685419559479,597600,0.0,0.0
22-07-1985,0.4998685419559479,0.5091256493028595,0.4998685419559479,0.4998685419559479,1984800,0.0,0.0
23-07-1985,0.5091254711151123,0.5183817277348195,0.5091254711151123,0.5091254711151123,616800,0.0,0.0
24-07-1985,0.5091254711151123,0.5183817277348195,0.5091254711151123,0.5091254711151123,607200,0.0,0.0
