Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
04-05-1984,0.0,1.945481899111384,1.9214634895324707,1.9214634895324707,2578950,0.0,0.0
07-05-1984,0.0,1.9454818688061328,1.8974448442459106,1.8974448442459106,102600,0.0,0.0
08-05-1984,0.0,1.92146345960136,1.8974448442459106,1.8974448442459106,137250,0.0,0.0
09-05-1984,0.0,1.92146345960136,1.8974448442459106,1.8974448442459106,741600,0.0,0.0
10-05-1984,0.0,1.897444981464961,1.8494089841842651,1.8494089841842651,303750,0.0,0.0
11-05-1984,0.0,1.8734276108827115,1.8253905773162842,1.8253905773162842,228150,0.0,0.0
14-05-1984,0.0,1.8974451999877056,1.8253905773162842,1.8253905773162842,49950,0.0,0.0
15-05-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,43650,0.0,0.0
16-05-1984,0.0,1.9214634721132666,1.8734272718429565,1.8734272718429565,35100,0.0,0.0
17-05-1984,0.0,1.8974448566014162,1.8734272718429565,1.8734272718429565,65250,0.0,0.0
18-05-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,384750,0.0,0.0
21-05-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,225450,0.0,0.0
22-05-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,12150,0.0,0.0
23-05-1984,0.0,1.6812801476720383,1.6572625637054443,1.6572625637054443,14850,0.0,0.0
24-05-1984,0.0,1.6812801476720383,1.6572625637054443,1.6572625637054443,23400,0.0,0.0
25-05-1984,0.0,1.6812801476720383,1.6572625637054443,1.6572625637054443,158400,0.0,0.0
29-05-1984,0.0,1.7052986593166535,1.6572625637054443,1.6572625637054443,19350,0.0,0.0
30-05-1984,0.0,1.6812801476720383,1.6572625637054443,1.6572625637054443,33300,0.0,0.0
31-05-1984,0.0,1.6812801476720383,1.6572625637054443,1.6572625637054443,450,0.0,0.0
01-06-1984,0.0,1.7533355824803816,1.705298662185669,1.705298662185669,103050,0.0,0.0
04-06-1984,0.0,1.7773543345534648,1.729317307472229,1.729317307472229,7200,0.0,0.0
05-06-1984,0.0,1.7773543309068929,1.75333571434021,1.75333571434021,103500,0.0,0.0
06-06-1984,0.0,1.7773543309068929,1.75333571434021,1.75333571434021,148950,0.0,0.0
07-06-1984,0.0,1.8494090818088955,1.8013720512390137,1.8013720512390137,41400,0.0,0.0
08-06-1984,0.0,1.8494090818088955,1.8013720512390137,1.8013720512390137,117450,0.0,0.0
11-06-1984,0.0,1.8734274940184852,1.8013720512390137,1.8013720512390137,120150,0.0,0.0
12-06-1984,0.0,1.8734276108827115,1.8253905773162842,1.8253905773162842,126450,0.0,0.0
13-06-1984,0.0,1.8974451999877056,1.8253905773162842,1.8253905773162842,72900,0.0,0.0
14-06-1984,0.0,1.921463819846277,1.8253905773162842,1.8253905773162842,10350,0.0,0.0
15-06-1984,0.0,1.921463819846277,1.8253905773162842,1.8253905773162842,1350,0.0,0.0
18-06-1984,0.0,1.921463819846277,1.8253905773162842,1.8253905773162842,4500,0.0,0.0
19-06-1984,0.0,1.9214635985573842,1.8494089841842651,1.8494089841842651,5850,0.0,0.0
20-06-1984,0.0,1.897444981464961,1.8494089841842651,1.8494089841842651,20700,0.0,0.0
21-06-1984,0.0,1.897444981464961,1.8494089841842651,1.8494089841842651,10800,0.0,0.0
22-06-1984,0.0,1.897444981464961,1.8494089841842651,1.8494089841842651,14850,0.0,0.0
25-06-1984,0.0,1.8734276108827115,1.8253905773162842,1.8253905773162842,10800,0.0,0.0
26-06-1984,0.0,1.8734268817790243,1.7773538827896118,1.7773538827896118,15300,0.0,0.0
27-06-1984,0.0,1.8494084774186947,1.7773538827896118,1.7773538827896118,2700,0.0,0.0
28-06-1984,0.0,1.7773543345534648,1.729317307472229,1.729317307472229,60300,0.0,0.0
29-06-1984,0.0,1.7773543345534648,1.729317307472229,1.729317307472229,3600,0.0,0.0
02-07-1984,0.0,1.753335717937503,1.729317307472229,1.729317307472229,3600,0.0,0.0
03-07-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,9000,0.0,0.0
05-07-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,4050,0.0,0.0
06-07-1984,0.0,1.6812800100994887,1.6332439184188843,1.6332439184188843,4500,0.0,0.0
09-07-1984,0.0,1.6572626599346307,1.585207223892212,1.585207223892212,6750,0.0,0.0
