date,CDW,isPartial
2008-01-01,0,False
2008-01-02,61,False
2008-01-03,80,False
2008-01-04,77,False
2008-01-05,29,False
2008-01-06,30,False
2008-01-07,87,False
2008-01-08,90,False
2008-01-09,86,False
2008-01-10,92,False
2008-01-11,60,False
2008-01-12,50,False
2008-01-13,27,False
2008-01-14,79,False
2008-01-15,60,False
2008-01-16,89,False
2008-01-17,95,False
2008-01-18,67,False
2008-01-19,39,False
2008-01-20,39,False
2008-01-21,66,False
2008-01-22,89,False
2008-01-23,90,False
2008-01-24,81,False
2008-01-25,91,False
2008-01-26,42,False
2008-01-27,47,False
2008-01-28,78,False
2008-01-29,88,False
2008-01-30,94,False
2008-01-31,82,False
2008-02-01,77,False
2008-02-02,39,False
2008-02-03,26,False
2008-02-04,70,False
2008-02-05,74,False
2008-02-06,84,False
2008-02-07,79,False
2008-02-08,81,False
2008-02-09,33,False
2008-02-10,26,False
2008-02-11,90,False
2008-02-12,78,False
2008-02-13,62,False
2008-02-14,80,False
2008-02-15,72,False
2008-02-16,26,False
2008-02-17,20,False
2008-02-18,51,False
2008-02-19,78,False
2008-02-20,95,False
2008-02-21,74,False
2008-02-22,86,False
2008-02-23,31,False
2008-02-24,35,False
2008-02-25,66,False
2008-02-26,81,False
2008-02-27,89,False
2008-02-28,83,False
2008-02-29,74,False
2008-03-01,22,False
2008-03-02,29,False
2008-03-03,74,False
2008-03-04,94,False
2008-03-05,73,False
2008-03-06,76,False
2008-03-07,70,False
2008-03-08,45,False
2008-03-09,28,False
2008-03-10,61,False
2008-03-11,76,False
2008-03-12,65,False
2008-03-13,77,False
2008-03-14,63,False
2008-03-15,39,False
2008-03-16,47,False
2008-03-17,81,False
2008-03-18,90,False
2008-03-19,88,False
2008-03-20,88,False
2008-03-21,74,False
2008-03-22,36,False
2008-03-23,23,False
2008-03-24,88,False
2008-03-25,89,False
2008-03-26,77,False
2008-03-27,74,False
2008-03-28,67,False
2008-03-29,0,False
2008-03-30,34,False
2008-03-31,75,False
2008-04-01,68,False
2008-04-02,85,False
2008-04-03,100,False
2008-04-04,77,False
2008-04-05,33,False
2008-04-06,20,False
2008-04-07,64,False
2008-04-08,66,False
2008-04-09,89,False
2008-04-10,77,False
2008-04-11,69,False
2008-04-12,28,False
2008-04-13,21,False
2008-04-14,55,False
2008-04-15,86,False
2008-04-16,74,False
2008-04-17,73,False
2008-04-18,45,False
2008-04-19,28,False
2008-04-20,38,False
2008-04-21,79,False
2008-04-22,77,False
2008-04-23,63,False
2008-04-24,67,False
2008-04-25,75,False
2008-04-26,33,False
2008-04-27,20,False
2008-04-28,65,False
2008-04-29,78,False
2008-04-30,72,False
2008-05-01,100,False
2008-05-02,81,False
2008-05-03,38,False
2008-05-04,20,False
2008-05-05,62,False
2008-05-06,97,False
2008-05-07,68,False
2008-05-08,68,False
2008-05-09,67,False
2008-05-10,24,False
2008-05-11,42,False
2008-05-12,75,False
2008-05-13,78,False
2008-05-14,93,False
2008-05-15,92,False
2008-05-16,74,False
2008-05-17,24,False
2008-05-18,0,False
2008-05-19,70,False
2008-05-20,79,False
2008-05-21,73,False
2008-05-22,73,False
2008-05-23,71,False
2008-05-24,25,False
2008-05-25,24,False
2008-05-26,34,False
2008-05-27,72,False
2008-05-28,91,False
2008-05-29,80,False
2008-05-30,68,False
2008-05-31,20,False
2008-06-01,0,False
2008-06-02,67,False
2008-06-03,78,False
2008-06-04,65,False
2008-06-05,70,False
2008-06-06,65,False
2008-06-07,0,False
2008-06-08,20,False
2008-06-09,64,False
2008-06-10,80,False
2008-06-11,64,False
2008-06-12,82,False
2008-06-13,66,False
2008-06-14,26,False
2008-06-15,32,False
2008-06-16,69,False
2008-06-17,77,False
2008-06-18,80,False
2008-06-19,76,False
2008-06-20,73,False
2008-06-21,0,False
2008-06-22,32,False
2008-06-23,72,False
2008-06-24,78,False
2008-06-25,88,False
2008-06-26,83,False
2008-06-27,84,False
2008-06-28,24,False
2008-06-29,39,False
2008-06-30,65,False
2008-07-01,57,False
2008-07-02,44,False
2008-07-03,37,False
2008-07-04,19,False
2008-07-05,19,False
2008-07-06,18,False
2008-07-07,55,False
2008-07-08,73,False
2008-07-09,78,False
2008-07-10,64,False
2008-07-11,52,False
2008-07-12,28,False
2008-07-13,29,False
2008-07-14,68,False
2008-07-15,62,False
2008-07-16,52,False
2008-07-17,54,False
2008-07-18,50,False
2008-07-19,35,False
2008-07-20,40,False
2008-07-21,59,False
2008-07-22,52,False
2008-07-23,67,False
2008-07-24,62,False
2008-07-25,47,False
2008-07-26,24,False
2008-07-27,21,False
2008-07-28,60,False
2008-07-29,57,False
2008-07-30,71,False
2008-07-31,59,False
2008-08-01,63,False
2008-08-02,35,False
2008-08-03,34,False
2008-08-04,63,False
2008-08-05,59,False
2008-08-06,64,False
2008-08-07,100,False
2008-08-08,59,False
