date,MDB,isPartial
2008-01-01,53,False
2008-01-02,58,False
2008-01-03,69,False
2008-01-04,73,False
2008-01-05,39,False
2008-01-06,34,False
2008-01-07,67,False
2008-01-08,92,False
2008-01-09,93,False
2008-01-10,88,False
2008-01-11,74,False
2008-01-12,41,False
2008-01-13,60,False
2008-01-14,84,False
2008-01-15,66,False
2008-01-16,80,False
2008-01-17,83,False
2008-01-18,73,False
2008-01-19,60,False
2008-01-20,43,False
2008-01-21,81,False
2008-01-22,79,False
2008-01-23,77,False
2008-01-24,100,False
2008-01-25,83,False
2008-01-26,50,False
2008-01-27,54,False
2008-01-28,79,False
2008-01-29,89,False
2008-01-30,81,False
2008-01-31,73,False
2008-02-01,69,False
2008-02-02,51,False
2008-02-03,51,False
2008-02-04,67,False
2008-02-05,90,False
2008-02-06,76,False
2008-02-07,75,False
2008-02-08,79,False
2008-02-09,43,False
2008-02-10,55,False
2008-02-11,70,False
2008-02-12,71,False
2008-02-13,74,False
2008-02-14,88,False
2008-02-15,77,False
2008-02-16,53,False
2008-02-17,53,False
2008-02-18,64,False
2008-02-19,87,False
2008-02-20,82,False
2008-02-21,91,False
2008-02-22,74,False
2008-02-23,52,False
2008-02-24,54,False
2008-02-25,80,False
2008-02-26,87,False
2008-02-27,69,False
2008-02-28,91,False
2008-02-29,65,False
2008-03-01,52,False
2008-03-02,48,False
2008-03-03,80,False
2008-03-04,64,False
2008-03-05,78,False
2008-03-06,77,False
2008-03-07,81,False
2008-03-08,58,False
2008-03-09,57,False
2008-03-10,69,False
2008-03-11,69,False
2008-03-12,93,False
2008-03-13,92,False
2008-03-14,64,False
2008-03-15,54,False
2008-03-16,54,False
2008-03-17,76,False
2008-03-18,83,False
2008-03-19,88,False
2008-03-20,75,False
2008-03-21,67,False
2008-03-22,58,False
2008-03-23,42,False
2008-03-24,69,False
2008-03-25,73,False
2008-03-26,85,False
2008-03-27,84,False
2008-03-28,73,False
2008-03-29,62,False
2008-03-30,44,False
2008-03-31,73,False
2008-04-01,70,False
2008-04-02,88,False
2008-04-03,77,False
2008-04-04,70,False
2008-04-05,43,False
2008-04-06,47,False
2008-04-07,77,False
2008-04-08,79,False
2008-04-09,83,False
2008-04-10,85,False
2008-04-11,66,False
2008-04-12,40,False
2008-04-13,59,False
2008-04-14,81,False
2008-04-15,79,False
2008-04-16,62,False
2008-04-17,93,False
2008-04-18,92,False
2008-04-19,52,False
2008-04-20,52,False
2008-04-21,71,False
2008-04-22,84,False
2008-04-23,72,False
2008-04-24,66,False
2008-04-25,78,False
2008-04-26,51,False
2008-04-27,57,False
2008-04-28,78,False
2008-04-29,63,False
2008-04-30,71,False
2008-05-01,56,False
2008-05-02,81,False
2008-05-03,63,False
2008-05-04,68,False
2008-05-05,77,False
2008-05-06,100,False
2008-05-07,81,False
2008-05-08,80,False
2008-05-09,66,False
2008-05-10,41,False
2008-05-11,58,False
2008-05-12,68,False
2008-05-13,77,False
2008-05-14,89,False
2008-05-15,71,False
2008-05-16,74,False
2008-05-17,51,False
2008-05-18,56,False
2008-05-19,71,False
2008-05-20,90,False
2008-05-21,87,False
2008-05-22,71,False
2008-05-23,71,False
2008-05-24,46,False
2008-05-25,48,False
2008-05-26,69,False
2008-05-27,86,False
2008-05-28,81,False
2008-05-29,90,False
2008-05-30,81,False
2008-05-31,45,False
2008-06-01,39,False
2008-06-02,76,False
2008-06-03,81,False
2008-06-04,70,False
2008-06-05,73,False
2008-06-06,76,False
2008-06-07,38,False
2008-06-08,44,False
2008-06-09,88,False
2008-06-10,68,False
2008-06-11,64,False
2008-06-12,74,False
2008-06-13,80,False
2008-06-14,45,False
2008-06-15,55,False
2008-06-16,68,False
2008-06-17,67,False
2008-06-18,81,False
2008-06-19,73,False
2008-06-20,66,False
2008-06-21,43,False
2008-06-22,53,False
2008-06-23,66,False
2008-06-24,80,False
2008-06-25,83,False
2008-06-26,69,False
2008-06-27,66,False
2008-06-28,48,False
2008-06-29,48,False
2008-06-30,75,False
2008-07-01,85,False
2008-07-02,91,False
2008-07-03,93,False
2008-07-04,79,False
2008-07-05,51,False
2008-07-06,65,False
2008-07-07,72,False
2008-07-08,81,False
2008-07-09,89,False
2008-07-10,77,False
2008-07-11,83,False
2008-07-12,44,False
2008-07-13,39,False
2008-07-14,87,False
2008-07-15,77,False
2008-07-16,75,False
2008-07-17,88,False
2008-07-18,79,False
2008-07-19,59,False
2008-07-20,58,False
2008-07-21,73,False
2008-07-22,59,False
2008-07-23,85,False
2008-07-24,79,False
2008-07-25,79,False
2008-07-26,37,False
2008-07-27,57,False
2008-07-28,76,False
2008-07-29,86,False
2008-07-30,79,False
2008-07-31,84,False
2008-08-01,73,False
2008-08-02,69,False
