date,ON,isPartial
2008-01-01,97,False
2008-01-02,84,False
2008-01-03,89,False
2008-01-04,94,False
2008-01-05,89,False
2008-01-06,89,False
2008-01-07,88,False
2008-01-08,89,False
2008-01-09,92,False
2008-01-10,88,False
2008-01-11,87,False
2008-01-12,91,False
2008-01-13,93,False
2008-01-14,91,False
2008-01-15,93,False
2008-01-16,87,False
2008-01-17,93,False
2008-01-18,93,False
2008-01-19,92,False
2008-01-20,95,False
2008-01-21,89,False
2008-01-22,91,False
2008-01-23,95,False
2008-01-24,92,False
2008-01-25,95,False
2008-01-26,100,False
2008-01-27,96,False
2008-01-28,90,False
2008-01-29,90,False
2008-01-30,91,False
2008-01-31,93,False
2008-02-01,88,False
2008-02-02,93,False
2008-02-03,99,False
2008-02-04,92,False
2008-02-05,99,False
2008-02-06,94,False
2008-02-07,93,False
2008-02-08,92,False
2008-02-09,93,False
2008-02-10,97,False
2008-02-11,96,False
2008-02-12,91,False
2008-02-13,94,False
2008-02-14,88,False
2008-02-15,89,False
2008-02-16,89,False
2008-02-17,90,False
2008-02-18,90,False
2008-02-19,91,False
2008-02-20,92,False
2008-02-21,92,False
2008-02-22,88,False
2008-02-23,91,False
2008-02-24,98,False
2008-02-25,97,False
2008-02-26,95,False
2008-02-27,93,False
2008-02-28,93,False
2008-02-29,89,False
2008-03-01,92,False
2008-03-02,96,False
2008-03-03,90,False
2008-03-04,91,False
2008-03-05,93,False
2008-03-06,94,False
2008-03-07,93,False
2008-03-08,90,False
2008-03-09,94,False
2008-03-10,91,False
2008-03-11,90,False
2008-03-12,91,False
2008-03-13,92,False
2008-03-14,91,False
2008-03-15,91,False
2008-03-16,93,False
2008-03-17,93,False
2008-03-18,90,False
2008-03-19,95,False
2008-03-20,94,False
2008-03-21,93,False
2008-03-22,90,False
2008-03-23,92,False
2008-03-24,91,False
2008-03-25,89,False
2008-03-26,93,False
2008-03-27,90,False
2008-03-28,90,False
2008-03-29,93,False
2008-03-30,93,False
2008-03-31,88,False
2008-04-01,95,False
2008-04-02,95,False
2008-04-03,92,False
2008-04-04,95,False
2008-04-05,96,False
2008-04-06,92,False
2008-04-07,90,False
2008-04-08,92,False
2008-04-09,94,False
2008-04-10,98,False
2008-04-11,93,False
2008-04-12,95,False
2008-04-13,94,False
2008-04-14,93,False
2008-04-15,92,False
2008-04-16,91,False
2008-04-17,91,False
2008-04-18,91,False
2008-04-19,90,False
2008-04-20,96,False
2008-04-21,94,False
2008-04-22,94,False
2008-04-23,92,False
2008-04-24,94,False
2008-04-25,88,False
2008-04-26,95,False
2008-04-27,98,False
2008-04-28,94,False
2008-04-29,94,False
2008-04-30,94,False
2008-05-01,98,False
2008-05-02,98,False
2008-05-03,93,False
2008-05-04,98,False
2008-05-05,95,False
2008-05-06,93,False
2008-05-07,93,False
2008-05-08,97,False
2008-05-09,93,False
2008-05-10,92,False
2008-05-11,93,False
