date,ROP,isPartial
2008-01-01,55,False
2008-01-02,43,False
2008-01-03,58,False
2008-01-04,63,False
2008-01-05,36,False
2008-01-06,44,False
2008-01-07,50,False
2008-01-08,88,False
2008-01-09,100,False
2008-01-10,59,False
2008-01-11,56,False
2008-01-12,35,False
2008-01-13,67,False
2008-01-14,59,False
2008-01-15,68,False
2008-01-16,55,False
2008-01-17,77,False
2008-01-18,62,False
2008-01-19,40,False
2008-01-20,57,False
2008-01-21,46,False
2008-01-22,57,False
2008-01-23,77,False
2008-01-24,61,False
2008-01-25,53,False
2008-01-26,41,False
2008-01-27,46,False
2008-01-28,49,False
2008-01-29,57,False
2008-01-30,53,False
2008-01-31,52,False
2008-02-01,49,False
2008-02-02,42,False
2008-02-03,61,False
2008-02-04,61,False
2008-02-05,37,False
2008-02-06,53,False
2008-02-07,83,False
2008-02-08,48,False
2008-02-09,37,False
2008-02-10,43,False
2008-02-11,55,False
2008-02-12,63,False
2008-02-13,62,False
2008-02-14,69,False
2008-02-15,46,False
2008-02-16,70,False
2008-02-17,61,False
2008-02-18,53,False
2008-02-19,57,False
2008-02-20,45,False
2008-02-21,46,False
2008-02-22,46,False
2008-02-23,39,False
2008-02-24,71,False
2008-02-25,56,False
2008-02-26,60,False
2008-02-27,47,False
2008-02-28,41,False
2008-02-29,72,False
2008-03-01,52,False
2008-03-02,52,False
2008-03-03,78,False
2008-03-04,84,False
2008-03-05,64,False
2008-03-06,55,False
2008-03-07,66,False
2008-03-08,68,False
2008-03-09,58,False
2008-03-10,58,False
2008-03-11,65,False
2008-03-12,74,False
2008-03-13,59,False
2008-03-14,45,False
2008-03-15,59,False
2008-03-16,73,False
2008-03-17,58,False
2008-03-18,83,False
2008-03-19,65,False
2008-03-20,77,False
2008-03-21,75,False
2008-03-22,67,False
2008-03-23,68,False
2008-03-24,70,False
2008-03-25,74,False
2008-03-26,60,False
2008-03-27,65,False
2008-03-28,57,False
2008-03-29,69,False
2008-03-30,42,False
2008-03-31,50,False
2008-04-01,51,False
2008-04-02,57,False
2008-04-03,85,False
2008-04-04,55,False
2008-04-05,50,False
2008-04-06,0,False
2008-04-07,80,False
2008-04-08,52,False
2008-04-09,76,False
2008-04-10,64,False
2008-04-11,42,False
2008-04-12,53,False
2008-04-13,67,False
2008-04-14,64,False
2008-04-15,65,False
2008-04-16,48,False
2008-04-17,39,False
2008-04-18,66,False
2008-04-19,69,False
2008-04-20,62,False
2008-04-21,71,False
2008-04-22,65,False
2008-04-23,70,False
2008-04-24,63,False
2008-04-25,60,False
2008-04-26,57,False
2008-04-27,42,False
2008-04-28,49,False
2008-04-29,68,False
2008-04-30,45,False
2008-05-01,50,False
2008-05-02,58,False
2008-05-03,64,False
2008-05-04,90,False
2008-05-05,61,False
2008-05-06,70,False
2008-05-07,74,False
2008-05-08,83,False
2008-05-09,44,False
2008-05-10,54,False
2008-05-11,56,False
2008-05-12,59,False
2008-05-13,64,False
2008-05-14,37,False
2008-05-15,53,False
2008-05-16,58,False
2008-05-17,49,False
2008-05-18,36,False
2008-05-19,74,False
2008-05-20,44,False
2008-05-21,55,False
2008-05-22,49,False
2008-05-23,64,False
2008-05-24,51,False
2008-05-25,57,False
2008-05-26,50,False
2008-05-27,66,False
2008-05-28,74,False
2008-05-29,50,False
2008-05-30,56,False
2008-05-31,55,False
2008-06-01,41,False
2008-06-02,63,False
2008-06-03,84,False
2008-06-04,61,False
2008-06-05,53,False
2008-06-06,67,False
2008-06-07,63,False
2008-06-08,68,False
2008-06-09,46,False
2008-06-10,69,False
2008-06-11,60,False
2008-06-12,71,False
2008-06-13,89,False
2008-06-14,48,False
2008-06-15,68,False
2008-06-16,60,False
2008-06-17,62,False
2008-06-18,68,False
2008-06-19,53,False
2008-06-20,51,False
2008-06-21,47,False
2008-06-22,58,False
2008-06-23,76,False
2008-06-24,83,False
2008-06-25,65,False
2008-06-26,64,False
2008-06-27,62,False
2008-06-28,40,False
2008-06-29,69,False
2008-06-30,72,False
2008-07-01,71,False
2008-07-02,59,False
2008-07-03,61,False
2008-07-04,47,False
2008-07-05,41,False
2008-07-06,66,False
2008-07-07,87,False
2008-07-08,74,False
2008-07-09,65,False
2008-07-10,78,False
2008-07-11,68,False
2008-07-12,60,False
2008-07-13,71,False
2008-07-14,74,False
2008-07-15,82,False
2008-07-16,88,False
2008-07-17,80,False
2008-07-18,72,False
2008-07-19,62,False
2008-07-20,63,False
2008-07-21,56,False
2008-07-22,76,False
2008-07-23,68,False
2008-07-24,53,False
2008-07-25,50,False
2008-07-26,67,False
2008-07-27,55,False
2008-07-28,69,False
2008-07-29,70,False
2008-07-30,58,False
2008-07-31,84,False
2008-08-01,78,False
2008-08-02,68,False
2008-08-03,52,False
2008-08-04,39,False
2008-08-05,76,False
2008-08-06,73,False
2008-08-07,71,False
2008-08-08,61,False
2008-08-09,61,False
2008-08-10,40,False
2008-08-11,81,False
2008-08-12,74,False
2008-08-13,84,False
2008-08-14,65,False
2008-08-15,99,False
2008-08-16,73,False
2008-08-17,60,False
2008-08-18,70,False
2008-08-19,97,False
2008-08-20,90,False
2008-08-21,50,False
2008-08-22,47,False
2008-08-23,53,False
2008-08-24,51,False
2008-08-25,83,False
2008-08-26,82,False
2008-08-27,80,False
2008-08-28,75,False
2008-08-29,91,False
2008-08-30,64,False
2008-08-31,59,False
2008-09-01,49,False
2008-09-02,72,False
2008-09-03,100,False
2008-09-04,65,False
2008-09-05,85,False
2008-09-06,46,False
2008-09-07,48,False
2008-09-08,66,False
2008-09-09,61,False
2008-09-10,56,False
2008-09-11,58,False
2008-09-12,49,False
2008-09-13,41,False
2008-09-14,64,False
2008-09-15,63,False
2008-09-16,71,False
2008-09-17,60,False
2008-09-18,64,False
2008-09-19,66,False
2008-09-20,69,False
2008-09-21,45,False
2008-09-22,69,False
2008-09-23,76,False
2008-09-24,68,False
2008-09-25,68,False
2008-09-26,60,False
2008-09-27,38,False
2008-09-28,47,False
2008-09-29,41,False
2008-09-30,61,False
2008-10-01,72,False
2008-10-02,56,False
2008-10-03,56,False
2008-10-04,50,False
2008-10-05,55,False
2008-10-06,76,False
2008-10-07,74,False
2008-10-08,69,False
2008-10-09,81,False
2008-10-10,63,False
2008-10-11,45,False
2008-10-12,60,False
2008-10-13,60,False
2008-10-14,88,False
2008-10-15,57,False
2008-10-16,59,False
2008-10-17,74,False
2008-10-18,73,False
2008-10-19,57,False
2008-10-20,61,False
2008-10-21,48,False
2008-10-22,62,False
2008-10-23,41,False
2008-10-24,56,False
2008-10-25,64,False
2008-10-26,31,False
2008-10-27,65,False
2008-10-28,69,False
2008-10-29,100,False
2008-10-30,65,False
2008-10-31,34,False
2008-11-01,58,False
2008-11-02,61,False
2008-11-03,67,False
2008-11-04,66,False
2008-11-05,58,False
2008-11-06,54,False
2008-11-07,66,False
2008-11-08,59,False
2008-11-09,52,False
2008-11-10,62,False
2008-11-11,77,False
2008-11-12,81,False
2008-11-13,67,False
2008-11-14,53,False
2008-11-15,63,False
2008-11-16,50,False
2008-11-17,58,False
2008-11-18,61,False
2008-11-19,66,False
2008-11-20,73,False
2008-11-21,72,False
2008-11-22,53,False
2008-11-23,52,False
2008-11-24,74,False
2008-11-25,65,False
2008-11-26,65,False
2008-11-27,54,False
2008-11-28,77,False
2008-11-29,64,False
2008-11-30,61,False
2008-12-01,59,False
2008-12-02,65,False
2008-12-03,81,False
2008-12-04,51,False
2008-12-05,50,False
2008-12-06,48,False
2008-12-07,35,False
2008-12-08,85,False
2008-12-09,71,False
2008-12-10,58,False
2008-12-11,75,False
2008-12-12,70,False
2008-12-13,62,False
2008-12-14,74,False
2008-12-15,55,False
2008-12-16,83,False
2008-12-17,58,False
2008-12-18,70,False
2008-12-19,41,False
