date,ZS,isPartial
2008-01-01,69,False
2008-01-02,83,False
2008-01-03,75,False
2008-01-04,61,False
2008-01-05,75,False
2008-01-06,68,False
2008-01-07,96,False
2008-01-08,87,False
2008-01-09,70,False
2008-01-10,94,False
2008-01-11,65,False
2008-01-12,70,False
2008-01-13,81,False
2008-01-14,77,False
2008-01-15,78,False
2008-01-16,80,False
2008-01-17,60,False
2008-01-18,80,False
2008-01-19,73,False
2008-01-20,92,False
2008-01-21,81,False
2008-01-22,83,False
2008-01-23,78,False
2008-01-24,62,False
2008-01-25,68,False
2008-01-26,71,False
2008-01-27,63,False
2008-01-28,78,False
2008-01-29,83,False
2008-01-30,79,False
2008-01-31,84,False
2008-02-01,68,False
2008-02-02,63,False
2008-02-03,96,False
2008-02-04,76,False
2008-02-05,83,False
2008-02-06,71,False
2008-02-07,80,False
2008-02-08,64,False
2008-02-09,87,False
2008-02-10,72,False
2008-02-11,72,False
2008-02-12,65,False
2008-02-13,74,False
2008-02-14,73,False
2008-02-15,71,False
2008-02-16,79,False
2008-02-17,69,False
2008-02-18,79,False
2008-02-19,56,False
2008-02-20,69,False
2008-02-21,65,False
2008-02-22,62,False
2008-02-23,78,False
2008-02-24,85,False
2008-02-25,65,False
2008-02-26,66,False
2008-02-27,81,False
2008-02-28,66,False
2008-02-29,72,False
2008-03-01,52,False
2008-03-02,85,False
2008-03-03,62,False
2008-03-04,59,False
2008-03-05,70,False
2008-03-06,58,False
2008-03-07,76,False
2008-03-08,55,False
2008-03-09,77,False
2008-03-10,61,False
2008-03-11,67,False
2008-03-12,66,False
2008-03-13,59,False
2008-03-14,73,False
2008-03-15,63,False
2008-03-16,64,False
2008-03-17,69,False
2008-03-18,54,False
2008-03-19,67,False
2008-03-20,63,False
2008-03-21,64,False
2008-03-22,63,False
2008-03-23,72,False
2008-03-24,60,False
2008-03-25,58,False
2008-03-26,68,False
2008-03-27,73,False
2008-03-28,65,False
2008-03-29,66,False
2008-03-30,60,False
2008-03-31,73,False
2008-04-01,73,False
2008-04-02,80,False
2008-04-03,76,False
2008-04-04,65,False
2008-04-05,60,False
2008-04-06,80,False
2008-04-07,67,False
2008-04-08,76,False
2008-04-09,67,False
2008-04-10,76,False
2008-04-11,58,False
2008-04-12,69,False
2008-04-13,100,False
2008-04-14,73,False
2008-04-15,68,False
2008-04-16,66,False
2008-04-17,69,False
2008-04-18,74,False
2008-04-19,59,False
2008-04-20,80,False
2008-04-21,82,False
2008-04-22,66,False
2008-04-23,64,False
2008-04-24,70,False
2008-04-25,73,False
2008-04-26,70,False
2008-04-27,97,False
2008-04-28,81,False
2008-04-29,71,False
2008-04-30,60,False
2008-05-01,55,False
2008-05-02,64,False
2008-05-03,46,False
2008-05-04,69,False
2008-05-05,69,False
2008-05-06,77,False
2008-05-07,78,False
2008-05-08,66,False
2008-05-09,59,False
2008-05-10,53,False
2008-05-11,77,False
2008-05-12,70,False
2008-05-13,72,False
2008-05-14,65,False
2008-05-15,66,False
2008-05-16,71,False
2008-05-17,50,False
2008-05-18,66,False
2008-05-19,82,False
2008-05-20,69,False
2008-05-21,65,False
2008-05-22,66,False
2008-05-23,57,False
2008-05-24,54,False
2008-05-25,81,False
2008-05-26,71,False
2008-05-27,72,False
2008-05-28,76,False
2008-05-29,57,False
2008-05-30,62,False
2008-05-31,62,False
2008-06-01,56,False
2008-06-02,64,False
2008-06-03,72,False
2008-06-04,55,False
2008-06-05,72,False
2008-06-06,60,False
2008-06-07,81,False
2008-06-08,76,False
2008-06-09,70,False
2008-06-10,63,False
2008-06-11,73,False
2008-06-12,80,False
2008-06-13,83,False
2008-06-14,64,False
2008-06-15,64,False
2008-06-16,70,False
2008-06-17,67,False
2008-06-18,68,False
2008-06-19,64,False
2008-06-20,80,False
2008-06-21,69,False
2008-06-22,65,False
2008-06-23,74,False
2008-06-24,64,False
2008-06-25,70,False
2008-06-26,86,False
2008-06-27,91,False
2008-06-28,65,False
2008-06-29,86,False
2008-06-30,94,False
2008-07-01,53,False
2008-07-02,45,False
2008-07-03,45,False
2008-07-04,52,False
2008-07-05,69,False
2008-07-06,50,False
2008-07-07,51,False
2008-07-08,37,False
2008-07-09,35,False
2008-07-10,36,False
2008-07-11,39,False
2008-07-12,38,False
2008-07-13,35,False
2008-07-14,39,False
2008-07-15,41,False
2008-07-16,39,False
2008-07-17,26,False
2008-07-18,33,False
2008-07-19,36,False
2008-07-20,38,False
2008-07-21,38,False
2008-07-22,33,False
2008-07-23,36,False
2008-07-24,33,False
2008-07-25,40,False
2008-07-26,37,False
2008-07-27,48,False
2008-07-28,32,False
2008-07-29,34,False
2008-07-30,36,False
2008-07-31,35,False
2008-08-01,38,False
2008-08-02,42,False
2008-08-03,42,False
2008-08-04,44,False
2008-08-05,44,False
2008-08-06,51,False
2008-08-07,38,False
2008-08-08,34,False
2008-08-09,38,False
2008-08-10,47,False
2008-08-11,42,False
2008-08-12,34,False
2008-08-13,34,False
2008-08-14,38,False
2008-08-15,44,False
2008-08-16,50,False
2008-08-17,43,False
2008-08-18,41,False
2008-08-19,35,False
2008-08-20,42,False
2008-08-21,51,False
2008-08-22,49,False
2008-08-23,46,False
2008-08-24,51,False
2008-08-25,61,False
2008-08-26,52,False
2008-08-27,57,False
2008-08-28,57,False
2008-08-29,65,False
2008-08-30,70,False
2008-08-31,90,False
2008-09-01,100,False
2008-09-02,88,False
2008-09-03,82,False
2008-09-04,65,False
2008-09-05,48,False
2008-09-06,66,False
2008-09-07,66,False
2008-09-08,63,False
2008-09-09,60,False
2008-09-10,52,False
2008-09-11,53,False
2008-09-12,57,False
2008-09-13,46,False
2008-09-14,57,False
2008-09-15,67,False
2008-09-16,62,False
2008-09-17,60,False
2008-09-18,63,False
2008-09-19,50,False
2008-09-20,54,False
2008-09-21,61,False
2008-09-22,67,False
2008-09-23,62,False
2008-09-24,54,False
2008-09-25,55,False
2008-09-26,58,False
2008-09-27,59,False
2008-09-28,60,False
2008-09-29,61,False
2008-09-30,60,False
2008-10-01,62,False
2008-10-02,56,False
2008-10-03,52,False
2008-10-04,61,False
2008-10-05,49,False
2008-10-06,61,False
2008-10-07,54,False
2008-10-08,45,False
2008-10-09,50,False
2008-10-10,57,False
2008-10-11,50,False
2008-10-12,39,False
2008-10-13,48,False
