date,COST,isPartial
2008-01-01,70,False
2008-01-02,74,False
2008-01-03,74,False
2008-01-04,75,False
2008-01-05,77,False
2008-01-06,73,False
2008-01-07,79,False
2008-01-08,81,False
2008-01-09,83,False
2008-01-10,85,False
2008-01-11,78,False
2008-01-12,70,False
2008-01-13,81,False
2008-01-14,83,False
2008-01-15,84,False
2008-01-16,75,False
2008-01-17,82,False
2008-01-18,81,False
2008-01-19,71,False
2008-01-20,78,False
2008-01-21,77,False
2008-01-22,85,False
2008-01-23,80,False
2008-01-24,79,False
2008-01-25,78,False
2008-01-26,74,False
2008-01-27,77,False
2008-01-28,82,False
2008-01-29,85,False
2008-01-30,83,False
2008-01-31,83,False
2008-02-01,75,False
2008-02-02,68,False
2008-02-03,80,False
2008-02-04,86,False
2008-02-05,89,False
2008-02-06,79,False
2008-02-07,81,False
2008-02-08,72,False
2008-02-09,83,False
2008-02-10,75,False
2008-02-11,86,False
2008-02-12,81,False
2008-02-13,80,False
2008-02-14,77,False
2008-02-15,71,False
2008-02-16,70,False
2008-02-17,71,False
2008-02-18,86,False
2008-02-19,86,False
2008-02-20,90,False
2008-02-21,82,False
2008-02-22,75,False
2008-02-23,73,False
2008-02-24,75,False
2008-02-25,80,False
2008-02-26,86,False
2008-02-27,82,False
2008-02-28,84,False
2008-02-29,76,False
2008-03-01,68,False
2008-03-02,76,False
2008-03-03,81,False
2008-03-04,83,False
2008-03-05,85,False
2008-03-06,84,False
2008-03-07,77,False
2008-03-08,71,False
2008-03-09,70,False
2008-03-10,94,False
2008-03-11,90,False
2008-03-12,86,False
2008-03-13,83,False
2008-03-14,81,False
2008-03-15,71,False
2008-03-16,78,False
2008-03-17,89,False
2008-03-18,91,False
2008-03-19,83,False
2008-03-20,76,False
2008-03-21,84,False
2008-03-22,71,False
2008-03-23,72,False
2008-03-24,81,False
2008-03-25,87,False
2008-03-26,87,False
2008-03-27,87,False
2008-03-28,79,False
2008-03-29,76,False
2008-03-30,80,False
2008-03-31,98,False
2008-04-01,90,False
2008-04-02,90,False
2008-04-03,88,False
2008-04-04,77,False
2008-04-05,73,False
2008-04-06,82,False
2008-04-07,91,False
2008-04-08,90,False
2008-04-09,88,False
2008-04-10,87,False
2008-04-11,79,False
2008-04-12,77,False
2008-04-13,76,False
2008-04-14,97,False
2008-04-15,97,False
2008-04-16,88,False
2008-04-17,82,False
2008-04-18,81,False
2008-04-19,72,False
2008-04-20,77,False
2008-04-21,97,False
2008-04-22,95,False
2008-04-23,90,False
2008-04-24,93,False
2008-04-25,82,False
2008-04-26,76,False
2008-04-27,78,False
2008-04-28,100,False
2008-04-29,91,False
2008-04-30,94,False
2008-05-01,90,False
2008-05-02,82,False
2008-05-03,72,False
2008-05-04,79,False
2008-05-05,93,False
2008-05-06,90,False
2008-05-07,91,False
2008-05-08,92,False
2008-05-09,79,False
2008-05-10,76,False
2008-05-11,79,False
2008-05-12,92,False
2008-05-13,93,False
2008-05-14,89,False
2008-05-15,83,False
2008-05-16,71,False
2008-05-17,69,False
2008-05-18,74,False
2008-05-19,87,False
2008-05-20,91,False
2008-05-21,87,False
2008-05-22,87,False
2008-05-23,73,False
2008-05-24,65,False
2008-05-25,75,False
2008-05-26,73,False
2008-05-27,91,False
2008-05-28,85,False
2008-05-29,85,False
2008-05-30,77,False
2008-05-31,67,False
2008-06-01,74,False
2008-06-02,87,False
2008-06-03,87,False
2008-06-04,86,False
2008-06-05,84,False
2008-06-06,81,False
2008-06-07,69,False
2008-06-08,74,False
2008-06-09,91,False
2008-06-10,90,False
2008-06-11,86,False
2008-06-12,84,False
2008-06-13,75,False
2008-06-14,77,False
2008-06-15,76,False
2008-06-16,86,False
2008-06-17,84,False
2008-06-18,84,False
2008-06-19,83,False
2008-06-20,79,False
2008-06-21,75,False
2008-06-22,79,False
2008-06-23,85,False
2008-06-24,88,False
2008-06-25,92,False
2008-06-26,79,False
2008-06-27,77,False
2008-06-28,73,False
2008-06-29,82,False
2008-06-30,86,False
2008-07-01,88,False
2008-07-02,84,False
2008-07-03,81,False
2008-07-04,72,False
2008-07-05,75,False
2008-07-06,80,False
2008-07-07,87,False
2008-07-08,92,False
2008-07-09,94,False
2008-07-10,93,False
2008-07-11,85,False
2008-07-12,77,False
2008-07-13,82,False
2008-07-14,94,False
2008-07-15,89,False
2008-07-16,88,False
2008-07-17,88,False
2008-07-18,82,False
2008-07-19,77,False
2008-07-20,75,False
2008-07-21,87,False
2008-07-22,89,False
2008-07-23,92,False
2008-07-24,85,False
2008-07-25,80,False
2008-07-26,80,False
2008-07-27,83,False
2008-07-28,91,False
2008-07-29,87,False
2008-07-30,88,False
2008-07-31,86,False
2008-08-01,81,False
2008-08-02,80,False
2008-08-03,78,False
2008-08-04,87,False
2008-08-05,88,False
2008-08-06,88,False
2008-08-07,93,False
2008-08-08,75,False
