date,EXC,isPartial
2008-01-01,71,False
2008-01-02,44,False
2008-01-03,44,False
2008-01-04,56,False
2008-01-05,63,False
2008-01-06,65,False
2008-01-07,58,False
2008-01-08,57,False
2008-01-09,47,False
2008-01-10,74,False
2008-01-11,49,False
2008-01-12,72,False
2008-01-13,43,False
2008-01-14,56,False
2008-01-15,63,False
2008-01-16,62,False
2008-01-17,71,False
2008-01-18,82,False
2008-01-19,49,False
2008-01-20,58,False
2008-01-21,71,False
2008-01-22,65,False
2008-01-23,55,False
2008-01-24,72,False
2008-01-25,68,False
2008-01-26,59,False
2008-01-27,89,False
2008-01-28,65,False
2008-01-29,69,False
2008-01-30,83,False
2008-01-31,74,False
2008-02-01,74,False
2008-02-02,77,False
2008-02-03,49,False
2008-02-04,44,False
2008-02-05,71,False
2008-02-06,61,False
2008-02-07,66,False
2008-02-08,71,False
2008-02-09,72,False
2008-02-10,54,False
2008-02-11,75,False
2008-02-12,42,False
2008-02-13,48,False
2008-02-14,74,False
2008-02-15,66,False
2008-02-16,79,False
2008-02-17,65,False
2008-02-18,78,False
2008-02-19,73,False
2008-02-20,67,False
2008-02-21,51,False
2008-02-22,58,False
2008-02-23,72,False
2008-02-24,67,False
2008-02-25,80,False
2008-02-26,55,False
2008-02-27,61,False
2008-02-28,61,False
2008-02-29,67,False
2008-03-01,53,False
2008-03-02,65,False
2008-03-03,81,False
2008-03-04,57,False
2008-03-05,52,False
2008-03-06,85,False
2008-03-07,60,False
2008-03-08,47,False
2008-03-09,55,False
2008-03-10,64,False
2008-03-11,56,False
2008-03-12,55,False
2008-03-13,67,False
2008-03-14,77,False
2008-03-15,57,False
2008-03-16,83,False
2008-03-17,100,False
2008-03-18,82,False
2008-03-19,72,False
2008-03-20,87,False
2008-03-21,74,False
2008-03-22,65,False
2008-03-23,80,False
2008-03-24,76,False
2008-03-25,67,False
2008-03-26,54,False
2008-03-27,90,False
2008-03-28,71,False
2008-03-29,54,False
2008-03-30,57,False
2008-03-31,88,False
2008-04-01,64,False
2008-04-02,66,False
2008-04-03,54,False
2008-04-04,89,False
2008-04-05,76,False
2008-04-06,56,False
2008-04-07,86,False
2008-04-08,55,False
2008-04-09,66,False
2008-04-10,51,False
2008-04-11,40,False
2008-04-12,89,False
2008-04-13,86,False
2008-04-14,73,False
2008-04-15,80,False
2008-04-16,63,False
2008-04-17,59,False
2008-04-18,80,False
2008-04-19,66,False
2008-04-20,76,False
2008-04-21,65,False
2008-04-22,49,False
2008-04-23,89,False
2008-04-24,60,False
2008-04-25,64,False
2008-04-26,73,False
2008-04-27,55,False
2008-04-28,85,False
2008-04-29,73,False
2008-04-30,58,False
2008-05-01,81,False
2008-05-02,56,False
2008-05-03,83,False
2008-05-04,92,False
2008-05-05,76,False
2008-05-06,62,False
2008-05-07,58,False
2008-05-08,69,False
2008-05-09,76,False
2008-05-10,85,False
2008-05-11,87,False
2008-05-12,72,False
2008-05-13,95,False
2008-05-14,64,False
2008-05-15,67,False
2008-05-16,46,False
2008-05-17,77,False
2008-05-18,90,False
2008-05-19,73,False
2008-05-20,74,False
