date,FANG,isPartial
2008-01-01,74,False
2008-01-02,73,False
2008-01-03,59,False
2008-01-04,77,False
2008-01-05,52,False
2008-01-06,65,False
2008-01-07,68,False
2008-01-08,67,False
2008-01-09,56,False
2008-01-10,68,False
2008-01-11,69,False
2008-01-12,73,False
2008-01-13,65,False
2008-01-14,70,False
2008-01-15,57,False
2008-01-16,56,False
2008-01-17,52,False
2008-01-18,69,False
2008-01-19,68,False
2008-01-20,81,False
2008-01-21,49,False
2008-01-22,63,False
2008-01-23,58,False
2008-01-24,78,False
2008-01-25,67,False
2008-01-26,60,False
2008-01-27,85,False
2008-01-28,64,False
2008-01-29,53,False
2008-01-30,78,False
2008-01-31,57,False
2008-02-01,52,False
2008-02-02,57,False
2008-02-03,71,False
2008-02-04,81,False
2008-02-05,60,False
2008-02-06,58,False
2008-02-07,62,False
2008-02-08,52,False
2008-02-09,65,False
2008-02-10,87,False
2008-02-11,56,False
2008-02-12,56,False
2008-02-13,58,False
2008-02-14,54,False
2008-02-15,52,False
2008-02-16,53,False
2008-02-17,70,False
2008-02-18,64,False
2008-02-19,72,False
2008-02-20,59,False
2008-02-21,53,False
2008-02-22,72,False
2008-02-23,68,False
2008-02-24,80,False
2008-02-25,58,False
2008-02-26,55,False
2008-02-27,54,False
2008-02-28,70,False
2008-02-29,65,False
2008-03-01,64,False
2008-03-02,65,False
2008-03-03,71,False
2008-03-04,67,False
2008-03-05,60,False
2008-03-06,65,False
2008-03-07,69,False
2008-03-08,73,False
2008-03-09,77,False
2008-03-10,58,False
2008-03-11,67,False
2008-03-12,69,False
2008-03-13,65,False
2008-03-14,70,False
2008-03-15,79,False
2008-03-16,63,False
2008-03-17,64,False
2008-03-18,61,False
2008-03-19,70,False
2008-03-20,70,False
2008-03-21,67,False
2008-03-22,68,False
2008-03-23,61,False
2008-03-24,70,False
2008-03-25,50,False
2008-03-26,54,False
2008-03-27,72,False
2008-03-28,67,False
2008-03-29,100,False
2008-03-30,90,False
2008-03-31,60,False
2008-04-01,63,False
2008-04-02,69,False
2008-04-03,61,False
2008-04-04,74,False
2008-04-05,64,False
2008-04-06,71,False
2008-04-07,61,False
2008-04-08,66,False
2008-04-09,62,False
2008-04-10,67,False
2008-04-11,60,False
2008-04-12,75,False
2008-04-13,76,False
2008-04-14,72,False
2008-04-15,52,False
2008-04-16,57,False
2008-04-17,71,False
2008-04-18,65,False
2008-04-19,59,False
2008-04-20,82,False
2008-04-21,66,False
2008-04-22,56,False
2008-04-23,62,False
2008-04-24,59,False
2008-04-25,69,False
2008-04-26,62,False
2008-04-27,51,False
2008-04-28,52,False
2008-04-29,54,False
2008-04-30,59,False
2008-05-01,63,False
2008-05-02,62,False
2008-05-03,69,False
2008-05-04,78,False
2008-05-05,87,False
2008-05-06,66,False
2008-05-07,70,False
2008-05-08,72,False
2008-05-09,65,False
2008-05-10,79,False
2008-05-11,69,False
2008-05-12,59,False
2008-05-13,65,False
2008-05-14,55,False
2008-05-15,61,False
2008-05-16,74,False
2008-05-17,74,False
2008-05-18,75,False
2008-05-19,56,False
2008-05-20,61,False
2008-05-21,60,False
2008-05-22,73,False
2008-05-23,61,False
2008-05-24,76,False
2008-05-25,72,False
2008-05-26,66,False
2008-05-27,71,False
2008-05-28,67,False
2008-05-29,61,False
2008-05-30,72,False
2008-05-31,62,False
2008-06-01,75,False
2008-06-02,58,False
2008-06-03,71,False
2008-06-04,62,False
2008-06-05,63,False
2008-06-06,66,False
2008-06-07,54,False
2008-06-08,72,False
2008-06-09,70,False
2008-06-10,57,False
2008-06-11,70,False
2008-06-12,53,False
2008-06-13,58,False
2008-06-14,55,False
2008-06-15,74,False
2008-06-16,62,False
2008-06-17,61,False
2008-06-18,62,False
2008-06-19,61,False
