date,FAST,isPartial
2008-01-01,97,False
2008-01-02,95,False
2008-01-03,92,False
2008-01-04,94,False
2008-01-05,93,False
2008-01-06,99,False
2008-01-07,95,False
2008-01-08,100,False
2008-01-09,99,False
2008-01-10,88,False
2008-01-11,91,False
2008-01-12,94,False
2008-01-13,95,False
2008-01-14,93,False
2008-01-15,85,False
2008-01-16,89,False
2008-01-17,84,False
2008-01-18,83,False
2008-01-19,91,False
2008-01-20,92,False
2008-01-21,87,False
2008-01-22,87,False
2008-01-23,87,False
2008-01-24,80,False
2008-01-25,88,False
2008-01-26,97,False
2008-01-27,93,False
2008-01-28,82,False
2008-01-29,85,False
2008-01-30,89,False
2008-01-31,86,False
2008-02-01,87,False
2008-02-02,90,False
2008-02-03,89,False
2008-02-04,84,False
2008-02-05,95,False
2008-02-06,81,False
2008-02-07,94,False
2008-02-08,88,False
2008-02-09,94,False
2008-02-10,94,False
2008-02-11,92,False
2008-02-12,84,False
2008-02-13,79,False
2008-02-14,84,False
2008-02-15,89,False
2008-02-16,87,False
2008-02-17,91,False
2008-02-18,93,False
2008-02-19,87,False
2008-02-20,88,False
2008-02-21,100,False
2008-02-22,87,False
2008-02-23,91,False
2008-02-24,91,False
2008-02-25,83,False
2008-02-26,94,False
2008-02-27,91,False
2008-02-28,88,False
2008-02-29,90,False
2008-03-01,91,False
2008-03-02,91,False
2008-03-03,93,False
2008-03-04,88,False
2008-03-05,84,False
2008-03-06,89,False
2008-03-07,89,False
2008-03-08,89,False
2008-03-09,91,False
2008-03-10,94,False
2008-03-11,87,False
2008-03-12,88,False
2008-03-13,88,False
2008-03-14,80,False
2008-03-15,90,False
2008-03-16,100,False
2008-03-17,94,False
2008-03-18,94,False
2008-03-19,99,False
2008-03-20,87,False
2008-03-21,90,False
2008-03-22,85,False
2008-03-23,94,False
2008-03-24,89,False
2008-03-25,87,False
2008-03-26,95,False
2008-03-27,90,False
2008-03-28,87,False
2008-03-29,86,False
2008-03-30,89,False
2008-03-31,82,False
2008-04-01,88,False
2008-04-02,92,False
2008-04-03,85,False
2008-04-04,82,False
2008-04-05,88,False
2008-04-06,87,False
2008-04-07,90,False
2008-04-08,86,False
2008-04-09,93,False
2008-04-10,90,False
2008-04-11,83,False
2008-04-12,95,False
2008-04-13,92,False
2008-04-14,92,False
2008-04-15,83,False
2008-04-16,96,False
2008-04-17,87,False
2008-04-18,88,False
2008-04-19,89,False
2008-04-20,95,False
2008-04-21,86,False
2008-04-22,86,False
2008-04-23,88,False
2008-04-24,88,False
2008-04-25,89,False
2008-04-26,94,False
2008-04-27,93,False
2008-04-28,91,False
2008-04-29,88,False
2008-04-30,94,False
2008-05-01,95,False
2008-05-02,91,False
2008-05-03,92,False
2008-05-04,93,False
2008-05-05,93,False
2008-05-06,97,False
2008-05-07,97,False
2008-05-08,92,False
2008-05-09,92,False
2008-05-10,96,False
2008-05-11,99,False
2008-05-12,93,False
2008-05-13,92,False
2008-05-14,90,False
2008-05-15,82,False
2008-05-16,90,False
2008-05-17,90,False
2008-05-18,92,False
2008-05-19,92,False
2008-05-20,88,False
2008-05-21,87,False
2008-05-22,87,False
2008-05-23,89,False
2008-05-24,95,False
2008-05-25,91,False
2008-05-26,85,False
2008-05-27,85,False
2008-05-28,94,False
2008-05-29,89,False
2008-05-30,83,False
2008-05-31,93,False
2008-06-01,98,False
2008-06-02,85,False
2008-06-03,88,False
2008-06-04,88,False
2008-06-05,85,False
2008-06-06,90,False
2008-06-07,94,False
2008-06-08,93,False
2008-06-09,86,False
2008-06-10,85,False
2008-06-11,90,False
2008-06-12,85,False
2008-06-13,83,False
2008-06-14,86,False
2008-06-15,95,False
2008-06-16,85,False
2008-06-17,90,False
2008-06-18,80,False
2008-06-19,87,False
2008-06-20,87,False
2008-06-21,93,False
2008-06-22,95,False
2008-06-23,84,False
2008-06-24,75,False
2008-06-25,90,False
2008-06-26,88,False
2008-06-27,88,False
2008-06-28,96,False
2008-06-29,95,False
2008-06-30,90,False
2008-07-01,80,False
2008-07-02,76,False
2008-07-03,75,False
2008-07-04,71,False
2008-07-05,78,False
2008-07-06,79,False
2008-07-07,80,False
2008-07-08,75,False
2008-07-09,82,False
2008-07-10,78,False
2008-07-11,77,False
2008-07-12,85,False
2008-07-13,86,False
2008-07-14,77,False
2008-07-15,83,False
2008-07-16,79,False
2008-07-17,77,False
2008-07-18,74,False
2008-07-19,81,False
2008-07-20,87,False
2008-07-21,78,False
2008-07-22,81,False
2008-07-23,81,False
2008-07-24,81,False
2008-07-25,82,False
2008-07-26,84,False
2008-07-27,86,False
2008-07-28,80,False
2008-07-29,80,False
2008-07-30,76,False
2008-07-31,80,False
2008-08-01,72,False
2008-08-02,85,False
2008-08-03,84,False
2008-08-04,80,False
2008-08-05,80,False
2008-08-06,79,False
2008-08-07,80,False
2008-08-08,72,False
2008-08-09,83,False
2008-08-10,92,False
2008-08-11,78,False
2008-08-12,80,False
2008-08-13,78,False
2008-08-14,80,False
2008-08-15,83,False
2008-08-16,83,False
2008-08-17,84,False
2008-08-18,82,False
2008-08-19,78,False
2008-08-20,74,False
2008-08-21,78,False
2008-08-22,79,False
2008-08-23,82,False
2008-08-24,86,False
2008-08-25,78,False
2008-08-26,86,False
2008-08-27,84,False
2008-08-28,84,False
2008-08-29,84,False
2008-08-30,89,False
2008-08-31,100,False
2008-09-01,83,False
2008-09-02,79,False
2008-09-03,78,False
2008-09-04,78,False
2008-09-05,80,False
2008-09-06,85,False
2008-09-07,86,False
2008-09-08,78,False
2008-09-09,93,False
2008-09-10,77,False
2008-09-11,78,False
2008-09-12,81,False
2008-09-13,88,False
2008-09-14,90,False
2008-09-15,79,False
2008-09-16,83,False
2008-09-17,77,False
2008-09-18,79,False
2008-09-19,79,False
2008-09-20,86,False
2008-09-21,87,False
2008-09-22,76,False
2008-09-23,80,False
2008-09-24,78,False
2008-09-25,79,False
2008-09-26,79,False
2008-09-27,81,False
2008-09-28,88,False
2008-09-29,75,False
2008-09-30,78,False
2008-10-01,85,False
2008-10-02,83,False
2008-10-03,80,False
2008-10-04,91,False
2008-10-05,84,False
2008-10-06,80,False
2008-10-07,78,False
2008-10-08,81,False
2008-10-09,80,False
2008-10-10,76,False
2008-10-11,83,False
2008-10-12,79,False
2008-10-13,73,False
2008-10-14,75,False
2008-10-15,77,False
2008-10-16,70,False
2008-10-17,75,False
2008-10-18,81,False
2008-10-19,86,False
2008-10-20,74,False
2008-10-21,76,False
2008-10-22,75,False
2008-10-23,74,False
2008-10-24,78,False
2008-10-25,84,False
2008-10-26,77,False
2008-10-27,76,False
2008-10-28,81,False
2008-10-29,79,False
2008-10-30,75,False
2008-10-31,73,False
2008-11-01,77,False
2008-11-02,81,False
2008-11-03,82,False
2008-11-04,71,False
2008-11-05,68,False
2008-11-06,80,False
2008-11-07,75,False
2008-11-08,91,False
2008-11-09,87,False
2008-11-10,82,False
2008-11-11,79,False
2008-11-12,78,False
2008-11-13,72,False
2008-11-14,87,False
2008-11-15,84,False
2008-11-16,82,False
2008-11-17,77,False
2008-11-18,76,False
2008-11-19,72,False
2008-11-20,78,False
2008-11-21,74,False
2008-11-22,80,False
2008-11-23,77,False
2008-11-24,74,False
2008-11-25,74,False
2008-11-26,78,False
2008-11-27,73,False
2008-11-28,72,False
2008-11-29,86,False
2008-11-30,79,False
2008-12-01,77,False
2008-12-02,77,False
2008-12-03,75,False
2008-12-04,79,False
2008-12-05,72,False
2008-12-06,82,False
2008-12-07,75,False
2008-12-08,77,False
2008-12-09,76,False
2008-12-10,76,False
2008-12-11,79,False
2008-12-12,69,False
2008-12-13,80,False
2008-12-14,79,False
2008-12-15,72,False
2008-12-16,75,False
2008-12-17,78,False
2008-12-18,74,False
2008-12-19,74,False
2008-12-20,80,False
2008-12-21,77,False
2008-12-22,79,False
2008-12-23,76,False
2008-12-24,79,False
2008-12-25,79,False
2008-12-26,77,False
2008-12-27,82,False
2008-12-28,89,False
2008-12-29,78,False
2008-12-30,79,False
2008-12-31,86,False
2009-01-01,34,False
2009-01-02,33,False
2009-01-03,34,False
2009-01-04,32,False
2009-01-05,31,False
2009-01-06,32,False
2009-01-07,30,False
2009-01-08,31,False
2009-01-09,29,False
2009-01-10,33,False
2009-01-11,34,False
2009-01-12,33,False
2009-01-13,30,False
2009-01-14,30,False
2009-01-15,33,False
2009-01-16,33,False
2009-01-17,31,False
2009-01-18,33,False
2009-01-19,30,False
2009-01-20,30,False
2009-01-21,30,False
2009-01-22,28,False
2009-01-23,29,False
2009-01-24,30,False
2009-01-25,32,False
2009-01-26,29,False
2009-01-27,29,False
2009-01-28,30,False
2009-01-29,28,False
2009-01-30,31,False
2009-01-31,31,False
2009-02-01,33,False
2009-02-02,33,False
2009-02-03,32,False
2009-02-04,28,False
2009-02-05,32,False
2009-02-06,27,False
2009-02-07,32,False
2009-02-08,31,False
2009-02-09,31,False
2009-02-10,30,False
2009-02-11,29,False
2009-02-12,29,False
2009-02-13,28,False
2009-02-14,31,False
2009-02-15,35,False
2009-02-16,30,False
2009-02-17,29,False
2009-02-18,31,False
2009-02-19,29,False
2009-02-20,31,False
2009-02-21,32,False
2009-02-22,31,False
2009-02-23,33,False
2009-02-24,31,False
2009-02-25,34,False
2009-02-26,32,False
2009-02-27,31,False
2009-02-28,32,False
2009-03-01,32,False
2009-03-02,31,False
2009-03-03,30,False
2009-03-04,32,False
2009-03-05,30,False
2009-03-06,30,False
2009-03-07,32,False
2009-03-08,34,False
2009-03-09,35,False
2009-03-10,33,False
2009-03-11,34,False
2009-03-12,33,False
2009-03-13,33,False
2009-03-14,36,False
2009-03-15,36,False
2009-03-16,35,False
2009-03-17,35,False
2009-03-18,35,False
2009-03-19,36,False
2009-03-20,37,False
2009-03-21,38,False
2009-03-22,44,False
2009-03-23,41,False
2009-03-24,42,False
2009-03-25,39,False
2009-03-26,39,False
2009-03-27,41,False
2009-03-28,49,False
2009-03-29,47,False
2009-03-30,45,False
2009-03-31,57,False
2009-04-01,54,False
2009-04-02,59,False
2009-04-03,80,False
2009-04-04,100,False
2009-04-05,99,False
2009-04-06,78,False
2009-04-07,69,False
2009-04-08,68,False
2009-04-09,71,False
2009-04-10,73,False
2009-04-11,82,False
2009-04-12,78,False
2009-04-13,65,False
2009-04-14,58,False
2009-04-15,53,False
2009-04-16,52,False
2009-04-17,52,False
2009-04-18,60,False
2009-04-19,57,False
2009-04-20,48,False
2009-04-21,46,False
2009-04-22,46,False
2009-04-23,46,False
2009-04-24,42,False
2009-04-25,44,False
2009-04-26,46,False
2009-04-27,42,False
2009-04-28,41,False
2009-04-29,41,False
2009-04-30,40,False
2009-05-01,45,False
2009-05-02,44,False
2009-05-03,40,False
2009-05-04,41,False
2009-05-05,40,False
2009-05-06,38,False
2009-05-07,37,False
2009-05-08,35,False
2009-05-09,34,False
2009-05-10,37,False
2009-05-11,36,False
2009-05-12,37,False
2009-05-13,36,False
2009-05-14,35,False
2009-05-15,33,False
2009-05-16,37,False
2009-05-17,38,False
2009-05-18,34,False
2009-05-19,34,False
2009-05-20,34,False
2009-05-21,37,False
2009-05-22,35,False
2009-05-23,33,False
2009-05-24,34,False
2009-05-25,31,False
2009-05-26,35,False
2009-05-27,35,False
2009-05-28,33,False
2009-05-29,33,False
2009-05-30,33,False
2009-05-31,33,False
2009-06-01,35,False
2009-06-02,33,False
2009-06-03,31,False
2009-06-04,31,False
2009-06-05,32,False
2009-06-06,35,False
2009-06-07,35,False
2009-06-08,32,False
2009-06-09,33,False
2009-06-10,32,False
2009-06-11,31,False
2009-06-12,32,False
2009-06-13,34,False
2009-06-14,34,False
2009-06-15,32,False
2009-06-16,31,False
2009-06-17,31,False
2009-06-18,29,False
2009-06-19,29,False
2009-06-20,34,False
2009-06-21,33,False
2009-06-22,32,False
2009-06-23,33,False
2009-06-24,30,False
2009-06-25,29,False
2009-06-26,28,False
2009-06-27,31,False
2009-06-28,33,False
2009-06-29,31,False
2009-06-30,29,False
2009-07-01,68,False
2009-07-02,62,False
2009-07-03,65,False
2009-07-04,72,False
2009-07-05,73,False
2009-07-06,71,False
2009-07-07,64,False
2009-07-08,68,False
2009-07-09,73,False
2009-07-10,67,False
2009-07-11,76,False
2009-07-12,80,False
2009-07-13,75,False
2009-07-14,73,False
2009-07-15,70,False
2009-07-16,70,False
2009-07-17,68,False
2009-07-18,72,False
2009-07-19,79,False
2009-07-20,78,False
2009-07-21,76,False
2009-07-22,78,False
2009-07-23,74,False
2009-07-24,79,False
2009-07-25,73,False
2009-07-26,89,False
2009-07-27,83,False
2009-07-28,83,False
2009-07-29,87,False
2009-07-30,85,False
2009-07-31,76,False
2009-08-01,82,False
2009-08-02,82,False
2009-08-03,82,False
2009-08-04,81,False
2009-08-05,74,False
2009-08-06,71,False
2009-08-07,70,False
2009-08-08,82,False
2009-08-09,78,False
2009-08-10,73,False
2009-08-11,75,False
2009-08-12,76,False
2009-08-13,75,False
2009-08-14,73,False
2009-08-15,77,False
2009-08-16,75,False
2009-08-17,77,False
2009-08-18,73,False
2009-08-19,75,False
2009-08-20,71,False
2009-08-21,74,False
2009-08-22,79,False
2009-08-23,73,False
2009-08-24,68,False
2009-08-25,69,False
2009-08-26,70,False
2009-08-27,68,False
2009-08-28,65,False
2009-08-29,74,False
2009-08-30,74,False
2009-08-31,70,False
2009-09-01,71,False
2009-09-02,70,False
2009-09-03,70,False
2009-09-04,72,False
2009-09-05,72,False
2009-09-06,73,False
2009-09-07,69,False
2009-09-08,73,False
2009-09-09,67,False
2009-09-10,65,False
2009-09-11,72,False
2009-09-12,75,False
2009-09-13,71,False
2009-09-14,68,False
2009-09-15,100,False
2009-09-16,80,False
2009-09-17,77,False
2009-09-18,74,False
2009-09-19,74,False
2009-09-20,76,False
2009-09-21,82,False
2009-09-22,79,False
2009-09-23,74,False
2009-09-24,73,False
2009-09-25,69,False
2009-09-26,73,False
2009-09-27,82,False
2009-09-28,80,False
2009-09-29,75,False
2009-09-30,68,False
2009-10-01,73,False
2009-10-02,68,False
2009-10-03,74,False
2009-10-04,74,False
2009-10-05,71,False
2009-10-06,71,False
2009-10-07,79,False
2009-10-08,72,False
2009-10-09,70,False
2009-10-10,72,False
2009-10-11,73,False
2009-10-12,69,False
2009-10-13,67,False
2009-10-14,78,False
2009-10-15,63,False
2009-10-16,65,False
2009-10-17,70,False
2009-10-18,71,False
2009-10-19,70,False
2009-10-20,72,False
2009-10-21,68,False
2009-10-22,71,False
2009-10-23,64,False
2009-10-24,65,False
2009-10-25,68,False
2009-10-26,69,False
2009-10-27,73,False
2009-10-28,69,False
2009-10-29,69,False
2009-10-30,61,False
2009-10-31,65,False
2009-11-01,66,False
2009-11-02,70,False
2009-11-03,77,False
2009-11-04,70,False
2009-11-05,69,False
2009-11-06,65,False
2009-11-07,66,False
2009-11-08,71,False
2009-11-09,72,False
2009-11-10,72,False
2009-11-11,69,False
2009-11-12,70,False
2009-11-13,68,False
2009-11-14,68,False
2009-11-15,69,False
2009-11-16,78,False
2009-11-17,71,False
2009-11-18,68,False
2009-11-19,74,False
2009-11-20,67,False
2009-11-21,65,False
2009-11-22,69,False
2009-11-23,72,False
2009-11-24,66,False
2009-11-25,69,False
2009-11-26,63,False
2009-11-27,61,False
2009-11-28,64,False
2009-11-29,67,False
2009-11-30,68,False
2009-12-01,71,False
2009-12-02,68,False
2009-12-03,66,False
2009-12-04,68,False
2009-12-05,72,False
2009-12-06,73,False
2009-12-07,72,False
2009-12-08,78,False
2009-12-09,74,False
2009-12-10,65,False
2009-12-11,60,False
2009-12-12,64,False
2009-12-13,63,False
2009-12-14,70,False
2009-12-15,69,False
2009-12-16,68,False
2009-12-17,64,False
2009-12-18,59,False
2009-12-19,65,False
2009-12-20,68,False
2009-12-21,66,False
2009-12-22,63,False
2009-12-23,61,False
2009-12-24,62,False
2009-12-25,64,False
2009-12-26,69,False
2009-12-27,69,False
2009-12-28,68,False
2009-12-29,71,False
2009-12-30,70,False
2009-12-31,65,False
2010-01-01,86,False
2010-01-02,85,False
2010-01-03,87,False
2010-01-04,88,False
2010-01-05,86,False
2010-01-06,92,False
2010-01-07,87,False
2010-01-08,85,False
2010-01-09,85,False
2010-01-10,100,False
2010-01-11,89,False
2010-01-12,86,False
2010-01-13,83,False
2010-01-14,86,False
2010-01-15,86,False
2010-01-16,81,False
2010-01-17,82,False
2010-01-18,86,False
2010-01-19,86,False
2010-01-20,87,False
2010-01-21,83,False
2010-01-22,82,False
2010-01-23,81,False
2010-01-24,83,False
2010-01-25,85,False
2010-01-26,86,False
2010-01-27,83,False
2010-01-28,91,False
2010-01-29,84,False
2010-01-30,75,False
2010-01-31,90,False
2010-02-01,87,False
2010-02-02,86,False
2010-02-03,81,False
2010-02-04,86,False
2010-02-05,88,False
2010-02-06,80,False
2010-02-07,92,False
2010-02-08,81,False
2010-02-09,83,False
2010-02-10,85,False
2010-02-11,86,False
2010-02-12,89,False
2010-02-13,80,False
2010-02-14,78,False
2010-02-15,88,False
2010-02-16,83,False
2010-02-17,95,False
2010-02-18,88,False
2010-02-19,87,False
2010-02-20,82,False
2010-02-21,87,False
2010-02-22,87,False
2010-02-23,92,False
2010-02-24,85,False
2010-02-25,88,False
2010-02-26,84,False
2010-02-27,81,False
2010-02-28,91,False
2010-03-01,87,False
2010-03-02,94,False
2010-03-03,91,False
2010-03-04,87,False
2010-03-05,81,False
2010-03-06,79,False
2010-03-07,86,False
2010-03-08,95,False
2010-03-09,90,False
2010-03-10,89,False
2010-03-11,90,False
2010-03-12,82,False
2010-03-13,82,False
2010-03-14,90,False
2010-03-15,88,False
2010-03-16,90,False
2010-03-17,85,False
2010-03-18,89,False
2010-03-19,87,False
2010-03-20,76,False
2010-03-21,92,False
2010-03-22,89,False
2010-03-23,87,False
2010-03-24,87,False
2010-03-25,86,False
2010-03-26,87,False
2010-03-27,92,False
2010-03-28,89,False
2010-03-29,97,False
2010-03-30,89,False
2010-03-31,94,False
2010-04-01,85,False
2010-04-02,86,False
2010-04-03,86,False
2010-04-04,83,False
2010-04-05,89,False
2010-04-06,91,False
2010-04-07,89,False
2010-04-08,91,False
2010-04-09,84,False
2010-04-10,84,False
2010-04-11,84,False
2010-04-12,89,False
2010-04-13,90,False
2010-04-14,90,False
2010-04-15,90,False
2010-04-16,83,False
2010-04-17,83,False
2010-04-18,88,False
2010-04-19,90,False
2010-04-20,87,False
2010-04-21,88,False
2010-04-22,83,False
2010-04-23,90,False
2010-04-24,94,False
2010-04-25,87,False
2010-04-26,91,False
2010-04-27,90,False
2010-04-28,90,False
2010-04-29,88,False
2010-04-30,83,False
2010-05-01,90,False
2010-05-02,86,False
2010-05-03,89,False
2010-05-04,92,False
2010-05-05,91,False
2010-05-06,85,False
2010-05-07,85,False
2010-05-08,80,False
2010-05-09,79,False
2010-05-10,83,False
2010-05-11,91,False
2010-05-12,96,False
2010-05-13,89,False
2010-05-14,86,False
2010-05-15,80,False
2010-05-16,87,False
2010-05-17,87,False
2010-05-18,92,False
2010-05-19,91,False
2010-05-20,85,False
2010-05-21,80,False
2010-05-22,75,False
2010-05-23,85,False
2010-05-24,91,False
2010-05-25,88,False
2010-05-26,89,False
2010-05-27,89,False
2010-05-28,85,False
2010-05-29,78,False
2010-05-30,81,False
2010-05-31,85,False
2010-06-01,92,False
2010-06-02,89,False
2010-06-03,85,False
2010-06-04,85,False
2010-06-05,89,False
2010-06-06,90,False
2010-06-07,86,False
2010-06-08,86,False
2010-06-09,84,False
2010-06-10,85,False
2010-06-11,77,False
2010-06-12,78,False
2010-06-13,83,False
2010-06-14,87,False
2010-06-15,86,False
2010-06-16,85,False
