date,HON,isPartial
2008-01-01,57,False
2008-01-02,64,False
2008-01-03,61,False
2008-01-04,52,False
2008-01-05,59,False
2008-01-06,63,False
2008-01-07,63,False
2008-01-08,53,False
2008-01-09,61,False
2008-01-10,49,False
2008-01-11,56,False
2008-01-12,58,False
2008-01-13,45,False
2008-01-14,59,False
2008-01-15,65,False
2008-01-16,57,False
2008-01-17,54,False
2008-01-18,69,False
2008-01-19,48,False
2008-01-20,62,False
2008-01-21,50,False
2008-01-22,65,False
2008-01-23,62,False
2008-01-24,56,False
2008-01-25,63,False
2008-01-26,67,False
2008-01-27,56,False
2008-01-28,61,False
2008-01-29,69,False
2008-01-30,64,False
2008-01-31,72,False
2008-02-01,58,False
2008-02-02,60,False
2008-02-03,51,False
2008-02-04,57,False
2008-02-05,60,False
2008-02-06,61,False
2008-02-07,47,False
2008-02-08,57,False
2008-02-09,51,False
2008-02-10,59,False
2008-02-11,56,False
2008-02-12,58,False
2008-02-13,64,False
2008-02-14,55,False
2008-02-15,66,False
2008-02-16,62,False
2008-02-17,63,False
2008-02-18,66,False
2008-02-19,63,False
2008-02-20,67,False
2008-02-21,60,False
2008-02-22,60,False
2008-02-23,60,False
2008-02-24,50,False
2008-02-25,63,False
2008-02-26,62,False
2008-02-27,69,False
2008-02-28,72,False
2008-02-29,66,False
2008-03-01,81,False
2008-03-02,84,False
2008-03-03,59,False
2008-03-04,60,False
2008-03-05,66,False
2008-03-06,59,False
2008-03-07,63,False
2008-03-08,77,False
2008-03-09,69,False
2008-03-10,71,False
2008-03-11,59,False
2008-03-12,63,False
2008-03-13,58,False
2008-03-14,54,False
2008-03-15,56,False
2008-03-16,64,False
2008-03-17,67,False
2008-03-18,72,False
2008-03-19,76,False
2008-03-20,69,False
2008-03-21,71,False
2008-03-22,60,False
2008-03-23,75,False
2008-03-24,68,False
2008-03-25,69,False
2008-03-26,63,False
2008-03-27,60,False
2008-03-28,61,False
2008-03-29,74,False
2008-03-30,75,False
2008-03-31,63,False
2008-04-01,61,False
2008-04-02,61,False
2008-04-03,75,False
2008-04-04,77,False
2008-04-05,69,False
2008-04-06,64,False
2008-04-07,77,False
2008-04-08,60,False
2008-04-09,69,False
2008-04-10,64,False
2008-04-11,71,False
2008-04-12,100,False
2008-04-13,78,False
2008-04-14,61,False
2008-04-15,69,False
2008-04-16,74,False
2008-04-17,58,False
2008-04-18,78,False
2008-04-19,61,False
2008-04-20,67,False
