date,MSFT,isPartial
2008-01-01,0,False
2008-01-02,24,False
2008-01-03,17,False
2008-01-04,27,False
2008-01-05,14,False
2008-01-06,14,False
2008-01-07,22,False
2008-01-08,22,False
2008-01-09,19,False
2008-01-10,21,False
2008-01-11,21,False
2008-01-12,9,False
2008-01-13,0,False
2008-01-14,22,False
2008-01-15,23,False
2008-01-16,19,False
2008-01-17,23,False
2008-01-18,29,False
2008-01-19,12,False
2008-01-20,11,False
2008-01-21,15,False
2008-01-22,34,False
2008-01-23,31,False
2008-01-24,69,False
2008-01-25,73,False
2008-01-26,18,False
2008-01-27,10,False
2008-01-28,27,False
2008-01-29,23,False
2008-01-30,24,False
2008-01-31,25,False
2008-02-01,100,False
2008-02-02,46,False
2008-02-03,23,False
2008-02-04,43,False
2008-02-05,43,False
2008-02-06,34,False
2008-02-07,30,False
2008-02-08,29,False
2008-02-09,18,False
2008-02-10,14,False
2008-02-11,36,False
2008-02-12,36,False
2008-02-13,30,False
2008-02-14,29,False
2008-02-15,20,False
2008-02-16,9,False
2008-02-17,9,False
2008-02-18,15,False
2008-02-19,26,False
2008-02-20,22,False
2008-02-21,29,False
2008-02-22,28,False
2008-02-23,13,False
2008-02-24,11,False
2008-02-25,21,False
2008-02-26,25,False
2008-02-27,39,False
2008-02-28,27,False
2008-02-29,30,False
2008-03-01,12,False
2008-03-02,0,False
2008-03-03,23,False
2008-03-04,22,False
2008-03-05,21,False
2008-03-06,26,False
2008-03-07,21,False
2008-03-08,12,False
2008-03-09,6,False
2008-03-10,24,False
2008-03-11,26,False
2008-03-12,28,False
2008-03-13,19,False
2008-03-14,23,False
2008-03-15,0,False
2008-03-16,0,False
2008-03-17,32,False
2008-03-18,26,False
2008-03-19,21,False
2008-03-20,21,False
2008-03-21,20,False
2008-03-22,8,False
2008-03-23,0,False
2008-03-24,21,False
2008-03-25,18,False
2008-03-26,18,False
2008-03-27,19,False
2008-03-28,18,False
2008-03-29,10,False
2008-03-30,9,False
2008-03-31,24,False
2008-04-01,24,False
2008-04-02,23,False
2008-04-03,15,False
2008-04-04,20,False
2008-04-05,11,False
2008-04-06,7,False
2008-04-07,19,False
2008-04-08,18,False
2008-04-09,22,False
2008-04-10,22,False
2008-04-11,15,False
2008-04-12,8,False
2008-04-13,0,False
2008-04-14,24,False
2008-04-15,16,False
2008-04-16,19,False
2008-04-17,24,False
2008-04-18,33,False
2008-04-19,10,False
2008-04-20,10,False
2008-04-21,26,False
2008-04-22,25,False
2008-04-23,35,False
2008-04-24,61,False
2008-04-25,55,False
2008-04-26,17,False
2008-04-27,13,False
2008-04-28,34,False
2008-04-29,28,False
2008-04-30,29,False
2008-05-01,32,False
2008-05-02,35,False
2008-05-03,19,False
2008-05-04,43,False
2008-05-05,73,False
2008-05-06,40,False
2008-05-07,36,False
2008-05-08,28,False
2008-05-09,25,False
2008-05-10,13,False
2008-05-11,9,False
2008-05-12,16,False
2008-05-13,25,False
2008-05-14,17,False
2008-05-15,22,False
2008-05-16,20,False
2008-05-17,7,False
2008-05-18,9,False
2008-05-19,24,False
2008-05-20,25,False
2008-05-21,26,False
2008-05-22,16,False
2008-05-23,18,False
2008-05-24,8,False
2008-05-25,7,False
2008-05-26,9,False
2008-05-27,20,False
2008-05-28,18,False
2008-05-29,17,False
2008-05-30,18,False
2008-05-31,0,False
2008-06-01,11,False
2008-06-02,21,False
2008-06-03,19,False
2008-06-04,16,False
2008-06-05,20,False
2008-06-06,24,False
2008-06-07,9,False
2008-06-08,0,False
2008-06-09,15,False
2008-06-10,13,False
2008-06-11,12,False
2008-06-12,29,False
2008-06-13,22,False
2008-06-14,14,False
2008-06-15,0,False
2008-06-16,19,False
2008-06-17,16,False
2008-06-18,18,False
2008-06-19,12,False
2008-06-20,15,False
2008-06-21,10,False
2008-06-22,0,False
2008-06-23,16,False
2008-06-24,18,False
2008-06-25,16,False
2008-06-26,18,False
2008-06-27,21,False
2008-06-28,10,False
2008-06-29,0,False
2008-06-30,18,False
2008-07-01,38,False
2008-07-02,56,False
2008-07-03,34,False
2008-07-04,17,False
2008-07-05,18,False
2008-07-06,20,False
2008-07-07,38,False
2008-07-08,29,False
2008-07-09,36,False
2008-07-10,36,False
2008-07-11,37,False
2008-07-12,17,False
2008-07-13,0,False
2008-07-14,54,False
2008-07-15,67,False
2008-07-16,42,False
2008-07-17,85,False
2008-07-18,94,False
2008-07-19,38,False
2008-07-20,26,False
2008-07-21,39,False
2008-07-22,45,False
2008-07-23,51,False
2008-07-24,52,False
2008-07-25,32,False
2008-07-26,14,False
2008-07-27,0,False
2008-07-28,22,False
2008-07-29,39,False
2008-07-30,34,False
2008-07-31,23,False
2008-08-01,25,False
2008-08-02,14,False
2008-08-03,16,False
2008-08-04,20,False
2008-08-05,36,False
2008-08-06,42,False
2008-08-07,39,False
2008-08-08,51,False
2008-08-09,0,False
2008-08-10,14,False
2008-08-11,25,False
2008-08-12,46,False
2008-08-13,36,False
2008-08-14,40,False
2008-08-15,32,False
2008-08-16,0,False
2008-08-17,0,False
2008-08-18,30,False
2008-08-19,29,False
2008-08-20,31,False
2008-08-21,33,False
2008-08-22,25,False
2008-08-23,28,False
2008-08-24,15,False
2008-08-25,24,False
2008-08-26,21,False
2008-08-27,30,False
2008-08-28,25,False
2008-08-29,28,False
2008-08-30,0,False
2008-08-31,0,False
2008-09-01,0,False
2008-09-02,31,False
2008-09-03,31,False
2008-09-04,34,False
2008-09-05,48,False
2008-09-06,0,False
2008-09-07,0,False
2008-09-08,38,False
2008-09-09,38,False
2008-09-10,34,False
2008-09-11,36,False
2008-09-12,36,False
2008-09-13,17,False
2008-09-14,13,False
2008-09-15,53,False
2008-09-16,46,False
2008-09-17,44,False
2008-09-18,55,False
2008-09-19,49,False
2008-09-20,36,False
2008-09-21,15,False
2008-09-22,75,False
2008-09-23,50,False
2008-09-24,38,False
2008-09-25,50,False
2008-09-26,60,False
2008-09-27,15,False
2008-09-28,11,False
2008-09-29,81,False
2008-09-30,84,False
2008-10-01,55,False
2008-10-02,54,False
2008-10-03,45,False
2008-10-04,19,False
2008-10-05,11,False
2008-10-06,74,False
2008-10-07,67,False
2008-10-08,65,False
2008-10-09,92,False
2008-10-10,100,False
2008-10-11,39,False
2008-10-12,22,False
2008-10-13,84,False
2008-10-14,79,False
2008-10-15,64,False
2008-10-16,54,False
2008-10-17,51,False
2008-10-18,18,False
2008-10-19,11,False
2008-10-20,45,False
2008-10-21,48,False
2008-10-22,52,False
2008-10-23,76,False
2008-10-24,80,False
2008-10-25,27,False
2008-10-26,13,False
2008-10-27,58,False
2008-10-28,54,False
2008-10-29,57,False
2008-10-30,54,False
2008-10-31,39,False
2008-11-01,20,False
2008-11-02,12,False
2008-11-03,33,False
2008-11-04,45,False
2008-11-05,42,False
2008-11-06,44,False
2008-11-07,40,False
2008-11-08,11,False
2008-11-09,0,False
2008-11-10,36,False
2008-11-11,36,False
2008-11-12,38,False
2008-11-13,76,False
2008-11-14,37,False
2008-11-15,13,False
2008-11-16,14,False
2008-11-17,34,False
2008-11-18,43,False
2008-11-19,53,False
2008-11-20,52,False
2008-11-21,66,False
2008-11-22,22,False
2008-11-23,18,False
2008-11-24,50,False
2008-11-25,48,False
2008-11-26,44,False
2008-11-27,14,False
2008-11-28,30,False
2008-11-29,13,False
2008-11-30,0,False
2008-12-01,41,False
2008-12-02,40,False
2008-12-03,34,False
2008-12-04,35,False
2008-12-05,34,False
2008-12-06,20,False
