Symbol,Date,Open,High,Low,Close,Volume,Trends,Sentiment
ADP,2008-01-02,26.0543734283436,26.148050949334085,25.25225075112251,25.3049430847168,3027576,82.0,neutral
ADP,2008-01-03,25.433742563701912,25.433742563701912,24.93022099169612,25.117578506469727,3036005,96.0,positive
ADP,2008-01-04,24.859969286705823,24.88924478340653,23.87048904290017,24.005151748657227,4917519,84.0,positive
ADP,2008-01-07,24.11052846136651,24.701873841054294,23.981719398261077,24.52622604370117,3653001,78.0,positive
ADP,2008-01-08,24.69602999811311,24.754578438982843,24.227634839379352,24.303749084472656,3741615,77.0,positive
ADP,2008-01-09,24.268610440103565,24.51451633861228,24.092962642904684,24.344724655151367,2966184,83.0,positive
ADP,2008-01-10,24.11639281134404,24.66675581654251,24.081263744955397,24.491107940673828,3519396,87.0,positive
ADP,2008-01-11,24.315457847537026,24.338877222993897,23.88805042956124,24.05198860168457,3340915,96.0,positive
ADP,2008-01-14,24.198360865690415,24.198360865690415,23.4489306786079,23.536754608154297,3879890,84.0,positive
ADP,2008-01-15,23.366957632483345,23.747526212683187,23.366957632483345,23.478200912475582,2909120,93.0,positive
ADP,2008-01-16,23.41965681184032,23.630433725690803,23.2264431568544,23.331832885742188,4017253,80.0,positive
ADP,2008-01-17,23.33768807527961,23.49577013564528,22.986392346533435,23.033233642578125,3682615,80.0,negative
ADP,2008-01-18,23.144481182021803,23.48406474089439,22.910284834684443,23.156190872192383,4256671,86.0,negative
ADP,2008-01-22,22.25452829208376,23.08592623598568,22.25452829208376,22.869293212890625,6510410,88.0,negative
ADP,2008-01-23,22.24867484174593,23.121058066175276,22.102302466299147,23.11520195007324,6180100,87.0,negative
ADP,2008-01-24,23.1210554101839,23.1210554101839,22.47701499706081,22.69364547729492,3936156,93.0,positive
ADP,2008-01-25,22.88099908283056,22.96882299171318,22.58825441583823,22.687788009643555,3458118,90.0,positive
ADP,2008-01-28,22.76390895334672,23.144480228017997,22.62339267709176,23.13277053833008,3505386,73.0,positive
ADP,2008-01-29,23.232298507824883,23.267427568322976,23.015665485532445,23.13861846923828,2370715,77.0,positive
ADP,2008-01-30,23.179593504391093,23.419645795329657,22.992236053108986,23.097625732421875,2542476,93.0,positive
ADP,2008-01-31,22.945403384630083,23.94073931239236,22.71706071511124,23.75923538208008,5395329,97.0,positive
ADP,2008-02-01,23.823649708584657,23.823649708584657,22.869298557487756,23.40209579467773,5503192,90.0,positive
ADP,2008-02-04,23.331828168401096,23.419652076742565,23.18545583580684,23.267423629760746,2350554,80.0,positive
ADP,2008-02-05,22.904420031676445,23.009809747170856,22.57069017248544,22.617528915405277,4470006,80.0,positive
ADP,2008-02-06,22.77561267668079,22.77561267668079,22.160845294038083,22.195974349975582,3683640,72.0,positive
ADP,2008-02-07,22.10815336180928,22.49457552768344,22.09644113237093,22.359912872314453,4377633,72.0,positive
ADP,2008-02-08,22.283794348372894,22.30136014521914,22.10814909953163,22.19011688232422,2693621,82.0,positive
ADP,2008-02-11,22.1374290185058,22.62338738672944,22.1374290185058,22.51214408874512,2638152,100.0,negative
ADP,2008-02-12,22.605819061621347,23.16203548947139,22.605819061621347,23.015663146972656,3714393,78.0,negative
ADP,2008-02-13,23.144475816719208,23.384525681531144,23.0683615762922,23.32012367248535,3457207,85.0,negative
ADP,2008-02-14,23.29669054736376,23.30840022790852,23.09176732194498,23.20301055908203,3598329,88.0,negative
ADP,2008-02-15,23.1971655206574,23.35524753810221,23.07421255776426,23.267423629760746,3754714,86.0,negative
ADP,2008-02-19,23.40209160618585,23.43136709694059,23.09178107110117,23.14447593688965,2923585,69.0,negative
ADP,2008-02-20,22.992244904144872,23.671414336541428,22.90442098555029,23.554317474365234,3911212,66.0,negative
ADP,2008-02-21,23.589449536785747,23.81779226299271,23.41965779304736,23.448930740356445,2203509,68.0,negative
ADP,2008-02-22,23.560174278899837,23.86463125019124,23.39623610542948,23.835355758666992,3722138,74.0,negative
ADP,2008-02-25,23.888034815832164,24.00513161657957,23.70067739071276,23.97585868835449,3653343,75.0,negative
ADP,2008-02-26,23.431371932099584,24.145670649802305,23.431371932099584,23.8704891204834,4676734,79.0,negative
ADP,2008-02-27,23.71825208777187,24.051984490805008,23.71825208777187,23.89389991760254,3251617,67.0,negative
ADP,2008-02-28,23.823637515756708,23.823637515756708,23.519183197720302,23.58944129943848,3506184,73.0,negative
ADP,2008-02-29,23.41964680012454,23.484048780330077,23.24985259216047,23.39037132263184,7307482,91.0,negative
ADP,2008-03-03,23.3611081705884,23.595304482321268,23.3611081705884,23.54846572875977,3526002,71.0,positive
ADP,2008-03-04,23.390387924971566,23.65385977764442,23.279144593033138,23.58359909057617,3959620,66.0,positive
ADP,2008-03-05,23.47235005396358,23.794370280991963,23.273282819515117,23.536754608154297,3100928,82.0,positive
ADP,2008-03-06,23.48405925791762,23.73582135369318,23.402091445861117,23.50162506103516,3076781,70.0,positive
ADP,2008-03-07,23.349395405972388,23.41965607098332,22.845873783673262,22.95711708068848,4701678,75.0,positive
ADP,2008-03-10,22.83416409682561,23.13861849878961,22.83416409682561,22.95711708068848,4546660,77.0,positive
ADP,2008-03-11,23.20888370020475,23.472352977737117,23.00396032442901,23.425514221191406,3555389,72.0,positive
ADP,2008-03-12,23.419606693224857,23.802956387427542,23.366529673064296,23.626026153564453,2775743,71.0,positive
ADP,2008-03-13,23.390130022176454,23.74988695139758,23.1542212345734,23.525775909423828,3992423,72.0,positive
ADP,2008-03-14,23.649618035042035,23.743979465856004,23.083441762663867,23.219087600708008,4607938,82.0,positive
ADP,2008-03-17,22.717796426796752,23.213199233027854,22.717796426796752,22.87113380432129,4422054,70.0,positive
ADP,2008-03-18,23.17190740871901,23.79116071866896,23.083442284083567,23.77936553955078,4793823,71.0,positive
ADP,2008-03-19,23.850147107878097,24.18041479551245,23.74398789801414,23.755783081054688,4533562,71.0,positive
ADP,2008-03-20,23.785252029158222,24.19218934065515,23.72627616426668,24.15090751647949,5116388,65.0,positive
ADP,2008-03-24,24.239381114326864,24.71119332427776,23.88552067561482,24.634523391723636,3032018,65.0,positive
ADP,2008-03-25,24.62273198474577,25.08274908800898,24.62273198474577,25.02377319335937,4761703,68.0,positive
ADP,2008-03-26,24.846843215225764,25.25378073644965,24.77017327010427,25.00018310546875,3661429,73.0,positive
ADP,2008-03-27,25.01198167549704,25.15352384337398,24.652224821728694,24.764280319213867,3737173,74.0,positive
ADP,2008-03-28,24.87633400753488,24.91171954693065,24.6168349269692,24.646324157714844,2504205,77.0,positive
ADP,2008-03-31,24.58734671346713,25.12993007509898,24.58734671346713,25.00018310546875,3056165,83.0,positive
ADP,2008-04-01,25.124039503180317,25.59585189819336,25.06506359442837,25.59585189819336,3067897,71.0,positive
ADP,2008-04-02,25.57226059771053,26.10894775393557,25.57226059771053,25.837656021118164,3839341,79.0,neutral
ADP,2008-04-03,25.713806555331672,25.79637282847427,25.495591846849507,25.57226181030273,3024273,75.0,neutral
ADP,2008-04-04,25.50738903680375,25.979201474045425,25.489694981345124,25.88484001159668,2584961,76.0,neutral
ADP,2008-04-07,26.06766485562414,26.06766485562414,25.46020657612616,25.54867172241211,2771757,65.0,neutral
ADP,2008-04-08,25.41891874609553,25.54866829323277,25.300966941878464,25.407123565673828,2183463,65.0,neutral
ADP,2008-04-09,25.37173131186768,25.47199160017578,25.112234848746045,25.27147102355957,1634237,73.0,neutral
ADP,2008-04-10,25.224299970907616,25.413025442472016,25.02967562718553,25.259685516357425,2125488,75.0,positive
ADP,2008-04-11,24.988386901122343,25.124032735964672,24.72299153947532,24.758377075195312,1851786,69.0,positive
ADP,2008-04-14,24.71120532490342,24.947111544443175,24.69351126937587,24.805566787719727,1445619,83.0,positive
ADP,2008-04-15,24.97068105650104,25.00606657550581,24.758365379975533,24.95298957824707,1339122,80.0,positive
ADP,2008-04-16,25.212495228225244,25.56045680361216,25.094540892290084,25.542762756347656,2230959,69.0,positive
ADP,2008-04-17,25.56047057825669,25.702015345158397,25.454311362455627,25.613550186157227,1429787,72.0,positive
ADP,2008-04-18,25.87304086949424,25.92022159349864,25.20070786493569,25.843551635742188,1828323,72.0,positive
