Date,Open,High,Low,Close,Volume,Trends,Sentiment
2008-01-02,30.86099381991877,31.125246929850864,30.15128489068068,30.268310546875,5155014,44.0,neutral
2008-01-03,30.309828735449592,31.21961348067483,30.309828735449592,30.608057022094727,4530283,44.0,neutral
2008-01-04,30.377771136138087,31.491409083532336,30.20411947310872,30.96667861938477,5722403,56.0,neutral
2008-01-07,31.21961869514132,31.80852643363473,30.77038946159392,31.642423629760746,5302504,58.0,neutral
2008-01-08,31.740580403331933,32.93726939454726,31.740580403331933,32.136959075927734,7810542,57.0,neutral
2008-01-09,32.18980010926164,32.748507984423085,31.529168512113078,32.66168212890625,7222263,47.0,neutral
2008-01-10,32.48048997944565,32.62771744335637,31.7368057431852,32.159610748291016,6105289,74.0,neutral
2008-01-11,31.929327415687226,32.39365855399059,31.51407343627264,31.740575790405277,5630011,49.0,neutral
2008-01-14,31.94442521078083,32.148278729425975,31.54427114532598,32.03502655029297,3848069,56.0,neutral
2008-01-15,31.70282217740702,32.55975637606113,31.676395862027064,31.940650939941406,8063463,63.0,neutral
2008-01-16,31.85760552456856,32.152060439817674,30.5665397193959,30.69111633300781,9895596,62.0,neutral
2008-01-17,30.59296097463736,31.204517509936142,29.28302001953125,29.28302001953125,10692633,71.0,neutral
2008-01-18,29.252823302341596,29.615226689548567,28.218459722930834,28.63749122619629,11439479,82.0,neutral
2008-01-22,27.233169495752616,28.456284542032417,26.42908589411518,27.60689926147461,11930039,65.0,neutral
2008-01-23,26.614075473294644,29.67563685122615,26.425321761716127,29.539735794067383,10496494,55.0,neutral
2008-01-24,29.441573795494424,29.441573795494424,28.067457724938084,28.331710815429688,12458172,72.0,neutral
2008-01-25,28.66014252107241,28.697891234087688,27.52385316035803,27.595579147338867,7730488,68.0,neutral
2008-01-28,27.5955656892346,27.999495094147463,27.40681414032399,27.66729164123535,7235582,65.0,neutral
2008-01-29,27.85227455495436,28.08255234914459,27.557821743306796,27.6446475982666,8054350,69.0,neutral
2008-01-30,27.56538426066757,28.1995918250528,27.459680980964688,27.572933197021484,7181885,83.0,neutral
2008-01-31,27.19164875276571,28.92439276385853,27.165222433556558,28.72809219360352,10871529,74.0,neutral
2008-02-01,28.82623868538185,29.5057477139758,28.66013791410516,29.22639274597168,6767454,74.0,neutral
2008-02-04,29.215059019821563,30.13616997781,29.215059019821563,29.8039665222168,5819562,44.0,neutral
2008-02-05,29.339645290131344,29.44157104000192,28.43740939011522,28.512910842895508,5108327,71.0,neutral
2008-02-06,28.652584667997942,29.1018158477087,28.46760854856728,28.641258239746094,4851060,61.0,neutral
2008-02-07,28.324159768587883,28.94704277232827,28.278860104212008,28.679014205932617,6533040,66.0,neutral
2008-02-08,28.57708322220363,28.9243866425036,28.3203811330626,28.641258239746094,4150060,71.0,neutral
2008-02-11,28.690341193852923,29.73980261918661,28.667690351739,29.671852111816406,6317132,75.0,neutral
2008-02-12,29.902135781346256,30.41554218251396,29.6416581126649,30.05313873291016,5638984,42.0,neutral
2008-02-13,30.40262693625303,30.41782225814417,29.66943792495005,29.912567138671875,4328955,48.0,neutral
2008-02-14,29.969554979115884,30.33045153950182,29.47949715015564,29.68463706970215,4110944,74.0,neutral
2008-02-15,29.597265041190344,29.94296427645109,29.407320428758425,29.87838363647461,3354986,66.0,neutral
2008-02-19,30.163288112491028,30.330440678427543,29.631441809599327,29.821386337280277,2672773,73.0,neutral
2008-02-20,29.620059100250614,29.885984420818545,29.2705605011331,29.768217086791992,3307598,67.0,neutral
2008-02-21,29.821401944348537,30.01134860316961,29.232571365467937,29.37313270568848,3616319,51.0,neutral
2008-02-22,29.411114398012224,29.95055955543828,29.11100117237524,29.8897762298584,3460557,58.0,neutral
2008-02-25,29.8479939453614,30.018943898870926,29.50229266725824,29.734025955200195,4070567,80.0,neutral
2008-02-26,29.540268585723272,30.227869458667552,29.293340084214385,30.18608283996582,4740302,55.0,neutral
2008-02-27,30.064527272021696,30.368437802127488,29.479496149210316,29.597261428833008,3953500,61.0,neutral
2008-02-28,29.46049681150918,29.566868128751683,29.065412345134902,29.403514862060547,4418403,61.0,neutral
2008-02-29,29.091997995958263,29.28194456297256,28.260038533976097,28.43478775024414,5110570,67.0,neutral
2008-03-03,28.803288558710708,29.57446486517851,28.45378802543086,29.46049690246582,6003084,81.0,neutral
2008-03-04,29.33893521277747,30.48620550396281,29.21737059283171,30.182292938232425,8247265,57.0,neutral
2008-03-05,30.24686391291428,30.55837505680424,29.764404926001703,30.17848396301269,5058136,52.0,neutral
2008-03-06,30.15190286859648,30.39123277425656,29.58586435806137,29.62385368347168,4062155,85.0,neutral
2008-03-07,29.331337338903943,29.78340581389272,29.042620108787613,29.62765121459961,5045377,60.0,neutral
2008-03-10,29.715029441712797,29.7948074362094,29.19078159574022,29.335140228271484,5546733,64.0,neutral
2008-03-11,29.66943538943049,30.77111746557332,29.66943538943049,30.69133949279785,7545284,56.0,positive
2008-03-12,30.6989342942089,30.930667475392784,30.167087981939545,30.17848396301269,4570520,55.0,positive
2008-03-13,29.821403843912783,30.76353242378699,29.635258544489883,30.6419677734375,5187540,67.0,positive
2008-03-14,30.75212298339708,30.771117642179703,29.692229556599397,30.296253204345703,6764930,77.0,positive
2008-03-17,29.635256045394552,30.63056920284673,29.449108729936672,30.159503936767575,7497195,100.0,positive
2008-03-18,30.676150136302315,30.961068040068938,30.159498977049083,30.81291007995605,6296382,82.0,positive
2008-03-19,30.900284113633127,31.32576129160448,30.04932975769043,30.04932975769043,6217029,72.0,positive
2008-03-20,30.178482797319685,30.72172710140983,29.722615127763536,30.54317855834961,6853116,87.0,positive
2008-03-24,30.60778773550003,30.83572178301712,30.06074561511239,30.36465835571289,4274137,76.0,positive
2008-03-25,30.334253782143985,30.60397641159441,29.923973876297115,30.00374984741211,5350873,67.0,positive
2008-03-26,29.88978366442908,30.486212956988087,29.810007688477803,30.23168563842773,4780259,54.0,positive
2008-03-27,30.383645907901517,31.06364855007825,30.262079214766644,30.72554588317871,4481633,90.0,positive
2008-03-28,30.81669982656196,31.13200827927727,30.24306689049385,30.300048828125,4141648,71.0,positive
2008-03-31,30.231669008324918,30.972454518047105,30.231669008324918,30.87368392944336,4761753,88.0,positive
2008-04-01,31.16999490747691,31.60307059925301,30.7711112197584,31.52709197998047,5104261,64.0,positive
2008-04-02,31.530905865798168,31.982976420979885,31.35235724716322,31.79302978515625,4352789,66.0,positive
2008-04-03,31.53089881707112,31.82721265829012,31.28017093921979,31.580284118652344,3604542,54.0,positive
2008-04-04,31.682858412162936,32.321074177369155,31.504311840648,31.595483779907227,5228479,89.0,positive
2008-04-07,31.762636566820817,31.785430567622257,31.253582062069697,31.31436538696289,4671604,86.0,negative
2008-04-08,31.15480683321944,31.49290932951107,31.15480683321944,31.23458480834961,4864099,55.0,negative
2008-04-09,31.18900309037374,31.641073633051384,31.00285783049381,31.363752365112305,3928684,66.0,negative
2008-04-10,31.47011746869901,31.800621289705777,31.264975554631764,31.466318130493164,4521730,51.0,negative
2008-04-11,31.1320179639832,31.553697843058988,31.1320179639832,31.329561233520508,3243527,40.0,negative
2008-04-14,31.32575527912998,31.77402637180621,31.18519602636624,31.701847076416016,3310963,73.0,positive
2008-04-15,31.84241699966258,32.34387289741657,31.82342436667794,32.081748962402344,4101831,80.0,positive
2008-04-16,32.131118814481816,32.830117669850296,31.990559582262104,32.757938385009766,4893541,63.0,negative
2008-04-17,32.71615887663161,33.27839596258815,32.678169554867225,33.08845138549805,4788952,59.0,negative
2008-04-18,33.23280775361972,33.44554631576345,32.80353129106576,33.08085250854492,6538227,80.0,negative
2008-04-21,32.84533325216567,33.06946788816042,32.51862660008823,32.79214859008789,4377324,65.0,negative
2008-04-22,32.6629733462405,32.75794664807449,32.38185481089002,32.549007415771484,4359239,49.0,negative
2008-04-23,32.70855447067133,32.868108365185854,32.495815944651966,32.74274444580078,3893214,89.0,negative
2008-04-24,32.51861457320281,32.66297317855666,31.827214221903454,32.48442459106445,6443872,60.0,negative
2008-04-25,32.51482065111989,32.89850917138178,32.44643864799328,32.81873321533203,4570520,64.0,negative
2008-04-28,32.86051195998415,32.96688123034194,32.252686977444924,32.35525894165039,3767875,85.0,negative
2008-04-29,32.25269157844135,32.49202348675393,31.93358372184576,32.036155700683594,3781895,73.0,negative
2008-04-30,32.03614942090103,32.784531579618914,31.93357746216953,32.4730224609375,4508832,58.0,negative
2008-05-01,32.492014449449485,33.137828659865995,32.47681913170445,33.01626205444336,3357229,81.0,negative
2008-05-02,33.05046216021216,33.213815431583136,32.579399038768685,32.69336700439453,3927563,56.0,negative
2008-05-05,32.708551308156345,32.708551308156345,31.963964507349612,32.24888229370117,3629357,76.0,negative
2008-05-06,32.30587714030575,32.73135429453798,31.914589969414905,32.69336700439453,4175997,62.0,negative
2008-05-07,32.58319416190102,32.932692627166844,31.91458584051353,31.937379837036133,5147163,58.0,negative
2008-05-08,32.02475984087555,32.153923133923975,31.587886685798125,31.812021255493164,5229320,69.0,negative
2008-05-09,31.53850654378224,31.64867316146708,31.223195921013986,31.508113861083984,5213197,76.0,negative
2008-05-12,31.527105965626923,32.16532177447852,31.34096070391125,32.005767822265625,4163379,72.0,negative
