Date,Open,High,Low,Close,Volume,Trends,Sentiment
2012-10-12,14.55605325348484,14.93179955249018,14.294665336608888,14.294665336608888,6467100,45.0,positive
2012-10-15,14.3355092680433,14.564224516645073,14.294667982719314,14.49887752532959,633100,46.0,positive
2012-10-16,14.351846913778372,14.662246302019035,14.0904589392569,14.5315523147583,180300,50.0,positive
2012-10-17,14.458036422729492,14.760265677135047,14.29466816337852,14.458036422729492,121000,46.0,positive
2012-10-18,14.376352293054008,14.596898975779265,14.311005300912656,14.458036422729492,146100,50.0,positive
2012-10-19,14.474368788149569,14.539715765780238,14.221149444580078,14.221149444580078,298100,49.0,negative
2012-10-22,14.294664632012209,14.302833198761306,13.829067233277264,13.910751342773438,359800,44.0,negative
2012-10-23,13.763721792810609,14.131297989559332,13.682037674201457,13.992435455322266,166100,51.0,negative
2012-10-24,13.82090154178186,14.270161900481217,13.82090154178186,14.204814910888672,158200,55.0,negative
2012-10-25,14.686746488000075,14.686746488000075,13.27361715829705,13.910751342773438,206900,50.0,negative
2012-10-26,14.302834439803943,14.302834439803943,13.559511939081546,14.000603675842283,199500,52.0,negative
2012-10-31,13.477826653040085,13.910751342773438,13.477826653040085,13.910751342773438,36400,48.0,negative
2012-11-01,13.967932250800311,14.278330052820282,13.485997632352005,14.07412052154541,203000,45.0,negative
2012-11-02,13.878080020079912,14.074120989664902,13.5268393653253,13.886248588562012,72100,46.0,positive
2012-11-05,13.714713017831478,13.886248278135506,13.47782921113152,13.649364471435549,33300,49.0,positive
2012-11-06,13.494165385251318,14.278329190130384,13.142924763401115,13.894415855407717,370600,46.0,positive
2012-11-07,13.682039466689206,14.212983970215422,13.682039466689206,13.935258865356444,155800,43.0,positive
2012-11-08,13.306295380365093,14.106796463774456,13.306295380365093,13.682040214538574,141600,45.0,positive
2012-11-09,13.338964376978458,13.837236051775134,13.338964376978458,13.518668174743652,209600,42.0,positive
2012-11-12,13.445156609580437,13.51867217542101,13.363474032420058,13.47783088684082,12800,44.0,positive
2012-11-13,13.494163135911604,13.690204054453345,13.04490211333876,13.102081298828123,47600,44.0,positive
2012-11-14,13.044904268377282,13.453322526645223,12.78351555480911,13.11025047302246,123400,39.0,positive
2012-11-15,13.379808633307425,14.098627100446889,12.832527772231057,13.64119815826416,367000,44.0,positive
2012-11-16,13.812734276831645,14.449868653981238,13.289958310757276,13.739218711853027,104600,42.0,positive
