Symbol,Date,Open,High,Low,Close,Volume,Trends,Sentiment
FAST,2008-01-02,6.648023105862193,6.691052737129888,6.431222149050424,6.446116924285889,9780000,95.0,neutral
FAST,2008-01-03,6.457702251731622,6.555345646636574,6.36833359239722,6.369988918304443,5607600,92.0,neutral
FAST,2008-01-04,6.313719399173137,6.369988481040926,6.216076010970848,6.221040725708008,5022000,94.0,neutral
FAST,2008-01-07,6.221040416053412,6.270689454919148,6.128361747201399,6.178011417388916,6019200,95.0,neutral
FAST,2008-01-08,6.23758751530813,6.23758751530813,5.895008456576691,5.901628494262695,8360000,100.0,neutral
FAST,2008-01-09,5.895011364951709,5.999274800320502,5.779163173577701,5.997620105743408,8308400,99.0,neutral
FAST,2008-01-10,5.9578999372332015,6.040648547472552,5.800677451514078,5.96451997756958,10664800,88.0,negative
FAST,2008-01-11,5.939695196595941,5.992654257130441,5.7361336892936166,5.741098403930664,9508000,91.0,negative
FAST,2008-01-14,5.780818778543225,6.002585110568794,5.736134446942339,5.971140861511231,8549200,93.0,negative
FAST,2008-01-15,5.941353003175166,5.982727325951255,5.883428572495404,5.895013332366943,8007600,85.0,negative
FAST,2008-01-16,5.878459936762056,5.976103298670103,5.812260811924801,5.815570831298828,9024000,89.0,negative
FAST,2008-01-17,5.830467444565033,5.909906040670033,5.469683426012009,5.48292350769043,13266400,84.0,positive
FAST,2008-01-18,5.607047965471579,5.701381363595091,5.353836700378241,5.562363624572754,21113600,83.0,positive
FAST,2008-01-22,5.415071489558347,6.336891337327997,5.340597583361451,6.232627868652344,36630000,87.0,positive
FAST,2008-01-23,6.082022714173723,6.667883012852174,6.082022714173723,6.61492395401001,15962400,87.0,positive
FAST,2008-01-24,6.581824578052132,6.793660819653388,6.509006027832149,6.652988433837891,13117200,80.0,positive
FAST,2008-01-25,6.768833953499703,6.8052428986317,6.434529621605137,6.465973854064941,10242000,88.0,positive
FAST,2008-01-28,6.426258973308986,6.633130550384522,6.379919310745139,6.6331305503845215,9828800,82.0,positive
FAST,2008-01-29,6.6745027618048125,6.702636984383834,6.480870698413079,6.629818439483643,8603200,85.0,positive
FAST,2008-01-30,6.644714938878442,6.762217836609209,6.513971957916195,6.60334062576294,8589600,89.0,positive
FAST,2008-01-31,6.590098854088029,6.767180818346612,6.454391192344476,6.687742233276367,12434000,86.0,positive
FAST,2008-02-01,6.661265357547088,6.957505633039756,6.621545733534069,6.935990810394287,7433600,87.0,positive
FAST,2008-02-04,6.93433481208567,6.95419430469852,6.724153235357179,6.78538703918457,6572800,84.0,positive
FAST,2008-02-05,6.609960147628643,6.7357384151631,6.495767268778244,6.5967206954956055,8448000,95.0,positive
FAST,2008-02-06,6.657951505536122,6.719185285641007,6.452735354954804,6.454390048980713,5049200,81.0,positive
FAST,2008-02-07,6.454392478876592,6.835036011622887,6.454392478876592,6.763872146606445,12210800,94.0,positive
FAST,2008-02-08,6.745666105247247,6.849929525915971,6.666227518987855,6.767180919647217,7294800,88.0,positive
FAST,2008-02-11,6.737391467012674,6.959157760229929,6.667882939789632,6.95584774017334,6303200,92.0,positive
FAST,2008-02-12,6.955849528516484,7.05018291475609,6.825107174937234,6.892961025238037,6390400,84.0,positive
FAST,2008-02-13,6.964125058331876,7.180926066582394,6.798627797036787,7.132931709289551,8454000,79.0,positive
FAST,2008-02-14,7.164376122613114,7.164376122613114,6.863171177337059,6.90785551071167,5210400,84.0,negative
FAST,2008-02-15,6.854894249125845,6.902888592340956,6.72746195087047,6.790350437164307,4812000,89.0,negative
FAST,2008-02-19,6.89792263156366,6.964121757231073,6.782074477306515,6.828413486480713,4067200,87.0,negative
FAST,2008-02-20,6.8449669331746215,7.091557502746583,6.801937291037554,7.091557502746582,7961200,88.0,negative
FAST,2008-02-21,7.199759269262399,7.199759269262399,6.870151869092427,6.888463497161865,8253200,100.0,positive
FAST,2008-02-22,6.965041607420615,6.986682688805164,6.793579266903595,6.975029945373535,4816400,87.0,negative
FAST,2008-02-25,6.991674801426786,7.161472694236073,6.86848787075179,7.141496658325195,4877200,83.0,neutral
FAST,2008-02-26,7.166467876838556,7.317954166965891,7.104874717563096,7.25636100769043,5288400,94.0,neutral
FAST,2008-02-27,7.2080845545219665,7.266348899476496,7.113197578338648,7.218072891235352,4512000,91.0,neutral
FAST,2008-02-28,7.171462810640666,7.282996393453214,6.940071077517508,7.028299808502197,5950400,88.0,neutral
FAST,2008-02-29,6.9683674425979385,7.069913269907065,6.738640868933567,6.7686052322387695,7934400,90.0,neutral
FAST,2008-03-03,6.745302198080593,6.841853576422657,6.647085779493252,6.773601531982422,6304400,93.0,positive
FAST,2008-03-04,6.720332012781477,6.828536773204959,6.642092263039726,6.738643646240234,9625600,88.0,positive
FAST,2008-03-05,6.741972030580124,7.036621254786462,6.678713843596828,6.863493919372559,9447600,84.0,positive
FAST,2008-03-06,6.800237178092505,6.855172081500111,6.528894011950073,6.53388786315918,7215200,89.0,positive
FAST,2008-03-07,6.488942076298202,6.697027702019772,6.463972182227774,6.53721809387207,5417600,89.0,positive
FAST,2008-03-10,6.518905565295679,6.528893902573419,6.254220660190626,6.275861740112305,7306800,94.0,positive
FAST,2008-03-11,6.360757948259614,6.560520172119141,6.2875120746893165,6.560520172119141,9274000,87.0,positive
FAST,2008-03-12,6.562185182328756,6.831864495183908,6.550532443072545,6.7502946853637695,8135200,88.0,positive
FAST,2008-03-13,6.655409037744997,6.999998703447927,6.577168657358945,6.95338773727417,10906400,88.0,positive
FAST,2008-03-14,6.988346815329297,7.0399522734857785,6.750296834682186,6.961711883544922,11807600,80.0,positive
